Stamp, Max volume, Current volume
139.871000000, 28000, 35.896
139.971000000, 28000, 35.904
140.071000000, 28000, 35.912
140.171000000, 28000, 36.088
140.271000000, 28000, 36.288
140.371000000, 28000, 36.424
140.471000000, 28000, 36.728
140.571000000, 28000, 36.976
140.671000000, 28000, 37.024
140.771000000, 28000, 37.024
140.871000000, 28000, 37.024
140.971000000, 28000, 37.072
141.071000000, 28000, 37.072
141.171000000, 28000, 37.256
141.271000000, 28000, 37.256
141.371000000, 28000, 37.256
141.471000000, 28000, 37.256
141.571000000, 28000, 37.256
141.671000000, 28000, 37.256
141.771000000, 28000, 37.256
141.871000000, 28000, 37.256
141.971000000, 28000, 37.256
142.071000000, 28000, 37.256
142.171000000, 28000, 37.256
142.273000000, 28000, 37.256
142.471000000, 28000, 37.256
142.571000000, 28000, 37.256
142.671000000, 28000, 37.256
142.771000000, 28000, 37.256
142.871000000, 28000, 37.256
142.971000000, 28000, 37.256
143.071000000, 28000, 37.256
143.171000000, 28000, 37.256
143.271000000, 28000, 37.256
143.371000000, 28000, 37.256
143.471000000, 28000, 37.256
143.571000000, 28000, 37.256
143.671000000, 28000, 37.256
143.771000000, 28000, 37.256
143.871000000, 28000, 37.256
143.971000000, 28000, 37.256
144.071000000, 28000, 37.256
144.171000000, 28000, 37.256
144.271000000, 28000, 37.472
144.371000000, 28000, 37.752
144.471000000, 28000, 37.936
144.571000000, 28000, 38.144
144.671000000, 28000, 38.28
144.771000000, 28000, 38.528
144.871000000, 28000, 38.672
144.971000000, 28000, 38.808
145.071000000, 28000, 38.952
145.171000000, 28000, 39.104
145.271000000, 28000, 39.16
145.371000000, 28000, 39.272
145.471000000, 28000, 39.352
145.571000000, 28000, 39.424
145.671000000, 28000, 39.552
145.771000000, 28000, 39.728
145.871000000, 28000, 39.88
145.971000000, 28000, 40.048
146.071000000, 28000, 40.264
146.171000000, 28000, 40.44
146.271000000, 28000, 40.536
146.371000000, 28000, 40.736
146.471000000, 28000, 41.688
146.571000000, 28000, 43.4
146.673000000, 28000, 45.384
146.871000000, 28000, 49.56
146.971000000, 28000, 51.696
147.071000000, 28000, 53.784
147.171000000, 28000, 56.008
147.271000000, 28000, 57.864
147.371000000, 28000, 60.6
147.471000000, 28000, 62.84
147.571000000, 28000, 65.248
147.673000000, 28000, 67.888
147.871000000, 28000, 72.6
147.971000000, 28000, 74.944
148.071000000, 28000, 77.44
148.173000000, 28000, 79.832
148.273000000, 28000, 82.256
148.373000000, 28000, 84.544
148.473000000, 28000, 86.856
148.573000000, 28000, 89.192
148.673000000, 28000, 91.504
148.773000000, 28000, 93.92
148.873000000, 28000, 96.28
148.973000000, 28000, 98.608
149.073000000, 28000, 100.92
149.173000000, 28000, 103.208
149.273000000, 28000, 105.68
149.373000000, 28000, 107.992
149.473000000, 28000, 110.52
149.573000000, 28000, 112.552
149.673000000, 28000, 115.224
149.773000000, 28000, 117.704
149.873000000, 28000, 120.552
149.973000000, 28000, 122.672
150.073000000, 28000, 124.992
150.173000000, 28000, 127.6
150.273000000, 28000, 130.056
150.373000000, 28000, 132.504
150.473000000, 28000, 134.752
150.573000000, 28000, 136.512
150.673000000, 28000, 138.096
150.773000000, 28000, 139.544
150.873000000, 28000, 140.856
150.973000000, 28000, 142.08
151.073000000, 28000, 143.248
151.175000000, 28000, 144.584
151.373000000, 28000, 146.912
151.473000000, 28000, 148.104
151.575000000, 28000, 149.264
151.773000000, 28000, 151.336
151.873000000, 28000, 152.616
151.975000000, 28000, 153.88
152.173000000, 28000, 156.336
152.273000000, 28000, 157
152.373000000, 28000, 157.408
152.473000000, 28000, 157.8
152.573000000, 28000, 158.04
152.673000000, 28000, 158.264
152.773000000, 28000, 158.472
152.873000000, 28000, 158.648
152.973000000, 28000, 158.832
153.073000000, 28000, 158.968
153.173000000, 28000, 159.104
153.273000000, 28000, 159.216
153.373000000, 28000, 159.336
153.473000000, 28000, 159.416
153.573000000, 28000, 159.496
153.673000000, 28000, 159.576
153.775000000, 28000, 159.632
153.973000000, 28000, 159.712
154.073000000, 28000, 159.744
154.173000000, 28000, 159.784
154.275000000, 28000, 159.808
154.473000000, 28000, 160.224
154.575000000, 28000, 160.24
154.773000000, 28000, 160.272
154.873000000, 28000, 160.272
154.973000000, 28000, 160.296
155.075000000, 28000, 160.296
155.273000000, 28000, 160.296
155.373000000, 28000, 160.296
155.473000000, 28000, 160.296
155.573000000, 28000, 160.296
155.673000000, 28000, 160.296
155.773000000, 28000, 160.296
155.873000000, 28000, 160.296
155.973000000, 28000, 160.296
156.073000000, 28000, 160.296
156.173000000, 28000, 160.296
156.273000000, 28000, 160.296
156.373000000, 28000, 160.296
156.473000000, 28000, 160.296
156.573000000, 28000, 160.296
156.673000000, 28000, 160.296
156.773000000, 28000, 160.312
156.873000000, 28000, 160.312
156.973000000, 28000, 160.312
157.073000000, 28000, 160.336
157.173000000, 28000, 160.4
157.273000000, 28000, 160.456
157.373000000, 28000, 160.48
157.473000000, 28000, 160.536
157.573000000, 28000, 160.592
157.673000000, 28000, 160.616
157.773000000, 28000, 160.624
157.873000000, 28000, 160.632
157.973000000, 28000, 160.64
158.073000000, 28000, 160.832
158.173000000, 28000, 160.92
158.273000000, 28000, 161.016
158.373000000, 28000, 161.128
158.475000000, 28000, 161.24
158.673000000, 28000, 161.416
158.773000000, 28000, 161.608
158.873000000, 28000, 161.696
158.973000000, 28000, 161.816
159.073000000, 28000, 161.968
159.173000000, 28000, 162.08
159.273000000, 28000, 162.208
159.373000000, 28000, 162.336
159.473000000, 28000, 162.44
159.573000000, 28000, 162.568
159.673000000, 28000, 162.696
159.773000000, 28000, 162.864
159.873000000, 28000, 162.96
159.973000000, 28000, 163.064
160.073000000, 28000, 163.216
160.173000000, 28000, 163.4
160.273000000, 28000, 163.56
160.373000000, 28000, 163.72
160.473000000, 28000, 163.856
160.573000000, 28000, 164
160.773000000, 28000, 164.112
160.873000000, 28000, 164.152
160.973000000, 28000, 164.168
161.073000000, 28000, 164.2
161.273000000, 28000, 164.224
161.373000000, 28000, 164.224
161.473000000, 28000, 164.224
161.573000000, 28000, 164.224
161.773000000, 28000, 164.224
161.873000000, 28000, 164.224
161.973000000, 28000, 164.224
162.073000000, 28000, 164.224
162.173000000, 28000, 164.224
162.373000000, 28000, 164.224
162.473000000, 28000, 164.224
162.573000000, 28000, 164.224
162.673000000, 28000, 164.232
162.773000000, 28000, 164.272
162.873000000, 28000, 164.368
163.073000000, 28000, 164.76
163.173000000, 28000, 164.976
163.273000000, 28000, 165.248
163.373000000, 28000, 165.64
163.475000000, 28000, 166.024
163.673000000, 28000, 167.368
163.773000000, 28000, 167.872
163.873000000, 28000, 168.32
163.973000000, 28000, 168.848
164.173000000, 28000, 169.6
164.273000000, 28000, 169.992
164.373000000, 28000, 170.576
164.473000000, 28000, 171.216
164.673000000, 28000, 172.016
164.773000000, 28000, 172.424
164.873000000, 28000, 172.696
164.973000000, 28000, 173.008
165.173000000, 28000, 173.656
165.273000000, 28000, 173.88
165.373000000, 28000, 174.096
165.573000000, 28000, 174.728
165.673000000, 28000, 174.992
165.773000000, 28000, 175.2
165.873000000, 28000, 175.392
166.073000000, 28000, 175.8
166.173000000, 28000, 175.968
166.273000000, 28000, 176.096
166.473000000, 28000, 176.28
166.573000000, 28000, 176.368
166.673000000, 28000, 176.432
166.873000000, 28000, 176.592
166.973000000, 28000, 176.672
167.073000000, 28000, 176.744
167.273000000, 28000, 176.84
167.373000000, 28000, 176.904
167.473000000, 28000, 176.96
167.673000000, 28000, 177.048
167.773000000, 28000, 177.072
167.873000000, 28000, 177.08
168.073000000, 28000, 177.408
168.173000000, 28000, 177.776
168.273000000, 28000, 178.136
168.373000000, 28000, 178.672
168.473000000, 28000, 179.384
168.673000000, 28000, 180.768
168.773000000, 28000, 181.504
168.873000000, 28000, 182.088
168.973000000, 28000, 183.024
169.173000000, 28000, 184.568
169.273000000, 28000, 185.288
169.373000000, 28000, 185.992
169.473000000, 28000, 186.792
169.575000000, 28000, 187.64
169.675000000, 28000, 188.392
169.873000000, 28000, 189.624
170.073000000, 28000, 190.864
170.173000000, 28000, 191.464
170.273000000, 28000, 192.08
170.373000000, 28000, 192.52
170.573000000, 28000, 193.424
170.673000000, 28000, 193.76
170.773000000, 28000, 194.04
170.873000000, 28000, 194.472
171.073000000, 28000, 195.136
171.173000000, 28000, 195.552
171.273000000, 28000, 195.808
171.373000000, 28000, 196.176
171.573000000, 28000, 196.632
171.673000000, 28000, 196.84
171.773000000, 28000, 196.928
171.973000000, 28000, 197.192
172.073000000, 28000, 197.28
172.173000000, 28000, 197.384
172.373000000, 28000, 197.472
172.473000000, 28000, 197.528
172.573000000, 28000, 197.56
172.673000000, 28000, 197.576
172.873000000, 28000, 197.632
172.973000000, 28000, 197.672
173.073000000, 28000, 197.68
173.173000000, 28000, 197.696
173.373000000, 28000, 197.696
173.473000000, 28000, 197.704
173.573000000, 28000, 197.704
173.673000000, 28000, 197.712
173.873000000, 28000, 197.72
173.973000000, 28000, 197.72
174.073000000, 28000, 197.72
174.173000000, 28000, 197.72
174.373000000, 28000, 197.72
174.473000000, 28000, 197.72
174.573000000, 28000, 197.72
174.773000000, 28000, 197.72
174.873000000, 28000, 197.72
174.973000000, 28000, 197.72
175.073000000, 28000, 197.72
175.173000000, 28000, 197.72
175.373000000, 28000, 197.72
175.473000000, 28000, 197.72
175.573000000, 28000, 197.72
175.673000000, 28000, 197.72
175.873000000, 28000, 197.72
175.973000000, 28000, 197.72
176.073000000, 28000, 197.72
176.273000000, 28000, 197.72
176.373000000, 28000, 197.72
176.473000000, 28000, 197.72
176.573000000, 28000, 197.72
176.773000000, 28000, 197.72
176.873000000, 28000, 197.72
176.973000000, 28000, 197.72
177.073000000, 28000, 197.72
177.273000000, 28000, 197.72
177.373000000, 28000, 197.72
177.473000000, 28000, 197.728
177.573000000, 28000, 197.728
177.673000000, 28000, 197.728
177.773000000, 28000, 197.744
177.875000000, 28000, 197.744
178.073000000, 28000, 197.864
178.173000000, 28000, 197.896
178.373000000, 28000, 197.984
178.473000000, 28000, 198.152
178.573000000, 28000, 198.28
178.773000000, 28000, 198.544
178.873000000, 28000, 198.552
178.973000000, 28000, 198.56
179.073000000, 28000, 198.576
179.173000000, 28000, 198.576
179.273000000, 28000, 198.576
179.373000000, 28000, 198.576
179.473000000, 28000, 198.576
179.575000000, 28000, 198.576
179.773000000, 28000, 198.704
179.973000000, 28000, 199.344
180.073000000, 28000, 199.616
180.173000000, 28000, 199.792
180.273000000, 28000, 199.944
180.373000000, 28000, 200.136
180.573000000, 28000, 200.536
180.673000000, 28000, 200.736
180.773000000, 28000, 200.944
180.873000000, 28000, 201.168
180.973000000, 28000, 201.296
181.073000000, 28000, 201.544
181.273000000, 28000, 201.864
181.373000000, 28000, 201.976
181.473000000, 28000, 202.096
181.573000000, 28000, 202.24
181.673000000, 28000, 202.312
181.773000000, 28000, 202.384
181.873000000, 28000, 202.424
182.073000000, 28000, 202.48
182.173000000, 28000, 202.48
182.273000000, 28000, 202.488
182.373000000, 28000, 202.488
182.573000000, 28000, 202.488
182.673000000, 28000, 202.488
182.773000000, 28000, 202.488
182.873000000, 28000, 202.488
183.073000000, 28000, 202.488
183.173000000, 28000, 202.488
183.273000000, 28000, 202.488
183.373000000, 28000, 202.488
183.473000000, 28000, 202.488
183.573000000, 28000, 202.488
183.673000000, 28000, 202.488
183.775000000, 28000, 202.488
183.973000000, 28000, 202.488
184.073000000, 28000, 202.488
184.173000000, 28000, 202.488
184.275000000, 28000, 202.488
184.573000000, 28000, 202.488
184.673000000, 28000, 202.488
184.773000000, 28000, 202.488
184.873000000, 28000, 202.488
184.973000000, 28000, 202.488
185.173000000, 28000, 202.488
185.273000000, 28000, 202.496
185.373000000, 28000, 202.512
185.473000000, 28000, 202.52
185.673000000, 28000, 202.52
185.773000000, 28000, 202.52
185.873000000, 28000, 202.52
185.973000000, 28000, 202.52
186.073000000, 28000, 202.52
186.273000000, 28000, 202.52
186.373000000, 28000, 202.52
186.473000000, 28000, 202.52
186.573000000, 28000, 202.544
186.773000000, 28000, 202.552
186.873000000, 28000, 202.552
186.973000000, 28000, 202.552
187.073000000, 28000, 202.552
187.173000000, 28000, 202.552
187.373000000, 28000, 202.552
187.473000000, 28000, 202.552
187.673000000, 28000, 202.568
187.773000000, 28000, 202.568
187.873000000, 28000, 202.584
187.973000000, 28000, 202.592
188.173000000, 28000, 202.592
188.273000000, 28000, 202.592
188.373000000, 28000, 202.592
188.473000000, 28000, 202.592
188.573000000, 28000, 202.592
188.673000000, 28000, 202.592
188.773000000, 28000, 202.592
188.875000000, 28000, 202.592
189.073000000, 28000, 202.592
189.173000000, 28000, 202.592
189.373000000, 28000, 202.592
189.473000000, 28000, 202.592
189.573000000, 28000, 202.592
189.673000000, 28000, 202.592
189.773000000, 28000, 202.592
189.873000000, 28000, 202.592
190.073000000, 28000, 202.592
190.173000000, 28000, 202.592
190.273000000, 28000, 202.592
190.373000000, 28000, 202.592
190.473000000, 28000, 202.592
190.573000000, 28000, 202.592
190.773000000, 28000, 202.592
190.873000000, 28000, 202.592
190.973000000, 28000, 202.592
191.073000000, 28000, 202.592
191.273000000, 28000, 202.592
191.373000000, 28000, 202.592
191.473000000, 28000, 202.592
191.573000000, 28000, 202.592
191.673000000, 28000, 202.592
191.773000000, 28000, 202.592
191.973000000, 28000, 202.592
192.073000000, 28000, 202.592
192.173000000, 28000, 202.592
192.273000000, 28000, 202.592
192.373000000, 28000, 202.592
192.573000000, 28000, 202.592
192.673000000, 28000, 202.592
192.773000000, 28000, 202.592
192.873000000, 28000, 202.592
192.973000000, 28000, 202.592
193.073000000, 28000, 202.592
193.273000000, 28000, 202.592
193.373000000, 28000, 202.592
193.473000000, 28000, 202.592
193.573000000, 28000, 202.592
193.673000000, 28000, 202.648
193.773000000, 28000, 202.688
193.873000000, 28000, 202.688
194.073000000, 28000, 202.752
194.173000000, 28000, 202.752
194.273000000, 28000, 202.752
194.373000000, 28000, 202.752
194.473000000, 28000, 202.752
194.575000000, 28000, 202.752
194.773000000, 28000, 202.76
194.873000000, 28000, 202.8
194.973000000, 28000, 202.968
195.073000000, 28000, 203.208
195.173000000, 28000, 203.496
195.273000000, 28000, 204.032
195.373000000, 28000, 204.544
195.473000000, 28000, 204.88
195.573000000, 28000, 205.176
195.673000000, 28000, 205.464
195.773000000, 28000, 205.768
195.873000000, 28000, 205.984
196.073000000, 28000, 206.328
196.173000000, 28000, 206.528
196.273000000, 28000, 206.696
196.373000000, 28000, 206.888
196.473000000, 28000, 206.968
196.573000000, 28000, 207.104
196.673000000, 28000, 207.248
196.773000000, 28000, 207.368
196.873000000, 28000, 207.48
196.973000000, 28000, 207.632
197.073000000, 28000, 207.784
197.173000000, 28000, 207.88
197.273000000, 28000, 207.992
197.473000000, 28000, 208.168
197.573000000, 28000, 208.2
197.673000000, 28000, 208.248
197.773000000, 28000, 208.28
197.873000000, 28000, 208.336
197.973000000, 28000, 208.376
198.073000000, 28000, 208.408
198.173000000, 28000, 208.416
198.275000000, 28000, 208.416
198.473000000, 28000, 208.464
198.573000000, 28000, 208.48
198.673000000, 28000, 208.512
198.773000000, 28000, 208.52
198.973000000, 28000, 208.52
199.073000000, 28000, 208.52
199.173000000, 28000, 208.528
199.273000000, 28000, 208.544
199.373000000, 28000, 208.544
199.473000000, 28000, 208.552
199.573000000, 28000, 208.552
199.673000000, 28000, 208.552
199.773000000, 28000, 208.552
199.873000000, 28000, 208.552
200.073000000, 28000, 208.552
200.173000000, 28000, 208.552
200.273000000, 28000, 208.552
200.373000000, 28000, 208.552
200.473000000, 28000, 208.552
200.573000000, 28000, 208.552
200.673000000, 28000, 208.552
200.773000000, 28000, 208.552
200.973000000, 28000, 208.552
201.073000000, 28000, 208.552
201.173000000, 28000, 208.552
201.273000000, 28000, 208.552
201.373000000, 28000, 208.552
201.473000000, 28000, 208.552
201.573000000, 28000, 208.552
201.673000000, 28000, 208.552
201.773000000, 28000, 208.552
201.873000000, 28000, 208.552
201.973000000, 28000, 208.552
202.173000000, 28000, 208.552
202.273000000, 28000, 208.552
202.373000000, 28000, 208.552
202.473000000, 28000, 208.552
202.573000000, 28000, 208.552
202.673000000, 28000, 208.552
202.773000000, 28000, 208.552
202.973000000, 28000, 208.552
203.073000000, 28000, 208.552
203.173000000, 28000, 208.552
203.273000000, 28000, 208.552
203.373000000, 28000, 208.552
203.473000000, 28000, 208.552
203.573000000, 28000, 208.552
203.673000000, 28000, 208.552
203.773000000, 28000, 208.552
203.873000000, 28000, 208.552
203.973000000, 28000, 208.552
204.073000000, 28000, 208.552
204.173000000, 28000, 208.552
204.273000000, 28000, 208.552
204.373000000, 28000, 208.552
204.473000000, 28000, 208.552
204.673000000, 28000, 208.552
204.773000000, 28000, 208.552
204.873000000, 28000, 208.552
204.973000000, 28000, 208.552
205.073000000, 28000, 208.552
205.173000000, 28000, 208.552
205.273000000, 28000, 208.552
205.373000000, 28000, 208.552
205.473000000, 28000, 208.552
205.573000000, 28000, 208.552
205.673000000, 28000, 208.552
205.773000000, 28000, 208.552
205.873000000, 28000, 208.552
205.973000000, 28000, 208.552
206.073000000, 28000, 208.552
206.173000000, 28000, 208.552
206.273000000, 28000, 208.552
206.373000000, 28000, 208.552
206.473000000, 28000, 208.552
206.573000000, 28000, 208.552
206.673000000, 28000, 208.552
206.773000000, 28000, 208.552
206.873000000, 28000, 208.552
207.073000000, 28000, 208.552
207.173000000, 28000, 208.552
207.273000000, 28000, 208.552
207.373000000, 28000, 208.552
207.473000000, 28000, 208.552
207.573000000, 28000, 208.552
207.673000000, 28000, 208.552
207.773000000, 28000, 208.552
207.873000000, 28000, 208.552
207.973000000, 28000, 208.552
208.073000000, 28000, 208.552
208.173000000, 28000, 208.552
208.273000000, 28000, 208.552
208.373000000, 28000, 208.552
208.473000000, 28000, 208.552
208.573000000, 28000, 208.552
208.673000000, 28000, 208.552
208.773000000, 28000, 208.552
208.873000000, 28000, 208.552
208.973000000, 28000, 208.552
209.073000000, 28000, 208.56
209.173000000, 28000, 208.656
209.275000000, 28000, 208.888
209.473000000, 28000, 209.6
209.573000000, 28000, 210.168
209.673000000, 28000, 210.728
209.773000000, 28000, 211.288
209.873000000, 28000, 212.104
209.973000000, 28000, 212.752
210.073000000, 28000, 213.456
210.173000000, 28000, 214.16
210.273000000, 28000, 214.792
210.373000000, 28000, 215.472
210.475000000, 28000, 216.192
210.673000000, 28000, 217.44
210.773000000, 28000, 218.08
210.873000000, 28000, 218.688
210.975000000, 28000, 219.2
211.173000000, 28000, 220.464
211.273000000, 28000, 220.976
211.373000000, 28000, 221.464
211.473000000, 28000, 221.984
211.573000000, 28000, 222.472
211.773000000, 28000, 223.24
211.873000000, 28000, 223.576
211.973000000, 28000, 223.96
212.073000000, 28000, 224.328
212.173000000, 28000, 224.632
212.373000000, 28000, 225.152
212.473000000, 28000, 225.368
212.573000000, 28000, 225.56
212.673000000, 28000, 225.768
212.773000000, 28000, 225.96
212.973000000, 28000, 226.216
213.073000000, 28000, 226.368
213.173000000, 28000, 226.472
213.273000000, 28000, 226.576
213.373000000, 28000, 226.68
213.473000000, 28000, 226.768
213.573000000, 28000, 226.808
213.673000000, 28000, 226.832
213.773000000, 28000, 226.864
213.875000000, 28000, 226.904
214.073000000, 28000, 226.92
214.175000000, 28000, 226.936
214.373000000, 28000, 226.96
214.473000000, 28000, 226.968
214.573000000, 28000, 226.968
214.773000000, 28000, 226.968
214.873000000, 28000, 226.968
214.973000000, 28000, 226.968
215.073000000, 28000, 226.968
215.273000000, 28000, 226.968
215.373000000, 28000, 226.968
215.473000000, 28000, 226.968
215.573000000, 28000, 226.968
215.773000000, 28000, 226.968
215.873000000, 28000, 226.968
215.973000000, 28000, 226.976
216.073000000, 28000, 226.976
216.173000000, 28000, 226.976
