Stamp, Max volume, Current volume
225.185000000, 28000, 48.6
225.285000000, 28000, 48.632
225.385000000, 28000, 48.64
225.485000000, 28000, 48.64
225.585000000, 28000, 48.64
225.685000000, 28000, 48.64
225.785000000, 28000, 48.64
225.885000000, 28000, 48.64
225.985000000, 28000, 48.64
226.085000000, 28000, 48.648
226.185000000, 28000, 48.648
226.285000000, 28000, 48.648
226.385000000, 28000, 48.648
226.485000000, 28000, 48.648
226.585000000, 28000, 48.648
226.685000000, 28000, 48.648
226.785000000, 28000, 48.648
226.885000000, 28000, 48.648
226.985000000, 28000, 48.648
227.085000000, 28000, 48.664
227.185000000, 28000, 48.664
227.285000000, 28000, 48.968
227.385000000, 28000, 50.152
227.485000000, 28000, 51.472
227.585000000, 28000, 52.224
227.685000000, 28000, 52.864
227.787000000, 28000, 53.456
227.985000000, 28000, 54.28
228.085000000, 28000, 54.576
228.185000000, 28000, 55.008
228.285000000, 28000, 55.152
228.385000000, 28000, 55.152
228.485000000, 28000, 55.272
228.585000000, 28000, 55.28
228.685000000, 28000, 55.328
228.785000000, 28000, 55.536
228.885000000, 28000, 55.888
228.985000000, 28000, 56.28
229.087000000, 28000, 56.528
229.285000000, 28000, 56.896
229.385000000, 28000, 57.168
229.487000000, 28000, 57.368
229.685000000, 28000, 59.168
229.785000000, 28000, 61.072
229.887000000, 28000, 62.8
230.085000000, 28000, 66.488
230.185000000, 28000, 68.384
230.285000000, 28000, 70.664
230.385000000, 28000, 72.848
230.485000000, 28000, 75.016
230.585000000, 28000, 77.368
230.685000000, 28000, 79.792
230.785000000, 28000, 82.28
230.885000000, 28000, 84.816
230.985000000, 28000, 87.088
231.087000000, 28000, 89.632
231.285000000, 28000, 94.184
231.385000000, 28000, 96.52
231.485000000, 28000, 98.784
231.585000000, 28000, 101.28
231.685000000, 28000, 103.4
231.785000000, 28000, 105.728
231.885000000, 28000, 108.144
231.985000000, 28000, 110.496
232.085000000, 28000, 112.752
232.185000000, 28000, 115.304
232.285000000, 28000, 117.856
232.385000000, 28000, 120.144
232.487000000, 28000, 122.576
232.685000000, 28000, 127.288
232.785000000, 28000, 129.56
232.885000000, 28000, 132.04
232.985000000, 28000, 134.52
233.085000000, 28000, 137.056
233.185000000, 28000, 139.528
233.285000000, 28000, 142.04
233.385000000, 28000, 144.552
233.485000000, 28000, 147.008
233.585000000, 28000, 149.136
233.685000000, 28000, 150.824
233.785000000, 28000, 152.152
