Stamp, Max volume, Current volume
310.907000000, 28000, 46.848
311.007000000, 28000, 46.864
311.107000000, 28000, 46.864
311.207000000, 28000, 46.864
311.307000000, 28000, 46.864
311.407000000, 28000, 46.864
311.507000000, 28000, 46.864
311.607000000, 28000, 46.864
311.707000000, 28000, 46.864
311.807000000, 28000, 46.864
311.907000000, 28000, 46.864
312.007000000, 28000, 46.864
312.107000000, 28000, 46.888
312.207000000, 28000, 47.048
312.307000000, 28000, 47.208
312.407000000, 28000, 47.368
312.507000000, 28000, 47.48
312.607000000, 28000, 47.48
312.707000000, 28000, 47.48
312.807000000, 28000, 47.52
312.907000000, 28000, 47.608
313.007000000, 28000, 47.728
313.107000000, 28000, 47.768
313.207000000, 28000, 47.768
313.307000000, 28000, 47.768
313.407000000, 28000, 47.768
313.507000000, 28000, 47.768
313.607000000, 28000, 47.776
313.707000000, 28000, 47.808
313.807000000, 28000, 47.808
313.907000000, 28000, 47.808
314.007000000, 28000, 47.808
314.107000000, 28000, 47.84
314.207000000, 28000, 47.856
314.307000000, 28000, 47.856
314.407000000, 28000, 47.856
314.507000000, 28000, 47.856
314.607000000, 28000, 47.864
314.707000000, 28000, 47.864
314.807000000, 28000, 47.872
314.907000000, 28000, 47.872
315.007000000, 28000, 47.872
315.107000000, 28000, 47.88
315.207000000, 28000, 47.896
315.307000000, 28000, 47.904
315.407000000, 28000, 48
315.507000000, 28000, 48.12
315.607000000, 28000, 48.24
315.707000000, 28000, 48.376
315.807000000, 28000, 48.544
315.907000000, 28000, 48.656
316.007000000, 28000, 48.8
316.107000000, 28000, 48.8
316.207000000, 28000, 48.8
316.307000000, 28000, 48.8
316.407000000, 28000, 48.808
316.507000000, 28000, 48.808
316.607000000, 28000, 48.808
316.707000000, 28000, 48.808
316.807000000, 28000, 48.808
316.907000000, 28000, 48.808
317.007000000, 28000, 48.808
317.107000000, 28000, 48.808
317.207000000, 28000, 48.808
317.307000000, 28000, 48.808
317.407000000, 28000, 48.808
317.507000000, 28000, 48.808
317.607000000, 28000, 48.808
317.707000000, 28000, 48.808
317.807000000, 28000, 48.808
317.907000000, 28000, 48.808
318.007000000, 28000, 48.808
318.107000000, 28000, 48.808
318.207000000, 28000, 48.808
318.307000000, 28000, 48.808
318.407000000, 28000, 48.808
318.507000000, 28000, 48.808
318.607000000, 28000, 48.808
318.707000000, 28000, 48.808
318.807000000, 28000, 48.808
318.907000000, 28000, 48.808
319.007000000, 28000, 48.808
319.107000000, 28000, 48.808
319.207000000, 28000, 48.808
319.307000000, 28000, 48.808
319.407000000, 28000, 48.808
319.507000000, 28000, 48.808
319.607000000, 28000, 48.808
319.707000000, 28000, 48.808
319.807000000, 28000, 48.808
319.907000000, 28000, 48.808
320.007000000, 28000, 48.808
320.107000000, 28000, 48.808
320.207000000, 28000, 48.808
320.307000000, 28000, 48.808
320.407000000, 28000, 48.808
320.507000000, 28000, 48.872
320.607000000, 28000, 48.968
320.707000000, 28000, 49.04
320.807000000, 28000, 49.104
320.907000000, 28000, 49.144
321.007000000, 28000, 49.16
321.107000000, 28000, 49.192
321.207000000, 28000, 49.232
321.307000000, 28000, 49.232
321.407000000, 28000, 49.232
321.509000000, 28000, 49.232
321.707000000, 28000, 49.232
321.807000000, 28000, 49.232
321.907000000, 28000, 49.232
322.007000000, 28000, 49.232
322.107000000, 28000, 49.232
322.207000000, 28000, 49.232
322.307000000, 28000, 49.232
322.407000000, 28000, 49.232
322.507000000, 28000, 49.232
