Stamp, X, Y, Z, Yaw
224.219000000, -4.80036e-09, -9.08414e-09, -3.29298e-07, 0
224.253000000, -9.89122e-08, -6.86636e-08, -0.000419428, -0.0360217
224.287000000, -2.80697e-07, -9.93481e-08, -0.0131124, -0.0360139
224.321000000, -4.53752e-07, -1.16611e-07, -0.0250235, -0.0360088
224.353000000, -5.83917e-07, -1.26923e-08, -0.0272385, -0.0359986
224.385000000, -7.26251e-07, 1.53159e-07, -0.0319315, -0.03598
224.419000000, -7.95232e-07, 3.85107e-07, -0.0388037, -0.0359715
224.453000000, -7.32469e-07, 7.5717e-07, -0.0419052, -0.0359429
224.487000000, -5.95533e-07, 1.1985e-06, -0.0429151, -0.0359027
224.521000000, -2.07617e-07, 1.92509e-06, -0.0439292, -0.0358804
224.553000000, 2.9327e-07, 2.71065e-06, -0.0439142, -0.0358239
224.585000000, 1.09812e-06, 3.62827e-06, -0.0439032, -0.035759
224.619000000, 2.09362e-06, 4.60752e-06, -0.0424838, -0.0357309
224.653000000, 3.33962e-06, 5.65044e-06, -0.0394022, -0.0356282
224.689000000, 4.68307e-06, 6.60227e-06, -0.0346702, -0.0355255
224.723000000, 6.27531e-06, 7.48103e-06, -0.0296051, -0.0354732
224.757000000, 7.90453e-06, 8.2258e-06, -0.0250153, -0.0353565
224.791000000, 9.39557e-06, 8.92763e-06, -0.0212511, -0.0352259
224.827000000, 1.11927e-05, 9.75876e-06, -0.0199991, -0.0351637
224.861000000, 1.26828e-05, 1.02678e-05, -0.0187195, -0.0350443
224.893000000, 1.39764e-05, 1.07003e-05, -0.0167522, -0.0349225
224.927000000, 1.55069e-05, 1.11302e-05, -0.0142935, -0.0348648
224.963000000, 1.69866e-05, 1.13348e-05, -0.0103329, -0.0347381
224.995000000, 1.84188e-05, 1.16575e-05, -0.00695844, -0.0346121
225.029000000, 1.98161e-05, 1.18151e-05, -0.00197384, -0.0345426
225.063000000, 2.13223e-05, 1.20138e-05, 0.00254314, -0.0343993
225.097000000, 2.28085e-05, 1.22861e-05, 0.00611067, -0.0342648
225.129000000, 2.40745e-05, 1.23564e-05, 0.00858594, -0.0342011
225.163000000, 2.51381e-05, 1.25944e-05, 0.00869242, -0.034068
225.195000000, 2.62494e-05, 1.28951e-05, 0.00933704, -0.0339478
225.231000000, 2.73179e-05, 1.32965e-05, -0.0193153, -0.0338927
225.263000000, 2.86256e-05, 1.40356e-05, -0.059658, -0.0337597
225.297000000, 2.96646e-05, 1.49349e-05, -0.109367, -0.0336085
225.331000000, 3.04567e-05, 1.59992e-05, -0.151912, -0.0335468
225.363000000, 3.15039e-05, 1.73736e-05, -0.18093, -0.0333864
225.397000000, 3.22144e-05, 1.88623e-05, -0.213635, -0.0332241
225.431000000, 3.30582e-05, 2.0737e-05, -0.240704, -0.0331353
225.465000000, 3.4235e-05, 2.28196e-05, -0.26159, -0.0329892
225.497000000, 3.53196e-05, 2.51043e-05, -0.287996, -0.0328015
