Stamp, Max volume, Current volume
130.143000000, 28000, 35.416
130.243000000, 28000, 35.512
130.343000000, 28000, 35.6
130.443000000, 28000, 35.712
130.543000000, 28000, 35.792
130.643000000, 28000, 35.856
130.743000000, 28000, 35.888
130.845000000, 28000, 35.904
131.043000000, 28000, 35.912
131.143000000, 28000, 35.936
131.243000000, 28000, 35.976
131.343000000, 28000, 36.08
131.443000000, 28000, 36.096
131.543000000, 28000, 36.104
131.643000000, 28000, 36.104
131.743000000, 28000, 36.2
131.843000000, 28000, 36.2
131.943000000, 28000, 36.208
132.043000000, 28000, 36.248
132.143000000, 28000, 36.32
132.243000000, 28000, 36.416
132.343000000, 28000, 36.416
132.443000000, 28000, 36.416
132.543000000, 28000, 36.416
132.643000000, 28000, 36.52
132.743000000, 28000, 36.624
132.843000000, 28000, 36.728
132.943000000, 28000, 36.76
133.045000000, 28000, 36.952
133.243000000, 28000, 37.04
133.343000000, 28000, 37.04
133.443000000, 28000, 37.16
133.543000000, 28000, 37.248
133.643000000, 28000, 37.32
133.743000000, 28000, 37.416
133.845000000, 28000, 37.472
133.945000000, 28000, 37.544
134.045000000, 28000, 37.544
134.145000000, 28000, 37.552
134.245000000, 28000, 37.552
134.345000000, 28000, 37.592
134.445000000, 28000, 37.608
134.545000000, 28000, 37.608
134.645000000, 28000, 37.608
134.747000000, 28000, 37.608
134.945000000, 28000, 37.616
135.045000000, 28000, 37.616
135.145000000, 28000, 37.688
135.245000000, 28000, 37.776
135.345000000, 28000, 37.856
135.445000000, 28000, 37.928
135.545000000, 28000, 38.032
135.645000000, 28000, 38.136
135.745000000, 28000, 38.392
135.845000000, 28000, 38.392
135.945000000, 28000, 38.392
136.047000000, 28000, 38.392
136.245000000, 28000, 38.552
136.347000000, 28000, 38.568
136.545000000, 28000, 38.584
136.645000000, 28000, 38.656
136.745000000, 28000, 38.848
136.845000000, 28000, 39.32
136.945000000, 28000, 39.856
137.045000000, 28000, 40.44
137.145000000, 28000, 40.896
137.245000000, 28000, 41.224
137.345000000, 28000, 41.528
137.445000000, 28000, 41.728
137.545000000, 28000, 41.936
137.645000000, 28000, 42.048
137.745000000, 28000, 42.12
137.845000000, 28000, 42.2
137.945000000, 28000, 42.2
138.045000000, 28000, 42.2
138.145000000, 28000, 42.2
138.245000000, 28000, 42.208
138.345000000, 28000, 42.216
138.445000000, 28000, 42.224
138.547000000, 28000, 42.224
138.745000000, 28000, 42.24
138.845000000, 28000, 42.256
138.945000000, 28000, 42.256
139.045000000, 28000, 42.256
139.145000000, 28000, 42.256
139.245000000, 28000, 42.264
139.345000000, 28000, 42.344
139.445000000, 28000, 42.528
139.545000000, 28000, 42.712
139.645000000, 28000, 42.88
139.745000000, 28000, 42.976
139.845000000, 28000, 43.056
139.945000000, 28000, 43.112
140.045000000, 28000, 43.192
140.145000000, 28000, 43.24
140.245000000, 28000, 43.28
140.345000000, 28000, 43.328
140.445000000, 28000, 43.456
140.545000000, 28000, 44.904
140.645000000, 28000, 46.68
140.747000000, 28000, 48.792
140.847000000, 28000, 50.952
141.045000000, 28000, 55.288
141.147000000, 28000, 57.728
141.345000000, 28000, 62.256
141.445000000, 28000, 64.608
141.545000000, 28000, 66.976
141.647000000, 28000, 69.232
141.845000000, 28000, 73.808
141.945000000, 28000, 76.2
142.045000000, 28000, 78.576
142.145000000, 28000, 80.976
142.245000000, 28000, 83.28
142.345000000, 28000, 85.24
142.445000000, 28000, 88.096
142.545000000, 28000, 90.32
142.645000000, 28000, 92.584
142.745000000, 28000, 95.056
142.845000000, 28000, 97.528
142.945000000, 28000, 99.968
143.045000000, 28000, 102.392
143.145000000, 28000, 104.624
143.247000000, 28000, 107.208
143.445000000, 28000, 111.776
143.545000000, 28000, 114.152
143.645000000, 28000, 116.736
143.745000000, 28000, 119.048
143.845000000, 28000, 121.6
143.945000000, 28000, 124
144.045000000, 28000, 126.544
144.145000000, 28000, 129.088
144.245000000, 28000, 131.328
144.345000000, 28000, 133.864
144.445000000, 28000, 135.92
144.545000000, 28000, 137.896
144.645000000, 28000, 139.416
144.745000000, 28000, 140.664
144.845000000, 28000, 141.984
144.945000000, 28000, 143.168
145.047000000, 28000, 144.4
145.245000000, 28000, 146.784
145.345000000, 28000, 148.184
145.445000000, 28000, 149.248
145.545000000, 28000, 150.728
145.645000000, 28000, 152.08
145.745000000, 28000, 153.432
145.849000000, 28000, 154.84
145.949000000, 28000, 156.32
146.049000000, 28000, 157.776
146.149000000, 28000, 158.896
146.249000000, 28000, 159.68
146.349000000, 28000, 160.432
146.449000000, 28000, 161
146.549000000, 28000, 161.336
146.649000000, 28000, 161.64
146.749000000, 28000, 161.912
146.849000000, 28000, 162.128
146.949000000, 28000, 162.336
147.049000000, 28000, 162.56
147.149000000, 28000, 162.736
147.249000000, 28000, 162.872
147.349000000, 28000, 162.992
147.449000000, 28000, 163.168
147.549000000, 28000, 163.312
147.649000000, 28000, 163.44
147.749000000, 28000, 163.56
147.849000000, 28000, 163.696
147.949000000, 28000, 163.864
148.049000000, 28000, 164.256
148.149000000, 28000, 164.44
148.249000000, 28000, 164.576
148.349000000, 28000, 164.616
148.449000000, 28000, 164.648
148.549000000, 28000, 164.68
148.649000000, 28000, 164.728
148.749000000, 28000, 164.744
148.849000000, 28000, 164.784
148.949000000, 28000, 164.784
149.049000000, 28000, 164.784
149.149000000, 28000, 164.784
149.249000000, 28000, 164.784
149.349000000, 28000, 164.784
149.449000000, 28000, 164.784
149.549000000, 28000, 164.784
149.649000000, 28000, 164.784
149.749000000, 28000, 164.784
