Stamp, X, Y, Z, Yaw
224.523000000, 2.89613e-06, -9.36699e-07, -0.0416726, 0.0137348
224.555000000, 3.7214e-06, -7.5309e-07, -0.0499066, 0.0137349
224.589000000, 4.74641e-06, -1.71139e-07, -0.054207, 0.0137397
224.623000000, 5.82289e-06, 6.30901e-07, -0.057048, 0.0137494
224.657000000, 6.90354e-06, 1.52338e-06, -0.0580259, 0.0137552
224.689000000, 8.13934e-06, 2.70985e-06, -0.0575415, 0.0137724
224.723000000, 9.58104e-06, 4.09886e-06, -0.0640144, 0.0137862
224.761000000, 1.11125e-05, 5.86147e-06, -0.0709506, 0.013797
224.795000000, 1.26183e-05, 7.79031e-06, -0.0771381, 0.0138153
224.829000000, 1.43058e-05, 9.83814e-06, -0.0803689, 0.0138291
224.865000000, 1.62894e-05, 1.22215e-05, -0.0834188, 0.0138356
224.899000000, 1.82305e-05, 1.44298e-05, -0.0855875, 0.0138413
224.935000000, 2.01911e-05, 1.67411e-05, -0.0861477, 0.013837
224.969000000, 2.2476e-05, 1.94449e-05, -0.0849932, 0.0138301
225.003000000, 2.50165e-05, 2.23067e-05, -0.0830843, 0.0138206
225.037000000, 2.72851e-05, 2.49461e-05, -0.0881089, 0.0138087
225.071000000, 2.99974e-05, 2.797e-05, -0.0903275, 0.013803
225.105000000, 3.28859e-05, 3.14294e-05, -0.0911117, 0.0137797
225.141000000, 3.57718e-05, 3.49321e-05, -0.0913399, 0.0137608
225.175000000, 3.8944e-05, 3.86561e-05, -0.0922234, 0.0137483
225.207000000, 4.2131e-05, 4.23984e-05, -0.094763, 0.0137407
225.241000000, 4.49636e-05, 4.57479e-05, -0.09553, 0.0137181
225.273000000, 4.78022e-05, 4.91497e-05, -0.0950668, 0.0137022
225.309000000, 5.07209e-05, 5.24699e-05, -0.0950086, 0.0136694
225.341000000, 5.4268e-05, 5.6454e-05, -0.0980151, 0.0136561
225.377000000, 5.68628e-05, 5.95779e-05, -0.100621, 0.0136491
225.409000000, 5.95189e-05, 6.26688e-05, -0.103461, 0.0136525
225.443000000, 6.19213e-05, 6.54765e-05, -0.103825, 0.0136596
225.475000000, 6.47879e-05, 6.85823e-05, -0.102468, 0.0136694
225.509000000, 6.79181e-05, 7.17899e-05, -0.101052, 0.013699
225.543000000, 7.1072e-05, 7.47173e-05, -0.0982529, 0.0137344
225.575000000, 7.37878e-05, 7.69322e-05, -0.0936156, 0.0137561
225.609000000, 7.6636e-05, 7.88614e-05, -0.0876654, 0.0138012
225.641000000, 8.0382e-05, 8.14518e-05, -0.0829231, 0.0138523
225.677000000, 8.44106e-05, 8.34879e-05, -0.0772937, 0.0138862
225.709000000, 8.70152e-05, 8.40258e-05, -0.071862, 0.013951
225.743000000, 9.08574e-05, 8.50057e-05, -0.0654097, 0.0140047
225.775000000, 9.42948e-05, 8.53477e-05, -0.0593699, 0.0140339
225.809000000, 9.78095e-05, 8.54186e-05, -0.0535503, 0.0141043
225.843000000, 0.000101658, 8.52386e-05, -0.0477074, 0.0141716
225.877000000, 0.000106483, 8.56651e-05, -0.0423291, 0.014198
225.909000000, 0.000110163, 8.45337e-05, -0.0349014, 0.01424
225.945000000, 0.000113938, 8.3202e-05, -0.0266594, 0.0142831
225.979000000, 0.000118929, 8.20637e-05, -0.0180674, 0.0142979
226.011000000, 0.000123227, 8.12081e-05, -0.0113218, 0.0143484
226.045000000, 0.000127737, 7.94407e-05, -0.00384353, 0.0143927
226.077000000, 0.000132314, 7.82566e-05, 0.00221884, 0.0144141
226.113000000, 0.000136043, 7.4822e-05, 0.0116427, 0.0144323
226.145000000, 0.000140599, 7.31682e-05, 0.0171789, 0.0144602
226.179000000, 0.000145738, 7.03182e-05, 0.0222083, 0.0144726
226.211000000, 0.000149267, 6.69573e-05, 0.0266803, 0.0144602
226.245000000, 0.000152374, 6.32609e-05, 0.0291974, 0.014435
226.279000000, 0.000155909, 5.92936e-05, 0.0324853, 0.0144233
226.311000000, 0.000158357, 5.48871e-05, 0.0358072, 0.0143915
226.347000000, 0.000161188, 5.02571e-05, 0.0374806, 0.014333
226.379000000, 0.000164279, 4.65589e-05, 0.0369059, 0.014314
226.413000000, 0.000166645, 4.14817e-05, 0.0359614, 0.0142764
226.445000000, 0.000167919, 3.60971e-05, 0.0343275, 0.0142178
226.479000000, 0.000169616, 3.02561e-05, 0.0265795, 0.0141726
226.515000000, 0.000171982, 2.52048e-05, 0.020205, 0.014066
226.547000000, 0.000172885, 1.83646e-05, 0.0131415, 0.0139935
226.581000000, 0.000173372, 1.10651e-05, 0.00763145, 0.0139688
