Stamp, X, Y, Z, Yaw
280.967293184, 0.000186336, -0.00159026, -0.132349, -0.0459578
281.002637821, 0.000221375, -0.00142408, -0.131201, -0.0459415
281.037637821, 0.000237006, -0.00138652, -0.130384, -0.0459074
281.067988580, 0.000256118, -0.00138419, -0.128933, -0.0458495
281.102988580, 0.000275872, -0.00137589, -0.127033, -0.0458276
281.132988580, 0.000270902, -0.00135243, -0.126481, -0.0457934
281.169339763, 0.000276698, -0.00132909, -0.124379, -0.0457747
281.199339763, 0.00026473, -0.00129866, -0.123289, -0.0457719
281.237339763, 0.000345948, -0.00140378, -0.120711, -0.045769
281.267692081, 0.00041613, -0.00150178, -0.118448, -0.0457751
281.304692081, 0.000489001, -0.00160721, -0.115394, -0.0457606
281.337692081, 0.000533053, -0.00167606, -0.113678, -0.0457412
281.368045943, 0.00055291, -0.00171444, -0.112436, -0.0457132
281.400045943, 0.00060078, -0.0017915, -0.109634, -0.0456869
281.435045943, 0.000722224, -0.00180937, -0.107376, -0.0456374
281.470396520, 0.000906904, -0.0018246, -0.104066, -0.0455954
281.503396520, 0.000993359, -0.00181444, -0.102237, -0.0455736
281.538396520, 0.0011436, -0.00181572, -0.0983299, -0.045555
281.568747158, 0.00124775, -0.00180836, -0.0950837, -0.0455518
281.602747158, 0.00133617, -0.00179, -0.0920286, -0.0455685
281.635747158, 0.00140197, -0.00176846, -0.0893143, -0.0455959
281.670099541, 0.00145764, -0.0017405, -0.0865666, -0.0456306
281.705099541, 0.00152613, -0.00171305, -0.083098, -0.0456483
281.738099541, 0.00156956, -0.00168186, -0.0801705, -0.0456781
281.774446942, 0.00161893, -0.00164521, -0.0765487, -0.0456884
281.803446942, 0.00166987, -0.00161431, -0.073619, -0.0456896
281.836446942, 0.0017608, -0.00157793, -0.070529, -0.0456913
281.870810390, 0.00181499, -0.00153626, -0.0681055, -0.0456933
281.905810390, 0.00188577, -0.00149339, -0.0650829, -0.0456901
281.936810390, 0.0019503, -0.0014547, -0.0622135, -0.0456889
281.970173253, 0.00200481, -0.00141092, -0.0598358, -0.0456703
282.005173253, 0.00206826, -0.00136568, -0.0570023, -0.0456571
282.037173253, 0.00216869, -0.00143986, -0.054646, -0.0456361
282.072545607, 0.00228352, -0.00152606, -0.0512494, -0.0456244
282.105545607, 0.00236164, -0.00157689, -0.0487547, -0.045587
282.138545607, 0.00243028, -0.00161892, -0.0464245, -0.04557
282.173917437, 0.00250689, -0.00166718, -0.0438499, -0.04556
282.205917437, 0.00254437, -0.00174562, -0.0420368, -0.0455587
282.240917437, 0.00256403, -0.00186253, -0.039987, -0.0455473
282.271295505, 0.0025736, -0.0019343, -0.0382727, -0.0455393
282.307295505, 0.00259209, -0.00205467, -0.0349322, -0.0455305
282.340295505, 0.00260145, -0.002133, -0.0324617, -0.0455184
282.372676162, 0.00260768, -0.00220056, -0.0312639, -0.0455096
282.407676162, 0.00260494, -0.00225195, -0.0303475, -0.0455011
282.442676162, 0.00258512, -0.00229903, -0.0296617, -0.0454794
282.475061633, 0.0025667, -0.00231018, -0.0288756, -0.0454533
282.508061633, 0.00254633, -0.0023441, -0.0272256, -0.0454428
282.540061633, 0.00252609, -0.00235871, -0.0260711, -0.0454466
282.573448561, 0.00250487, -0.0023685, -0.0246557, -0.0454501
282.605448561, 0.00247859, -0.00237017, -0.0232264, -0.0454495
282.640448561, 0.00243935, -0.00235643, -0.022925, -0.0454497
282.675833168, 0.00240083, -0.00234039, -0.022296, -0.0454515
282.705833168, 0.00236583, -0.00232666, -0.0223264, -0.0454557
282.743833168, 0.00232282, -0.00230663, -0.0217916, -0.0454691
282.776218509, 0.00228737, -0.00228632, -0.0208226, -0.045478
282.809218509, 0.00217907, -0.00238485, -0.0199248, -0.0454856
282.839218509, 0.00200781, -0.00259057, -0.0188537, -0.0454747
282.874601872, 0.00184325, -0.00277262, -0.0173216, -0.0454334
282.906601872, 0.00168969, -0.00293911, -0.0157713, -0.0454125
282.939601872, 0.00154443, -0.00308987, -0.013885, -0.0453674
282.976986527, 0.00137581, -0.00326153, -0.0119206, -0.0453332
283.008986527, 0.00125353, -0.00335365, -0.0105544, -0.0453192
283.043986527, 0.00113896, -0.00340489, -0.00939134, -0.0452816
283.076371557, 0.00103187, -0.00344981, -0.00792747, -0.0452268
283.109371557, 0.000914029, -0.0035005, -0.00576902, -0.0451972
283.144371557, 0.000812914, -0.00352917, -0.00378253, -0.045158
283.176754012, 0.0007187, -0.00355282, -0.0014029, -0.0451406
283.209754012, 0.000702791, -0.00361525, 0.00111921, -0.0450924
283.244754012, 0.000753215, -0.00370972, 0.00381152, -0.0450659
283.277137067, 0.000798955, -0.00379298, 0.00675671, -0.0450616
283.307137067, 0.000840311, -0.00386591, 0.00946553, -0.0450558
283.345137067, 0.000884325, -0.0039443, 0.0125566, -0.045067
283.377520852, 0.000911333, -0.00399689, 0.0151815, -0.0450836
283.409520852, 0.000932533, -0.00402342, 0.0176716, -0.0450832
283.444520852, 0.000957121, -0.0040299, 0.0205222, -0.0450693
283.474903425, 0.000970629, -0.00403121, 0.023046, -0.0450637
283.507903425, 0.000977919, -0.00402883, 0.0255855, -0.0450456
283.544903425, 0.000976445, -0.00402197, 0.0279228, -0.0450155
