Stamp, Min, Max, Current, Mean
154.593000000, 2, 3, 0.311076, 0.311076
154.625000000, 2, 3, 0.311023, 0.31105
154.663000000, 2, 3, 0.310878, 0.310992
154.697000000, 2, 3, 0.310872, 0.310962
154.733000000, 2, 3, 0.310894, 0.310949
154.775000000, 2, 3, 0.310894, 0.310939
154.801000000, 2, 3, 0.310955, 0.310942
154.837000000, 2, 3, 0.311006, 0.31095
154.869000000, 2, 3, 0.310997, 0.310955
154.905000000, 2, 3, 0.31116, 0.310975
154.939000000, 2, 3, 0.311338, 0.311008
154.973000000, 2, 3, 0.311524, 0.311051
155.007000000, 2, 3, 0.311669, 0.311099
155.041000000, 2, 3, 0.311835, 0.311151
155.073000000, 2, 3, 0.312028, 0.31121
155.109000000, 2, 3, 0.312374, 0.311283
155.141000000, 2, 3, 0.312814, 0.311373
155.175000000, 2, 3, 0.313163, 0.311472
155.207000000, 2, 3, 0.313537, 0.311581
155.243000000, 2, 3, 0.31387, 0.311695
155.275000000, 2, 3, 0.314167, 0.311813
155.309000000, 2, 3, 0.314566, 0.311938
155.343000000, 2, 3, 0.315098, 0.312076
155.377000000, 2, 3, 0.315493, 0.312218
155.409000000, 2, 3, 0.315807, 0.312362
155.443000000, 2, 3, 0.316003, 0.312502
155.477000000, 2, 3, 0.316257, 0.312641
155.509000000, 2, 3, 0.316619, 0.312783
155.545000000, 2, 3, 0.316947, 0.312926
155.577000000, 2, 3, 0.317228, 0.31307
155.611000000, 2, 3, 0.317785, 0.313222
155.643000000, 2, 3, 0.318258, 0.313379
155.677000000, 2, 3, 0.318784, 0.313543
155.711000000, 2, 3, 0.319378, 0.313715
155.743000000, 2, 3, 0.320154, 0.313899
155.777000000, 2, 3, 0.320835, 0.314091
155.809000000, 2, 3, 0.321733, 0.314298
155.843000000, 2, 3, 0.322425, 0.314512
155.877000000, 2, 3, 0.322941, 0.314728
155.911000000, 2, 3, 0.323938, 0.314958
155.945000000, 2, 3, 0.324821, 0.315199
155.979000000, 2, 3, 0.325758, 0.31545
156.011000000, 2, 3, 0.326719, 0.315712
156.045000000, 2, 3, 0.327462, 0.315979
156.079000000, 2, 3, 0.32825, 0.316252
156.111000000, 2, 3, 0.329075, 0.316531
156.145000000, 2, 3, 0.32988, 0.316815
156.177000000, 2, 3, 0.330819, 0.317106
156.213000000, 2, 3, 3.30482, 0.37808
156.245000000, 2, 3, 3.30488, 0.436616
156.279000000, 2, 3, 3.30495, 0.492858
156.311000000, 2, 3, 3.30506, 0.546939
156.345000000, 2, 3, 3.30519, 0.598981
156.379000000, 2, 3, 3.30523, 0.649097
156.411000000, 2, 3, 3.30531, 0.697392
156.445000000, 2, 3, 3.30532, 0.743962
156.477000000, 2, 3, 3.30535, 0.788899
156.513000000, 2, 3, 3.30549, 0.832288
156.545000000, 2, 3, 3.30557, 0.874208
156.577000000, 2, 3, 3.30565, 0.914732
156.611000000, 2, 3, 3.30571, 0.953929
156.645000000, 2, 3, 3.30578, 0.991862
156.679000000, 2, 3, 3.30585, 1.02859
156.711000000, 2, 3, 3.3059, 1.06417
156.751000000, 2, 3, 3.30595, 1.09866
156.783000000, 2, 3, 3.30596, 1.13211
156.817000000, 2, 3, 3.30597, 1.16455
156.851000000, 2, 3, 3.306, 1.19605
156.883000000, 2, 3, 3.30606, 1.22662
156.917000000, 2, 3, 3.30611, 1.25633
156.949000000, 2, 3, 3.30615, 1.2852
156.985000000, 2, 3, 3.30618, 1.31327
157.017000000, 2, 3, 3.3062, 1.34057
157.051000000, 2, 3, 3.30621, 1.36713
157.083000000, 2, 3, 3.3062, 1.39299
157.117000000, 2, 3, 3.30619, 1.41816
157.151000000, 2, 3, 3.30617, 1.44268
157.183000000, 2, 3, 3.30613, 1.46657
157.217000000, 2, 3, 3.30608, 1.48986
157.251000000, 2, 3, 3.30602, 1.51256
157.283000000, 2, 3, 3.30595, 1.5347
157.317000000, 2, 3, 3.30586, 1.5563
157.351000000, 2, 3, 3.30577, 1.57738
157.385000000, 2, 3, 3.30569, 1.59795
157.417000000, 2, 3, 3.3056, 1.61804
157.451000000, 2, 3, 3.30552, 1.63767
157.483000000, 2, 3, 3.30546, 1.65684
157.517000000, 2, 3, 3.30537, 1.67557
157.551000000, 2, 3, 3.30533, 1.69388
157.583000000, 2, 3, 3.30529, 1.71178
157.615000000, 2, 3, 3.30524, 1.7293
157.651000000, 2, 3, 3.30518, 1.74642
157.683000000, 2, 3, 3.30515, 1.76318
157.717000000, 2, 3, 3.30515, 1.77959
157.751000000, 2, 3, 3.30515, 1.79565
157.783000000, 2, 3, 3.30514, 1.81137
157.819000000, 2, 3, 3.30512, 1.82677
157.851000000, 2, 3, 3.30507, 1.84186
157.885000000, 2, 3, 3.30505, 1.85664
157.917000000, 2, 3, 3.30509, 1.87112
157.951000000, 2, 3, 3.3051, 1.88532
157.985000000, 2, 3, 3.30512, 1.89924
158.017000000, 2, 3, 3.30513, 1.91289
158.051000000, 2, 3, 3.30519, 1.92627
158.085000000, 2, 3, 3.3052, 1.93941
158.119000000, 2, 3, 3.30521, 1.95229
158.151000000, 2, 3, 3.30519, 1.96494
158.183000000, 2, 3, 3.30516, 1.97735
158.219000000, 2, 3, 3.30511, 1.98953
158.251000000, 2, 3, 3.30516, 2.00149
158.285000000, 2, 3, 3.30521, 2.01323
158.317000000, 2, 3, 3.30522, 2.02477
158.351000000, 2, 3, 3.3052, 2.0361
158.387000000, 2, 3, 3.30518, 2.04723
158.419000000, 2, 3, 3.30514, 2.05817
158.453000000, 2, 3, 3.30509, 2.06892
158.485000000, 2, 3, 3.30507, 2.07948
158.519000000, 2, 3, 0.330475, 2.06466
158.553000000, 2, 3, 0.329902, 2.05008
158.585000000, 2, 3, 0.329327, 2.03574
158.619000000, 2, 3, 0.32901, 2.02164
158.653000000, 2, 3, 0.32881, 2.00776
158.687000000, 2, 3, 0.328717, 1.99411
158.719000000, 2, 3, 0.328708, 1.98068
158.753000000, 2, 3, 0.328559, 1.96747
158.785000000, 2, 3, 0.328464, 1.95446
158.819000000, 2, 3, 0.328503, 1.94165
158.853000000, 2, 3, 0.328591, 1.92905
158.885000000, 2, 3, 0.32858, 1.91665
158.919000000, 2, 3, 0.328362, 1.90443
158.955000000, 2, 3, 0.328106, 1.8924
158.987000000, 2, 3, 0.327895, 1.88054
159.019000000, 2, 3, 0.327786, 1.86887
159.053000000, 2, 3, 0.327872, 1.85737
159.085000000, 2, 3, 0.328128, 1.84604
159.121000000, 2, 3, 0.328408, 1.83488
159.153000000, 2, 3, 0.328729, 1.82389
159.187000000, 2, 3, 0.329046, 1.81306
159.219000000, 2, 3, 0.329287, 1.80238
159.253000000, 2, 3, 3.30329, 1.8131
159.287000000, 2, 3, 3.30324, 1.82367
159.319000000, 2, 3, 3.30334, 1.83409
159.353000000, 2, 3, 3.30343, 1.84437
159.387000000, 2, 3, 3.30348, 1.8545
159.419000000, 2, 3, 3.30351, 1.86449
159.453000000, 2, 3, 3.30354, 1.87435
159.485000000, 2, 3, 3.30366, 1.88407
159.521000000, 2, 3, 3.30373, 1.89366
159.553000000, 2, 3, 3.30387, 1.90313
159.587000000, 2, 3, 3.30404, 1.91247
159.619000000, 2, 3, 3.30418, 1.92168
159.653000000, 2, 3, 3.30429, 1.93078
159.687000000, 2, 3, 0.329901, 1.92032
159.719000000, 2, 3, 0.329606, 1.90999
159.753000000, 2, 3, 0.329268, 1.89979
159.785000000, 2, 3, 0.329108, 1.88972
159.821000000, 2, 3, 0.329087, 1.87978
159.853000000, 2, 3, 0.329143, 1.86997
159.887000000, 2, 3, 0.329009, 1.86027
159.919000000, 2, 3, 0.328903, 1.8507
159.953000000, 2, 3, 0.328801, 1.84125
159.987000000, 2, 3, 0.328748, 1.83191
160.019000000, 2, 3, 0.328693, 1.82269
160.053000000, 2, 3, 0.32874, 1.81358
160.085000000, 2, 3, 0.328903, 1.80458
160.119000000, 2, 3, 0.329079, 1.7957
160.153000000, 2, 3, 0.329326, 1.78692
160.185000000, 2, 3, 0.329651, 1.77824
160.219000000, 2, 3, 0.330238, 1.76967
160.253000000, 2, 3, 0.330628, 1.76121
160.285000000, 2, 3, 3.30415, 1.77023
160.319000000, 2, 3, 3.30404, 1.77915
160.353000000, 2, 3, 3.30394, 1.78796
160.385000000, 2, 3, 3.30384, 1.79667
160.419000000, 2, 3, 3.30374, 1.80529
160.451000000, 2, 3, 3.30364, 1.8138
160.487000000, 2, 3, 3.30359, 1.82222
160.519000000, 2, 3, 3.3036, 1.83054
160.553000000, 2, 3, 3.30363, 1.83877
160.585000000, 2, 3, 3.30366, 1.84691
160.619000000, 2, 3, 3.30367, 1.85496
160.653000000, 2, 3, 3.30368, 1.86292
160.685000000, 2, 3, 3.30367, 1.87079
160.719000000, 2, 3, 3.30367, 1.87858
160.751000000, 2, 3, 3.30365, 1.88628
160.789000000, 2, 3, 3.3036, 1.8939
160.823000000, 2, 3, 3.30353, 1.90144
160.855000000, 2, 3, 3.30342, 1.90889
160.889000000, 2, 3, 3.30329, 1.91627
160.921000000, 2, 3, 3.30314, 1.92357
160.957000000, 2, 3, 3.30297, 1.93079
160.991000000, 2, 3, 3.30277, 1.93794
161.023000000, 2, 3, 3.30254, 1.94501
161.059000000, 2, 3, 3.3023, 1.95201
161.091000000, 2, 3, 3.30211, 1.95893
161.125000000, 2, 3, 3.30189, 1.96578
161.157000000, 2, 3, 3.30172, 1.97256
161.191000000, 2, 3, 3.30158, 1.97927
161.225000000, 2, 3, 3.30148, 1.98592
161.257000000, 2, 3, 3.30141, 1.9925
161.291000000, 2, 3, 3.30141, 1.99901
161.321000000, 2, 3, 3.30143, 2.00546
161.357000000, 2, 3, 3.30146, 2.01184
161.391000000, 2, 3, 3.30149, 2.01816
161.425000000, 2, 3, 3.30155, 2.02442
161.457000000, 2, 3, 3.30162, 2.03062
161.491000000, 2, 3, 3.30186, 2.03676
161.525000000, 2, 3, 3.30213, 2.04285
161.557000000, 2, 3, 3.30202, 2.04887
