Stamp, X, Y, Z, Yaw
230.469000000, 7.13212e-18, -1.43568e-33, -0.0582382, 0.0155038
230.503000000, 6.90446e-18, -1.38986e-33, -0.0563792, 0.0154653
230.535000000, 6.60132e-18, -1.32883e-33, -0.0539039, 0.0154279
230.569000000, 6.25069e-18, -1.25825e-33, -0.0510407, 0.0154246
230.601000000, 5.9035e-18, -1.18836e-33, -0.0482058, 0.0154744
230.637000000, 5.5975e-18, -1.12677e-33, -0.0457071, 0.0156127
230.669000000, 5.22746e-18, -1.05228e-33, -0.0426855, 0.0156538
230.703000000, 4.81995e-18, -9.70248e-34, -0.0393579, 0.0157701
230.737000000, 4.45767e-18, -8.97321e-34, -0.0363996, 0.0158862
230.771000000, 3.9973e-18, -8.04649e-34, -0.0326404, 0.0159004
230.803000000, 3.63792e-18, -7.32307e-34, -0.0297059, 0.0159636
230.837000000, 3.20449e-18, -6.45058e-34, -0.0261667, 0.0160501
230.869000000, 2.75702e-18, -5.54983e-34, -0.0225128, 0.0160887
230.903000000, 2.14385e-18, -4.31553e-34, -0.0175059, 0.0161481
230.937000000, 1.65635e-18, -3.3342e-34, -0.0135251, 0.016242
230.971000000, 1.1206e-18, -2.25575e-34, -0.00915043, 0.0163144
231.003000000, 1.14479e-18, -2.30445e-34, -0.00934795, 0.0164731
231.037000000, 1.36404e-18, -2.74579e-34, -0.0111383, 0.0165455
231.069000000, 1.76708e-18, -3.55709e-34, -0.0144293, 0.0165612
231.103000000, 2.10736e-18, -4.24208e-34, -0.0172079, 0.016591
231.137000000, 2.45694e-18, -4.94578e-34, -0.0200625, 0.0165829
231.171000000, 2.77896e-18, -5.59399e-34, -0.0226919, 0.0165589
231.205000000, 3.25196e-18, -6.54613e-34, -0.0265542, 0.016494
231.237000000, 4.31677e-18, -8.68957e-34, -0.0352491, 0.0164167
231.271000000, 4.90751e-18, -9.87871e-34, -0.0400728, 0.0162496
231.305000000, 5.35335e-18, -1.07762e-33, -0.0437134, 0.0160505
231.341000000, 5.6624e-18, -1.13983e-33, -0.046237, 0.0157764
231.375000000, 5.89209e-18, -1.18607e-33, -0.0481126, 0.0156553
231.409000000, 6.08442e-18, -1.22478e-33, -0.0496831, 0.0154249
231.443000000, 6.22528e-18, -1.25314e-33, -0.0508332, 0.015249
231.477000000, 6.43558e-18, -1.29547e-33, -0.0525505, 0.0151752
231.511000000, 6.6689e-18, -1.34244e-33, -0.0544557, 0.0150165
231.543000000, 9.11548e-18, -1.83493e-33, -0.0744336, 0.0149047
231.577000000, 1.25365e-17, -2.52357e-33, -0.102368, 0.0148761
231.611000000, 1.44266e-17, -2.90404e-33, -0.117802, 0.0149189
231.645000000, 1.66418e-17, -3.34997e-33, -0.135891, 0.0150429
231.679000000, 1.89857e-17, -3.82179e-33, -0.15503, 0.0151405
231.713000000, 2.03562e-17, -4.09767e-33, -0.166221, 0.0153013
231.745000000, 2.24013e-17, -4.50935e-33, -0.182921, 0.0154803
231.779000000, 2.39635e-17, -4.82382e-33, -0.195677, 0.0155698
231.813000000, 2.51826e-17, -5.06921e-33, -0.205632, 0.0157445
231.845000000, 2.63292e-17, -5.30001e-33, -0.214994, 0.0158626
231.879000000, 2.68119e-17, -5.39717e-33, -0.218935, 0.01588
231.913000000, 2.70853e-17, -5.45222e-33, -0.221168, 0.0158628
231.947000000, 2.6942e-17, -5.42338e-33, -0.219998, 0.0158033
231.979000000, 2.66495e-17, -5.36449e-33, -0.21761, 0.0157674
232.013000000, 2.65475e-17, -5.34396e-33, -0.216777, 0.0157429
232.047000000, 2.59093e-17, -5.2155e-33, -0.211566, 0.0157421
232.079000000, 2.51381e-17, -5.06025e-33, -0.205268, 0.0157309
232.113000000, 2.39151e-17, -4.81406e-33, -0.195282, 0.0157068
232.145000000, 2.20519e-17, -4.43901e-33, -0.180068, 0.0156746
232.181000000, 1.97281e-17, -3.97122e-33, -0.161092, 0.0156362
232.213000000, 1.77367e-17, -3.57036e-33, -0.144831, 0.0156425
232.245000000, 1.54633e-17, -3.11274e-33, -0.126268, 0.0156584
232.279000000, 1.28604e-17, -2.58878e-33, -0.105013, 0.0156799
232.313000000, 1.01315e-17, -2.03945e-33, -0.08273, 0.0157521
232.347000000, 7.75334e-18, -1.56073e-33, -0.0633108, 0.0158385
232.379000000, 5.02788e-18, -1.0121e-33, -0.0410558, 0.0159144
232.413000000, 2.28806e-18, -4.60582e-34, -0.0186834, 0.015982
232.447000000, -4.93355e-19, 9.93115e-35, 0.00402855, 0.0160606
232.479000000, -2.74824e-18, 5.53215e-34, 0.0224411, 0.0160651
232.513000000, -5.01239e-18, 1.00898e-33, 0.0409293, 0.0160568
232.547000000, -7.93024e-18, 1.59634e-33, 0.0647553, 0.0160465
232.581000000, -9.29389e-18, 1.87084e-33, 0.0758903, 0.0159923
232.615000000, -1.07269e-17, 2.15931e-33, 0.0875922, 0.0158732
232.647000000, -1.2236e-17, 2.46308e-33, 0.0999143, 0.015679
232.681000000, -1.41102e-17, 2.84035e-33, 0.115218, 0.0155516
232.715000000, -1.57071e-17, 3.16181e-33, 0.128258, 0.0151953
232.747000000, -1.75796e-17, 3.53874e-33, 0.143548, 0.0148631
232.781000000, -1.94202e-17, 3.90926e-33, 0.158578, 0.014744
232.815000000, -2.14108e-17, 4.30996e-33, 0.174833, 0.014518
232.847000000, -2.32627e-17, 4.68274e-33, 0.189955, 0.0142216
232.881000000, -2.52497e-17, 5.08272e-33, 0.206179, 0.0141141
232.913000000, -2.71479e-17, 5.46483e-33, 0.22168, 0.0139261
232.947000000, -2.90887e-17, 5.85549e-33, 0.237527, 0.0138374
232.981000000, -3.13084e-17, 6.30231e-33, 0.255652, 0.0138321
233.013000000, -3.28568e-17, 6.61402e-33, 0.268296, 0.0138315
233.047000000, -3.4818e-17, 7.0088e-33, 0.284311, 0.0138723
233.081000000, -3.63293e-17, 7.31302e-33, 0.296651, 0.0139045
233.113000000, -3.81386e-17, 7.67723e-33, 0.311426, 0.0140091
233.147000000, -3.96602e-17, 7.98352e-33, 0.32385, 0.0141079
233.179000000, -4.11208e-17, 8.27754e-33, 0.335777, 0.0141463
233.215000000, -4.23397e-17, 8.5229e-33, 0.34573, 0.0141615
233.247000000, -4.33698e-17, 8.73026e-33, 0.354141, 0.0141451
233.279000000, -4.45186e-17, 8.9615e-33, 0.363522, 0.0141352
233.315000000, -4.5894e-17, 9.23837e-33, 0.374753, 0.0140789
233.347000000, -4.68333e-17, 9.42745e-33, 0.382423, 0.0139605
233.381000000, -4.81597e-17, 9.69444e-33, 0.393253, 0.0138865
233.413000000, -4.92655e-17, 9.91705e-33, 0.402283, 0.0137463
233.447000000, -5.04022e-17, 1.01459e-32, 0.411565, 0.0136305
233.481000000, -5.14718e-17, 1.03612e-32, 0.420299, 0.0136235
233.513000000, -5.25844e-17, 1.05851e-32, 0.429384, 0.0138337
233.547000000, -5.3523e-17, 1.07741e-32, 0.437048, 0.0173352
233.579000000, -5.43045e-17, 1.09314e-32, 0.44343, 0.0204143
233.613000000, -5.50536e-17, 1.10822e-32, 0.449547, 0.031448
233.647000000, -5.57782e-17, 1.1228e-32, 0.455464, 0.0447434
233.681000000, -5.648e-17, 1.13693e-32, 0.461194, 0.0529296
233.713000000, -5.73174e-17, 1.15379e-32, 0.468032, 0.0723451
233.747000000, -5.79517e-17, 1.16656e-32, 0.473211, 0.0927707
233.781000000, -5.83239e-17, 1.17405e-32, 0.476251, 0.102232
233.813000000, -5.87769e-17, 1.18317e-32, 0.47995, 0.124802
233.847000000, -5.91399e-17, 1.19048e-32, 0.482914, 0.15002
233.879000000, -5.95041e-17, 1.19781e-32, 0.485888, 0.162166
233.915000000, -5.98194e-17, 1.20415e-32, 0.488462, 0.186981
233.947000000, -0.000164161, 0.00300488, 0.490782, 0.21077
233.981000000, 5.17544e-05, 0.00319974, 0.491941, 0.223618
234.013000000, 0.000293757, 0.00329862, 0.493735, 0.249543
234.047000000, 0.00052407, 0.00340621, 0.494815, 0.264261
234.081000000, 0.0007527, 0.00346029, 0.496076, 0.290514
234.113000000, 0.000983972, 0.00347585, 0.497629, 0.315342
234.147000000, 0.00108899, 0.00350428, 0.498497, 0.343674
234.181000000, 0.00117099, 0.00354976, 0.498625, 0.357011
234.213000000, 0.00124705, 0.00358784, 0.499475, 0.383691
234.247000000, 0.00127934, 0.00367505, 0.498009, 0.408892
234.279000000, 0.00132103, 0.00373489, 0.496542, 0.422347
234.315000000, 0.00119318, 0.00379943, 0.494644, 0.449364
234.347000000, 0.000994436, 0.00385108, 0.493385, 0.476513
234.381000000, 0.000753954, 0.00388707, 0.492453, 0.491835
234.413000000, 0.000486646, 0.00391711, 0.490065, 0.519228
234.445000000, 0.000283356, 0.00398204, 0.487641, 0.532901
234.481000000, 9.75782e-05, 0.00404045, 0.485615, 0.558606
234.513000000, -0.000123081, 0.00409735, 0.483889, 0.586161
234.547000000, -0.000442227, 0.00409818, 0.482663, 0.613804
234.579000000, -0.000798017, 0.0041085, 0.481713, 0.62762
234.615000000, -0.00106082, 0.00414542, 0.480859, 0.657078
234.647000000, -0.00130238, 0.00419081, 0.479962, 0.683069
234.679000000, -0.00152861, 0.0042504, 0.479308, 0.698751
234.713000000, -0.0018489, 0.00441177, 0.476514, 0.726592
234.747000000, -0.00219312, 0.00469755, 0.472987, 0.754541
234.779000000, -0.0025057, 0.00495967, 0.470319, 0.766803
234.813000000, -0.00281571, 0.00523638, 0.467483, 0.796687
234.845000000, -0.00309985, 0.00549185, 0.46482, 0.824874
234.879000000, -0.00336894, 0.00573928, 0.462454, 0.838938
234.913000000, -0.00372104, 0.00603869, 0.460288, 0.865479
234.947000000, -0.00412809, 0.00631311, 0.458926, 0.8937
234.979000000, -0.00451753, 0.00658247, 0.457617, 0.907837
235.013000000, -0.00487926, 0.00683228, 0.456489, 0.936138
235.047000000, -0.0052072, 0.00705624, 0.455984, 0.966149
235.083000000, -0.00549919, 0.00725318, 0.455833, 0.97932
235.117000000, -0.00584979, 0.00750312, 0.455937, 1.00951
235.151000000, -0.00614233, 0.00776647, 0.456371, 1.03724
235.185000000, -0.00639749, 0.00800753, 0.456559, 1.05146
235.219000000, -0.00660955, 0.00822267, 0.457037, 1.07765
235.253000000, -0.00683115, 0.00846348, 0.457814, 1.10978
235.285000000, -0.00697927, 0.00863934, 0.458647, 1.12051
235.319000000, -0.00713291, 0.0088022, 0.459074, 1.15086
