Stamp, Min, Max, Current, Mean
281.795000000, 1.5, 4, 0.315047, 0.315047
281.825000000, 1.5, 4, 0.31524, 0.315144
281.861000000, 1.5, 4, 0.315439, 0.315242
281.897000000, 1.5, 4, 0.315637, 0.315341
281.929000000, 1.5, 4, 0.315903, 0.315454
281.965000000, 1.5, 4, 0.316184, 0.315575
281.999000000, 1.5, 4, 0.31644, 0.315699
282.033000000, 1.5, 4, 0.316766, 0.315832
282.067000000, 1.5, 4, 0.316977, 0.315959
282.099000000, 1.5, 4, 0.317347, 0.316098
282.133000000, 1.5, 4, 0.31765, 0.316239
282.167000000, 1.5, 4, 0.317957, 0.316382
282.201000000, 1.5, 4, 0.318315, 0.316531
282.235000000, 1.5, 4, 0.31858, 0.316677
282.269000000, 1.5, 4, 0.318905, 0.316826
282.303000000, 1.5, 4, 0.319202, 0.316974
282.337000000, 1.5, 4, 0.31981, 0.317141
282.371000000, 1.5, 4, 0.320289, 0.317316
282.405000000, 1.5, 4, 0.320518, 0.317485
282.437000000, 1.5, 4, 0.320702, 0.317646
282.473000000, 1.5, 4, 0.320856, 0.317798
282.505000000, 1.5, 4, 0.321043, 0.317946
282.539000000, 1.5, 4, 0.321421, 0.318097
282.573000000, 1.5, 4, 0.321699, 0.318247
282.605000000, 1.5, 4, 0.322044, 0.318399
282.641000000, 1.5, 4, 0.322405, 0.318553
282.673000000, 1.5, 4, 0.322517, 0.3187
282.705000000, 1.5, 4, 0.322708, 0.318843
282.739000000, 1.5, 4, 0.322737, 0.318977
282.773000000, 1.5, 4, 0.322912, 0.319108
282.807000000, 1.5, 4, 0.323187, 0.31924
282.839000000, 1.5, 4, 0.323478, 0.319372
282.873000000, 1.5, 4, 0.32384, 0.319508
282.907000000, 1.5, 4, 0.324324, 0.319649
282.939000000, 1.5, 4, 0.324814, 0.319797
282.973000000, 1.5, 4, 0.325397, 0.319953
283.007000000, 1.5, 4, 0.326026, 0.320117
283.041000000, 1.5, 4, 0.326482, 0.320284
283.075000000, 1.5, 4, 0.326892, 0.320454
283.107000000, 1.5, 4, 0.327385, 0.320627
283.141000000, 1.5, 4, 0.328092, 0.320809
283.173000000, 1.5, 4, 0.328751, 0.320998
283.207000000, 1.5, 4, 0.329534, 0.321197
283.241000000, 1.5, 4, 3.18871, 0.386367
283.275000000, 1.5, 4, 3.18852, 0.448638
283.307000000, 1.5, 4, 3.18834, 0.508196
283.341000000, 1.5, 4, 3.18818, 0.565217
283.375000000, 1.5, 4, 3.188, 0.619859
283.407000000, 1.5, 4, 3.18787, 0.672267
283.443000000, 1.5, 4, 3.18777, 0.722577
283.475000000, 1.5, 4, 3.18768, 0.770912
283.507000000, 1.5, 4, 3.18761, 0.817387
283.541000000, 1.5, 4, 3.18755, 0.862108
283.575000000, 1.5, 4, 3.1875, 0.90517
283.609000000, 1.5, 4, 3.18745, 0.946666
283.641000000, 1.5, 4, 3.18726, 0.986677
283.673000000, 1.5, 4, 3.18708, 1.02528
283.709000000, 1.5, 4, 3.18685, 1.06255
283.741000000, 1.5, 4, 3.18656, 1.09855
283.775000000, 1.5, 4, 3.18634, 1.13335
283.809000000, 1.5, 4, 3.18611, 1.167
283.841000000, 1.5, 4, 3.18604, 1.19956
283.875000000, 1.5, 4, 3.18607, 1.23109
283.907000000, 1.5, 4, 3.18615, 1.26164
283.941000000, 1.5, 4, 3.18625, 1.29125
283.975000000, 1.5, 4, 3.18624, 1.31996
284.007000000, 1.5, 4, 3.18626, 1.34782
284.041000000, 1.5, 4, 3.18626, 1.37485
284.075000000, 1.5, 4, 3.18625, 1.40111
284.109000000, 1.5, 4, 3.18621, 1.42661
284.141000000, 1.5, 4, 3.18623, 1.45139
284.173000000, 1.5, 4, 3.18613, 1.47549
284.209000000, 1.5, 4, 3.1861, 1.49892
284.241000000, 1.5, 4, 3.18597, 1.52172
284.275000000, 1.5, 4, 3.18582, 1.5439
284.309000000, 1.5, 4, 3.18568, 1.56551
284.343000000, 1.5, 4, 3.18556, 1.58655
284.375000000, 1.5, 4, 3.1855, 1.60705
284.407000000, 1.5, 4, 3.18547, 1.62703
284.443000000, 1.5, 4, 3.18556, 1.64651
284.475000000, 1.5, 4, 3.18573, 1.66551
284.507000000, 1.5, 4, 3.18597, 1.68405
284.541000000, 1.5, 4, 3.1862, 1.70215
284.575000000, 1.5, 4, 3.18648, 1.71982
284.609000000, 1.5, 4, 3.18685, 1.73708
284.641000000, 1.5, 4, 3.18719, 1.75394
284.675000000, 1.5, 4, 3.18756, 1.77042
284.707000000, 1.5, 4, 3.18794, 1.78653
284.743000000, 1.5, 4, 3.18769, 1.80227
284.775000000, 1.5, 4, 3.18751, 1.81766
284.809000000, 1.5, 4, 3.18736, 1.83272
284.841000000, 1.5, 4, 3.18725, 1.84744
284.875000000, 1.5, 4, 3.18715, 1.86184
284.909000000, 1.5, 4, 3.1871, 1.87594
284.941000000, 1.5, 4, 3.18705, 1.88974
284.975000000, 1.5, 4, 3.18704, 1.90326
285.009000000, 1.5, 4, 3.18705, 1.91649
285.043000000, 1.5, 4, 3.18702, 1.92946
285.075000000, 1.5, 4, 3.18696, 1.94216
285.107000000, 1.5, 4, 3.18692, 1.95461
285.143000000, 1.5, 4, 3.18689, 1.96681
285.175000000, 1.5, 4, 3.1869, 1.97877
285.209000000, 1.5, 4, 3.18693, 1.9905
285.241000000, 1.5, 4, 3.1869, 2.002
285.275000000, 1.5, 4, 3.18686, 2.01329
285.309000000, 1.5, 4, 3.18679, 2.02436
285.341000000, 1.5, 4, 3.18674, 2.03522
285.375000000, 1.5, 4, 3.18672, 2.04588
285.409000000, 1.5, 4, 3.18671, 2.05635
285.443000000, 1.5, 4, 3.18672, 2.06663
285.475000000, 1.5, 4, 3.18676, 2.07672
285.507000000, 1.5, 4, 3.18681, 2.08663
285.543000000, 1.5, 4, 3.18688, 2.09637
285.575000000, 1.5, 4, 3.18695, 2.10593
285.609000000, 1.5, 4, 3.18705, 2.11533
