Stamp, Max volume, Current volume
224.573000000, 2890, 46.168
224.771000000, 2890, 46.176
224.871000000, 2890, 46.184
224.971000000, 2890, 46.184
225.071000000, 2890, 46.2
225.171000000, 2890, 46.2
225.271000000, 2890, 46.2
225.371000000, 2890, 46.216
225.471000000, 2890, 46.216
225.571000000, 2890, 46.216
225.671000000, 2890, 46.216
225.771000000, 2890, 46.216
225.871000000, 2890, 46.352
225.971000000, 2890, 46.688
226.071000000, 2890, 47.048
226.171000000, 2890, 47.288
226.271000000, 2890, 47.496
226.371000000, 2890, 47.568
226.471000000, 2890, 47.568
226.571000000, 2890, 47.568
226.671000000, 2890, 47.568
226.771000000, 2890, 47.568
226.871000000, 2890, 47.568
226.971000000, 2890, 47.568
227.071000000, 2890, 47.568
227.171000000, 2890, 47.568
227.271000000, 2890, 47.568
227.371000000, 2890, 47.568
227.471000000, 2890, 47.632
227.571000000, 2890, 47.632
227.671000000, 2890, 47.632
227.771000000, 2890, 47.632
227.871000000, 2890, 47.632
227.971000000, 2890, 47.632
228.071000000, 2890, 47.632
228.171000000, 2890, 47.632
228.271000000, 2890, 47.632
228.371000000, 2890, 47.632
228.471000000, 2890, 47.632
228.571000000, 2890, 47.632
228.671000000, 2890, 47.632
228.771000000, 2890, 47.632
228.871000000, 2890, 47.632
228.971000000, 2890, 47.632
229.071000000, 2890, 47.632
229.171000000, 2890, 47.632
229.271000000, 2890, 47.64
229.371000000, 2890, 47.648
229.471000000, 2890, 47.648
229.571000000, 2890, 47.656
229.671000000, 2890, 47.656
229.771000000, 2890, 47.656
229.871000000, 2890, 47.656
229.971000000, 2890, 47.664
230.071000000, 2890, 47.664
230.171000000, 2890, 47.744
230.271000000, 2890, 47.744
230.371000000, 2890, 47.752
230.471000000, 2890, 47.864
230.571000000, 2890, 47.88
230.671000000, 2890, 47.944
230.771000000, 2890, 48.024
230.871000000, 2890, 48.096
230.971000000, 2890, 48.128
231.071000000, 2890, 48.128
231.171000000, 2890, 48.128
231.271000000, 2890, 48.216
231.371000000, 2890, 48.216
231.471000000, 2890, 48.216
231.571000000, 2890, 48.216
231.671000000, 2890, 48.216
231.771000000, 2890, 48.216
231.871000000, 2890, 48.216
231.971000000, 2890, 48.216
232.071000000, 2890, 48.216
232.171000000, 2890, 48.216
232.271000000, 2890, 48.216
232.371000000, 2890, 48.216
232.471000000, 2890, 48.216
232.571000000, 2890, 48.216
232.671000000, 2890, 48.216
232.771000000, 2890, 48.216
232.871000000, 2890, 48.216
232.971000000, 2890, 48.216
233.071000000, 2890, 48.264
233.171000000, 2890, 48.264
233.271000000, 2890, 48.264
233.371000000, 2890, 48.264
233.471000000, 2890, 48.264
233.571000000, 2890, 48.264
233.671000000, 2890, 48.264
233.771000000, 2890, 48.264
233.871000000, 2890, 48.264
233.971000000, 2890, 48.264
234.073000000, 2890, 48.264
234.271000000, 2890, 48.264
234.371000000, 2890, 48.264
234.471000000, 2890, 48.536
234.571000000, 2890, 48.84
234.671000000, 2890, 48.896
234.771000000, 2890, 48.896
234.871000000, 2890, 48.936
234.971000000, 2890, 48.944
235.071000000, 2890, 48.944
235.171000000, 2890, 48.944
235.271000000, 2890, 48.944
235.371000000, 2890, 48.944
235.471000000, 2890, 48.944
235.571000000, 2890, 48.944
235.671000000, 2890, 48.944
235.771000000, 2890, 48.944
235.871000000, 2890, 48.952
235.971000000, 2890, 48.952
236.071000000, 2890, 48.952
236.171000000, 2890, 48.952
236.271000000, 2890, 48.952
236.371000000, 2890, 48.952
236.471000000, 2890, 48.96
236.571000000, 2890, 48.96
236.671000000, 2890, 49
236.771000000, 2890, 49
236.871000000, 2890, 49
236.971000000, 2890, 49
