Stamp, X, Y, Z, Yaw
224.521000000, -9.33317e-07, 3.36207e-07, 0.116994, -0.0358221
224.555000000, -4.19653e-07, 7.15833e-07, 0.130722, -0.0357915
224.589000000, 3.35641e-07, 1.13361e-06, 0.145225, -0.0357131
224.623000000, 1.42618e-06, 1.73406e-06, 0.156768, -0.03563
224.655000000, 2.38292e-06, 2.21307e-06, 0.164328, -0.0355712
224.689000000, 3.7928e-06, 2.79617e-06, 0.1741, -0.0354902
224.725000000, 5.2422e-06, 3.26296e-06, 0.184646, -0.0353797
224.759000000, 6.95012e-06, 3.73633e-06, 0.190412, -0.0353259
224.793000000, 8.51569e-06, 4.20747e-06, 0.191405, -0.0352062
224.829000000, 1.02943e-05, 4.81106e-06, 0.193818, -0.0350877
224.863000000, 1.17694e-05, 5.22497e-06, 0.196358, -0.0350241
224.899000000, 1.35765e-05, 5.78865e-06, 0.198762, -0.0349162
224.933000000, 1.53828e-05, 6.32191e-06, 0.1977, -0.0347635
224.967000000, 1.71638e-05, 6.80534e-06, 0.193017, -0.0347122
225.001000000, 1.90898e-05, 7.33784e-06, 0.186716, -0.0345716
225.035000000, 2.09506e-05, 7.89145e-06, 0.177115, -0.0344165
225.077000000, 2.29125e-05, 8.56751e-06, 0.169992, -0.0343293
225.111000000, 2.48164e-05, 9.32859e-06, 0.165287, -0.0341892
225.145000000, 2.6466e-05, 1.01595e-05, 0.161981, -0.0339846
225.177000000, 2.81756e-05, 1.10161e-05, 0.159838, -0.0338925
225.213000000, 2.99366e-05, 1.18327e-05, 0.159102, -0.033702
225.245000000, 3.14366e-05, 1.26057e-05, 0.159858, -0.0334931
225.279000000, 3.28664e-05, 1.34576e-05, 0.161405, -0.0333848
225.311000000, 3.41011e-05, 1.4245e-05, 0.164525, -0.033148
225.345000000, 3.52919e-05, 1.50074e-05, 0.168239, -0.0329033
225.379000000, 3.65778e-05, 1.58715e-05, 0.169537, -0.0327927
225.411000000, 3.76351e-05, 1.66088e-05, 0.171951, -0.0325669
225.445000000, 3.87092e-05, 1.73029e-05, 0.175433, -0.0322836
225.477000000, 4.00006e-05, 1.79947e-05, 0.178611, -0.0321462
225.513000000, 4.15956e-05, 1.86977e-05, 0.18293, -0.0319079
225.545000000, 4.273e-05, 1.89749e-05, 0.188331, -0.0316129
