Stamp, Min, Max, Current, Mean
225.465000000, 1.5, 4, 0.31716, 0.31716
225.501000000, 1.5, 4, 0.317479, 0.317319
225.533000000, 1.5, 4, 0.317615, 0.317418
225.567000000, 1.5, 4, 0.317731, 0.317496
225.601000000, 1.5, 4, 0.317719, 0.317541
225.635000000, 1.5, 4, 0.317745, 0.317575
225.669000000, 1.5, 4, 0.317792, 0.317606
225.703000000, 1.5, 4, 0.317789, 0.317629
225.735000000, 1.5, 4, 0.317725, 0.317639
225.769000000, 1.5, 4, 0.317543, 0.31763
225.803000000, 1.5, 4, 0.317281, 0.317598
225.835000000, 1.5, 4, 0.317239, 0.317568
225.871000000, 1.5, 4, 0.317183, 0.317538
225.903000000, 1.5, 4, 0.31706, 0.317504
225.937000000, 1.5, 4, 0.316993, 0.31747
225.969000000, 1.5, 4, 0.316879, 0.317433
226.005000000, 1.5, 4, 0.317556, 0.317441
226.037000000, 1.5, 4, 0.319237, 0.31754
226.071000000, 1.5, 4, 0.321122, 0.317729
226.105000000, 1.5, 4, 0.323202, 0.318002
226.137000000, 1.5, 4, 0.325369, 0.318353
226.171000000, 1.5, 4, 0.327493, 0.318769
226.205000000, 1.5, 4, 0.329689, 0.319243
226.271000000, 1.5, 4, 0.329027, 0.319635
226.305000000, 1.5, 4, 0.326623, 0.319904
226.337000000, 1.5, 4, 0.323669, 0.320043
226.373000000, 1.5, 4, 0.321551, 0.320097
226.405000000, 1.5, 4, 0.320057, 0.320096
226.437000000, 1.5, 4, 0.319251, 0.320067
226.471000000, 1.5, 4, 0.318675, 0.320022
226.505000000, 1.5, 4, 0.318053, 0.319961
226.539000000, 1.5, 4, 0.317645, 0.319891
226.571000000, 1.5, 4, 0.317347, 0.319816
226.605000000, 1.5, 4, 0.317114, 0.319739
226.639000000, 1.5, 4, 0.317006, 0.319663
226.671000000, 1.5, 4, 0.317053, 0.319592
226.705000000, 1.5, 4, 0.317293, 0.319532
226.737000000, 1.5, 4, 0.317681, 0.319484
226.771000000, 1.5, 4, 0.318193, 0.319452
226.805000000, 1.5, 4, 0.31882, 0.319437
226.839000000, 1.5, 4, 0.319444, 0.319437
226.871000000, 1.5, 4, 0.320609, 0.319464
226.905000000, 1.5, 4, 0.321564, 0.319512
226.939000000, 1.5, 4, 0.323497, 0.3196
226.971000000, 1.5, 4, 0.325475, 0.319728
227.005000000, 1.5, 4, 0.328097, 0.319906
227.039000000, 1.5, 4, 3.14158, 0.378691
227.073000000, 1.5, 4, 3.14114, 0.435068
227.105000000, 1.5, 4, 3.14079, 0.489182
227.139000000, 1.5, 4, 3.14043, 0.541167
227.173000000, 1.5, 4, 3.14016, 0.591148
227.205000000, 1.5, 4, 3.14, 0.63924
227.239000000, 1.5, 4, 3.13997, 0.685549
227.273000000, 1.5, 4, 3.14015, 0.730179
227.305000000, 1.5, 4, 3.14051, 0.77322
227.339000000, 1.5, 4, 3.14094, 0.814759
227.373000000, 1.5, 4, 3.14115, 0.854869
227.405000000, 1.5, 4, 3.1406, 0.893611
227.439000000, 1.5, 4, 3.14016, 0.931053
227.473000000, 1.5, 4, 3.13991, 0.967264
227.505000000, 1.5, 4, 3.13976, 1.0023
227.539000000, 1.5, 4, 3.13968, 1.03623
227.573000000, 1.5, 4, 3.13968, 1.0691
227.605000000, 1.5, 4, 3.13975, 1.10095
227.639000000, 1.5, 4, 3.13988, 1.13185
227.671000000, 1.5, 4, 3.14005, 1.16182
227.707000000, 1.5, 4, 3.14029, 1.19091
227.739000000, 1.5, 4, 3.14052, 1.21917
227.773000000, 1.5, 4, 3.14087, 1.24662
227.805000000, 1.5, 4, 3.14112, 1.27331
227.839000000, 1.5, 4, 3.14134, 1.29925
227.873000000, 1.5, 4, 3.14119, 1.32448
227.905000000, 1.5, 4, 3.14103, 1.34903
227.939000000, 1.5, 4, 3.14088, 1.37292
227.973000000, 1.5, 4, 3.14073, 1.39618
228.005000000, 1.5, 4, 3.14059, 1.41884
228.039000000, 1.5, 4, 3.14049, 1.44091
228.073000000, 1.5, 4, 3.14041, 1.46242
228.105000000, 1.5, 4, 3.14033, 1.4834
228.139000000, 1.5, 4, 3.14026, 1.50385
228.175000000, 1.5, 4, 3.14019, 1.52381
228.205000000, 1.5, 4, 3.14015, 1.54328
228.239000000, 1.5, 4, 3.14013, 1.56229
228.273000000, 1.5, 4, 3.14015, 1.58085
228.307000000, 1.5, 4, 3.14019, 1.59899
228.339000000, 1.5, 4, 3.14028, 1.6167
228.371000000, 1.5, 4, 3.14034, 1.63402
228.407000000, 1.5, 4, 3.14038, 1.65094
228.439000000, 1.5, 4, 3.14041, 1.66749
228.471000000, 1.5, 4, 3.14042, 1.68368
228.507000000, 1.5, 4, 3.14041, 1.69951
228.539000000, 1.5, 4, 3.14028, 1.715
228.571000000, 1.5, 4, 3.14027, 1.73017
228.607000000, 1.5, 4, 3.14025, 1.74501
228.641000000, 1.5, 4, 3.14021, 1.75954
228.675000000, 1.5, 4, 3.14017, 1.77378
228.707000000, 1.5, 4, 3.14013, 1.78772
228.741000000, 1.5, 4, 3.1401, 1.80138
228.775000000, 1.5, 4, 3.14008, 1.81477
228.807000000, 1.5, 4, 3.14006, 1.82789
228.843000000, 1.5, 4, 3.14007, 1.84075
228.875000000, 1.5, 4, 3.14009, 1.85337
228.907000000, 1.5, 4, 3.14014, 1.86574
228.943000000, 1.5, 4, 3.1402, 1.87788
228.975000000, 1.5, 4, 3.14028, 1.88979
229.009000000, 1.5, 4, 3.19091, 1.90195
229.041000000, 1.5, 4, 3.19096, 1.91388
229.075000000, 1.5, 4, 3.19103, 1.9256
229.109000000, 1.5, 4, 3.19112, 1.9371
229.141000000, 1.5, 4, 3.19121, 1.9484
229.175000000, 1.5, 4, 3.19134, 1.9595
229.209000000, 1.5, 4, 3.19142, 1.9704
229.241000000, 1.5, 4, 3.1915, 1.98111
229.275000000, 1.5, 4, 3.19158, 1.99164
229.307000000, 1.5, 4, 3.1917, 2.00198
229.341000000, 1.5, 4, 3.19183, 2.01215
229.375000000, 1.5, 4, 3.19196, 2.02215
229.407000000, 1.5, 4, 3.19207, 2.03198
229.441000000, 1.5, 4, 3.19211, 2.04165
229.475000000, 1.5, 4, 3.19196, 2.05116
229.507000000, 1.5, 4, 3.19182, 2.06051
229.541000000, 1.5, 4, 3.19167, 2.0697
229.573000000, 1.5, 4, 3.19155, 2.07875
229.607000000, 1.5, 4, 3.19144, 2.08765
229.641000000, 1.5, 4, 3.19135, 2.09641
229.675000000, 1.5, 4, 3.19126, 2.10503
229.707000000, 1.5, 4, 3.19119, 2.11352
229.741000000, 1.5, 4, 3.19116, 2.12187
229.775000000, 1.5, 4, 3.19112, 2.1301
229.807000000, 1.5, 4, 3.1911, 2.1382
229.841000000, 1.5, 4, 3.19111, 2.14617
229.873000000, 1.5, 4, 3.19125, 2.15403
229.909000000, 1.5, 4, 3.19136, 2.16177
229.941000000, 1.5, 4, 3.19153, 2.1694
229.973000000, 1.5, 4, 3.19177, 2.17692
230.007000000, 1.5, 4, 3.19213, 2.18433
230.041000000, 1.5, 4, 3.19198, 2.19163
230.075000000, 1.5, 4, 3.19177, 2.19882
230.107000000, 1.5, 4, 3.1916, 2.20592
230.141000000, 1.5, 4, 3.19148, 2.21291
230.173000000, 1.5, 4, 3.1914, 2.2198
230.207000000, 1.5, 4, 3.19135, 2.22659
230.241000000, 1.5, 4, 3.19137, 2.23329
230.273000000, 1.5, 4, 3.19142, 2.2399
230.307000000, 1.5, 4, 3.19147, 2.24642
230.341000000, 1.5, 4, 3.19154, 2.25285
230.373000000, 1.5, 4, 3.19161, 2.25919
230.407000000, 1.5, 4, 3.19175, 2.26545
230.441000000, 1.5, 4, 3.19187, 2.27162
230.475000000, 1.5, 4, 3.19199, 2.27772
230.507000000, 1.5, 4, 3.1921, 2.28373
230.541000000, 1.5, 4, 3.19214, 2.28967
230.575000000, 1.5, 4, 3.192, 2.29553
230.607000000, 1.5, 4, 3.19184, 2.30131
230.641000000, 1.5, 4, 3.19166, 2.30702
230.675000000, 1.5, 4, 3.19152, 2.31265
230.707000000, 1.5, 4, 3.19141, 2.31822
230.741000000, 1.5, 4, 3.19125, 2.32371
230.775000000, 1.5, 4, 3.19114, 2.32913
230.807000000, 1.5, 4, 3.19104, 2.33448
230.841000000, 1.5, 4, 3.19094, 2.33977
230.875000000, 1.5, 4, 3.19087, 2.34499
230.907000000, 1.5, 4, 3.19081, 2.35015
230.941000000, 1.5, 4, 3.19079, 2.35524
230.975000000, 1.5, 4, 3.19077, 2.36028
231.009000000, 1.5, 4, 3.19075, 2.36525
231.041000000, 1.5, 4, 3.19073, 2.37016
231.073000000, 1.5, 4, 3.1907, 2.37502
231.109000000, 1.5, 4, 3.19068, 2.37982
231.141000000, 1.5, 4, 3.19068, 2.38456
231.175000000, 1.5, 4, 3.19069, 2.38924
231.207000000, 1.5, 4, 3.19071, 2.39388
231.241000000, 1.5, 4, 3.19073, 2.39846
231.275000000, 1.5, 4, 3.19073, 2.40298
231.307000000, 1.5, 4, 3.19073, 2.40746
231.341000000, 1.5, 4, 3.19075, 2.41188
231.373000000, 1.5, 4, 3.19077, 2.41626
231.407000000, 1.5, 4, 3.19079, 2.42059
231.441000000, 1.5, 4, 3.19082, 2.42487
231.473000000, 1.5, 4, 3.19084, 2.4291
231.507000000, 1.5, 4, 3.19087, 2.43328
231.541000000, 1.5, 4, 3.19088, 2.43742
231.575000000, 1.5, 4, 3.1909, 2.44152
231.607000000, 1.5, 4, 3.19091, 2.44557
231.641000000, 1.5, 4, 3.19092, 2.44958
231.675000000, 1.5, 4, 3.19092, 2.45354
231.707000000, 1.5, 4, 3.19094, 2.45746
231.741000000, 1.5, 4, 3.19094, 2.46134
231.773000000, 1.5, 4, 3.19094, 2.46518
231.807000000, 1.5, 4, 3.19094, 2.46898
231.841000000, 1.5, 4, 3.19095, 2.47274
231.873000000, 1.5, 4, 3.19093, 2.47647
231.907000000, 1.5, 4, 3.19092, 2.48015
231.941000000, 1.5, 4, 3.19089, 2.48379
231.975000000, 1.5, 4, 3.19086, 2.4874
232.007000000, 1.5, 4, 3.19083, 2.49097
232.041000000, 1.5, 4, 3.1908, 2.49451
232.075000000, 1.5, 4, 3.19077, 2.498
232.107000000, 1.5, 4, 3.19074, 2.50147
232.141000000, 1.5, 4, 3.19072, 2.5049
232.173000000, 1.5, 4, 3.1907, 2.50829
232.207000000, 1.5, 4, 3.19067, 2.51165
232.241000000, 1.5, 4, 3.19066, 2.51498
232.273000000, 1.5, 4, 3.19065, 2.51828
232.307000000, 1.5, 4, 3.19065, 2.52154
232.341000000, 1.5, 4, 3.19065, 2.52477
232.373000000, 1.5, 4, 3.19066, 2.52798
232.409000000, 1.5, 4, 3.19067, 2.53115
232.441000000, 1.5, 4, 3.19068, 2.53429
232.475000000, 1.5, 4, 3.19068, 2.5374
232.509000000, 1.5, 4, 3.19071, 2.54048
232.543000000, 1.5, 4, 3.19074, 2.54353
232.575000000, 1.5, 4, 3.19078, 2.54656
232.609000000, 1.5, 4, 3.19079, 2.54955
232.643000000, 1.5, 4, 3.19081, 2.55252
232.675000000, 1.5, 4, 3.19083, 2.55546
232.709000000, 1.5, 4, 3.19084, 2.55838
232.741000000, 1.5, 4, 3.19084, 2.56127
232.775000000, 1.5, 4, 3.19085, 2.56413
232.809000000, 1.5, 4, 3.19087, 2.56696
232.841000000, 1.5, 4, 3.19088, 2.56977
232.875000000, 1.5, 4, 3.1909, 2.57256
232.909000000, 1.5, 4, 3.1909, 2.57532
232.941000000, 1.5, 4, 3.19089, 2.57806
232.977000000, 1.5, 4, 3.19087, 2.58077
233.009000000, 1.5, 4, 3.19086, 2.58346
233.041000000, 1.5, 4, 3.19084, 2.58612
233.075000000, 1.5, 4, 3.19082, 2.58876
233.109000000, 1.5, 4, 3.1908, 2.59138
233.141000000, 1.5, 4, 3.19079, 2.59397
233.175000000, 1.5, 4, 3.19077, 2.59654
233.209000000, 1.5, 4, 3.19075, 2.5991
233.241000000, 1.5, 4, 3.19073, 2.60162
233.275000000, 1.5, 4, 3.19071, 2.60413
233.307000000, 1.5, 4, 3.1907, 2.60662
233.343000000, 1.5, 4, 3.19068, 2.60908
233.375000000, 1.5, 4, 3.19067, 2.61152
233.409000000, 1.5, 4, 3.19067, 2.61395
233.441000000, 1.5, 4, 3.19066, 2.61635
233.475000000, 1.5, 4, 3.19066, 2.61873
233.509000000, 1.5, 4, 3.19066, 2.6211
233.541000000, 1.5, 4, 3.19066, 2.62344
233.575000000, 1.5, 4, 3.19065, 2.62576
233.609000000, 1.5, 4, 3.19065, 2.62807
233.641000000, 1.5, 4, 3.19065, 2.63036
233.675000000, 1.5, 4, 3.19065, 2.63263
233.707000000, 1.5, 4, 3.19064, 2.63488
233.743000000, 1.5, 4, 3.19064, 2.63711
233.775000000, 1.5, 4, 3.19064, 2.63932
233.807000000, 1.5, 4, 3.19063, 2.64152
233.841000000, 1.5, 4, 3.19063, 2.6437
233.875000000, 1.5, 4, 3.19063, 2.64586
233.909000000, 1.5, 4, 3.19062, 2.648
233.941000000, 1.5, 4, 3.19062, 2.65013
233.975000000, 1.5, 4, 3.18707, 2.65223
234.009000000, 1.5, 4, 3.18746, 2.65431
234.041000000, 1.5, 4, 3.18796, 2.65638
234.075000000, 1.5, 4, 3.18831, 2.65843
234.107000000, 1.5, 4, 3.18875, 2.66047
234.143000000, 1.5, 4, 3.18918, 2.6625
234.175000000, 1.5, 4, 3.18955, 2.66451
234.209000000, 1.5, 4, 3.18983, 2.66651
234.241000000, 1.5, 4, 3.19011, 2.66849
234.277000000, 1.5, 4, 3.19028, 2.67046
234.309000000, 1.5, 4, 3.19041, 2.67242
234.341000000, 1.5, 4, 3.19054, 2.67436
234.375000000, 1.5, 4, 3.19066, 2.67628
234.409000000, 1.5, 4, 3.18799, 2.67818
234.443000000, 1.5, 4, 3.18794, 2.68007
234.475000000, 1.5, 4, 3.18791, 2.68195
234.507000000, 1.5, 4, 3.08607, 2.68343
234.543000000, 1.5, 4, 3.08608, 2.68491
234.575000000, 1.5, 4, 3.08608, 2.68637
234.609000000, 1.5, 4, 2.99418, 2.68749
234.641000000, 1.5, 4, 2.99434, 2.6886
234.677000000, 1.5, 4, 2.99448, 2.68971
234.709000000, 1.5, 4, 2.91373, 2.69051
234.741000000, 1.5, 4, 2.91394, 2.69131
234.775000000, 1.5, 4, 2.91419, 2.69211
234.809000000, 1.5, 4, 2.9144, 2.6929
234.841000000, 1.5, 4, 2.78888, 2.69324
234.875000000, 1.5, 4, 2.78918, 2.69358
234.909000000, 1.5, 4, 2.78943, 2.69392
234.941000000, 1.5, 4, 2.74661, 2.6941
234.975000000, 1.5, 4, 2.7468, 2.69429
235.007000000, 1.5, 4, 2.74688, 2.69447
235.043000000, 1.5, 4, 2.71789, 2.69455
235.075000000, 1.5, 4, 2.7179, 2.69463
235.107000000, 1.5, 4, 2.71787, 2.69471
235.143000000, 1.5, 4, 2.70327, 2.69474
235.177000000, 1.5, 4, 2.70323, 2.69477
235.209000000, 1.5, 4, 2.70317, 2.6948
235.243000000, 1.5, 4, 2.70313, 2.69483
235.275000000, 1.5, 4, 2.70306, 2.69486
235.311000000, 1.5, 4, 2.70298, 2.69488
235.343000000, 1.5, 4, 2.7029, 2.69491
235.377000000, 1.5, 4, 2.70281, 2.69494
235.409000000, 1.5, 4, 2.70279, 2.69496
