Stamp, Min, Max, Current, Mean
155.029000000, 2, 3, 0.32095, 0.32095
155.061000000, 2, 3, 0.321234, 0.321092
155.095000000, 2, 3, 0.321481, 0.321222
155.129000000, 2, 3, 0.321758, 0.321356
155.161000000, 2, 3, 0.322165, 0.321518
155.195000000, 2, 3, 0.322663, 0.321708
155.229000000, 2, 3, 0.323549, 0.321971
155.265000000, 2, 3, 0.324251, 0.322256
155.299000000, 2, 3, 0.324752, 0.322534
155.333000000, 2, 3, 0.325258, 0.322806
155.367000000, 2, 3, 0.325584, 0.323059
155.401000000, 2, 3, 0.326254, 0.323325
155.435000000, 2, 3, 0.326914, 0.323601
155.467000000, 2, 3, 0.327639, 0.323889
155.501000000, 2, 3, 0.328373, 0.324188
155.535000000, 2, 3, 3.30154, 0.510273
155.569000000, 2, 3, 3.30168, 0.674473
155.601000000, 2, 3, 3.30174, 0.820432
155.635000000, 2, 3, 3.3019, 0.951036
155.669000000, 2, 3, 3.30209, 1.06859
155.703000000, 2, 3, 3.30218, 1.17495
155.735000000, 2, 3, 3.30225, 1.27165
155.769000000, 2, 3, 3.3023, 1.35993
155.803000000, 2, 3, 3.30236, 1.44087
155.837000000, 2, 3, 3.30263, 1.51534
155.869000000, 2, 3, 3.30278, 1.58409
155.901000000, 2, 3, 3.30292, 1.64775
155.937000000, 2, 3, 3.30306, 1.70687
155.969000000, 2, 3, 3.30313, 1.76191
156.003000000, 2, 3, 3.30323, 1.81329
156.035000000, 2, 3, 3.30334, 1.86135
156.069000000, 2, 3, 3.30344, 1.90642
156.103000000, 2, 3, 3.30352, 1.94875
156.135000000, 2, 3, 3.3036, 1.9886
156.167000000, 2, 3, 3.30362, 2.02618
156.203000000, 2, 3, 3.30368, 2.06166
156.235000000, 2, 3, 3.30377, 2.09523
156.269000000, 2, 3, 3.30384, 2.12704
156.303000000, 2, 3, 3.30389, 2.15721
156.337000000, 2, 3, 3.30394, 2.18588
156.369000000, 2, 3, 3.30399, 2.21315
156.401000000, 2, 3, 3.30404, 2.23913
156.437000000, 2, 3, 3.30417, 2.26389
156.469000000, 2, 3, 3.30423, 2.28754
156.503000000, 2, 3, 3.30428, 2.31013
156.535000000, 2, 3, 3.30431, 2.33175
156.569000000, 2, 3, 3.30434, 2.35244
156.603000000, 2, 3, 3.30434, 2.37227
156.635000000, 2, 3, 3.30435, 2.39129
156.669000000, 2, 3, 3.30433, 2.40955
156.703000000, 2, 3, 3.30433, 2.4271
156.735000000, 2, 3, 3.3043, 2.44397
156.769000000, 2, 3, 3.30427, 2.4602
156.801000000, 2, 3, 3.30425, 2.47583
156.837000000, 2, 3, 3.30429, 2.49089
156.869000000, 2, 3, 2.30499, 2.48757
156.901000000, 2, 3, 2.30498, 2.48437
156.935000000, 2, 3, 2.30497, 2.48128
156.969000000, 2, 3, 1.10728, 2.45799
157.003000000, 2, 3, 1.10723, 2.43548
157.035000000, 2, 3, 1.10718, 2.4137
157.069000000, 2, 3, 0.318331, 2.3799
157.103000000, 2, 3, 0.31821, 2.34718
157.135000000, 2, 3, 0.318339, 2.31548
157.169000000, 2, 3, 0.318577, 2.28476
157.203000000, 2, 3, 0.31894, 2.25497
157.235000000, 2, 3, 0.319199, 2.22608
157.269000000, 2, 3, 0.319391, 2.19804
157.301000000, 2, 3, 0.319526, 2.17081
157.337000000, 2, 3, 0.31958, 2.14437
157.369000000, 2, 3, 0.319632, 2.11867
157.401000000, 2, 3, 0.319666, 2.09368
157.435000000, 2, 3, 0.319691, 2.06938
157.467000000, 2, 3, 0.320188, 2.04574
157.503000000, 2, 3, 0.320618, 2.02274
157.535000000, 2, 3, 0.32104, 2.00035
157.569000000, 2, 3, 0.321395, 1.97855
157.601000000, 2, 3, 0.321698, 1.9573
157.635000000, 2, 3, 0.32197, 1.9366
157.669000000, 2, 3, 0.322027, 1.91642
157.701000000, 2, 3, 0.322011, 1.89674
157.735000000, 2, 3, 0.321924, 1.87753
157.769000000, 2, 3, 0.321771, 1.85879
157.801000000, 2, 3, 0.321588, 1.84049
157.835000000, 2, 3, 0.321665, 1.82262
157.867000000, 2, 3, 0.32173, 1.80517
157.903000000, 2, 3, 0.321669, 1.78812
157.935000000, 2, 3, 0.32163, 1.77145
157.967000000, 2, 3, 0.321547, 1.75516
158.003000000, 2, 3, 0.321466, 1.73923
158.035000000, 2, 3, 0.321323, 1.72365
158.069000000, 2, 3, 0.321158, 1.7084
158.101000000, 2, 3, 0.320975, 1.69349
158.135000000, 2, 3, 0.3207, 1.67888
158.169000000, 2, 3, 0.320593, 1.66458
158.201000000, 2, 3, 0.320408, 1.65058
158.235000000, 2, 3, 0.320204, 1.63687
158.269000000, 2, 3, 0.319974, 1.62343
158.301000000, 2, 3, 0.319749, 1.61026
158.335000000, 2, 3, 0.319517, 1.59735
158.367000000, 2, 3, 0.319255, 1.5847
158.401000000, 2, 3, 0.318967, 1.57229
158.435000000, 2, 3, 0.318817, 1.56012
158.467000000, 2, 3, 1.10654, 1.55576
158.501000000, 2, 3, 1.10648, 1.55148
158.535000000, 2, 3, 1.10642, 1.54728
158.569000000, 2, 3, 0.511649, 1.5376
158.603000000, 2, 3, 0.511547, 1.5281
158.637000000, 2, 3, 0.511472, 1.51877
158.669000000, 2, 3, 0.3175, 1.50785
158.701000000, 2, 3, 0.317392, 1.49713
158.737000000, 2, 3, 0.317221, 1.48659
158.769000000, 2, 3, 0.317073, 1.47624
158.803000000, 2, 3, 0.317022, 1.46608
158.835000000, 2, 3, 0.316948, 1.45608
158.869000000, 2, 3, 0.31685, 1.44626
158.903000000, 2, 3, 0.316904, 1.43661
158.935000000, 2, 3, 0.317055, 1.42712
158.969000000, 2, 3, 0.317078, 1.41779
159.003000000, 2, 3, 0.317127, 1.40862
159.035000000, 2, 3, 0.317208, 1.3996
159.069000000, 2, 3, 0.317193, 1.39073
159.101000000, 2, 3, 0.317195, 1.382
159.135000000, 2, 3, 0.317157, 1.37341
159.169000000, 2, 3, 0.317127, 1.36496
159.203000000, 2, 3, 0.318068, 1.35666
159.235000000, 2, 3, 0.320048, 1.34849
159.267000000, 2, 3, 0.322096, 1.34047
159.301000000, 2, 3, 0.324115, 1.3326
159.335000000, 2, 3, 0.326132, 1.32485
159.369000000, 2, 3, 0.328379, 1.31725
159.403000000, 2, 3, 0.329579, 1.30976
159.435000000, 2, 3, 0.331392, 1.30241
159.467000000, 2, 3, 0.330141, 1.29515
159.503000000, 2, 3, 0.328445, 1.28799
159.535000000, 2, 3, 0.32695, 1.28093
159.569000000, 2, 3, 0.325581, 1.27395
159.603000000, 2, 3, 0.324613, 1.26707
159.635000000, 2, 3, 0.323844, 1.26029
159.669000000, 2, 3, 0.323195, 1.25359
159.703000000, 2, 3, 0.322546, 1.24699
159.735000000, 2, 3, 0.321982, 1.24048
159.769000000, 2, 3, 0.321424, 1.23405
159.803000000, 2, 3, 0.320941, 1.22771
159.835000000, 2, 3, 0.320681, 1.22145
159.869000000, 2, 3, 0.320419, 1.21528
159.901000000, 2, 3, 0.320281, 1.20919
159.935000000, 2, 3, 0.320157, 1.20319
159.969000000, 2, 3, 0.320169, 1.19726
160.001000000, 2, 3, 0.320188, 1.19141
160.035000000, 2, 3, 0.32028, 1.18564
160.069000000, 2, 3, 0.320462, 1.17995
160.101000000, 2, 3, 0.320544, 1.17433
160.135000000, 2, 3, 0.320559, 1.16879
160.169000000, 2, 3, 0.320637, 1.16332
160.201000000, 2, 3, 0.320825, 1.15792
160.235000000, 2, 3, 0.321184, 1.15259
160.267000000, 2, 3, 0.321367, 1.14733
160.301000000, 2, 3, 0.321741, 1.14214
160.335000000, 2, 3, 0.322136, 1.13701
160.367000000, 2, 3, 0.322708, 1.13195
160.401000000, 2, 3, 0.322954, 1.12696
160.435000000, 2, 3, 0.32338, 1.12203
160.469000000, 2, 3, 0.323704, 1.11716
160.501000000, 2, 3, 0.324043, 1.11235
160.533000000, 2, 3, 0.324413, 1.10761
160.569000000, 2, 3, 0.32507, 1.10292
160.601000000, 2, 3, 0.325235, 1.09829
160.635000000, 2, 3, 0.325436, 1.09372
160.667000000, 2, 3, 0.325834, 1.0892
160.701000000, 2, 3, 0.326247, 1.08474
160.735000000, 2, 3, 0.32685, 1.08033
160.767000000, 2, 3, 0.32728, 1.07598
160.801000000, 2, 3, 0.327631, 1.07168
160.835000000, 2, 3, 0.328662, 1.06743
160.867000000, 2, 3, 0.330196, 1.06325
160.901000000, 2, 3, 3.30453, 1.07591
160.933000000, 2, 3, 3.3042, 1.08843
160.969000000, 2, 3, 3.30384, 1.1008
161.001000000, 2, 3, 3.30352, 1.11304
161.035000000, 2, 3, 3.30315, 1.12514
161.067000000, 2, 3, 3.30281, 1.13711
161.103000000, 2, 3, 3.30253, 1.14894
161.135000000, 2, 3, 3.30225, 1.16064
161.167000000, 2, 3, 3.30201, 1.17222
161.201000000, 2, 3, 3.3018, 1.18367
161.235000000, 2, 3, 3.30163, 1.19499
161.269000000, 2, 3, 3.30148, 1.2062
161.301000000, 2, 3, 3.30138, 1.21728
161.333000000, 2, 3, 3.30137, 1.22825
161.369000000, 2, 3, 3.30139, 1.23911
161.401000000, 2, 3, 3.30143, 1.24985
161.433000000, 2, 3, 3.30149, 1.26048
161.469000000, 2, 3, 3.30159, 1.271
161.501000000, 2, 3, 3.30173, 1.28141
161.535000000, 2, 3, 3.30194, 1.29172
161.567000000, 2, 3, 3.30192, 1.30193
161.601000000, 2, 3, 3.30159, 1.31202
161.635000000, 2, 3, 3.30133, 1.32202
161.667000000, 2, 3, 3.30109, 1.33192
161.701000000, 2, 3, 3.30089, 1.34171
161.733000000, 2, 3, 3.30072, 1.35141
161.769000000, 2, 3, 3.30058, 1.36101
161.801000000, 2, 3, 3.30046, 1.37052
161.835000000, 2, 3, 3.30035, 1.37993
161.869000000, 2, 3, 3.30024, 1.38925
161.901000000, 2, 3, 3.30018, 1.39849
161.933000000, 2, 3, 3.30014, 1.40763
161.969000000, 2, 3, 3.30013, 1.41668
162.001000000, 2, 3, 3.30011, 1.42565
162.035000000, 2, 3, 3.30009, 1.43454
162.069000000, 2, 3, 3.30006, 1.44334
162.101000000, 2, 3, 3.30003, 1.45205
162.135000000, 2, 3, 3.30006, 1.46069
