Stamp, X, Y, Z, Yaw
225.975000000, 2.63674e-05, 1.22365e-05, -0.00811254, -0.0602575
226.011000000, 2.76541e-05, 1.33646e-05, -0.0117752, -0.0596785
226.047000000, 2.93626e-05, 1.47373e-05, -0.0158316, -0.059057
226.079000000, 3.08144e-05, 1.59052e-05, -0.0209137, -0.0587281
226.113000000, 3.20169e-05, 1.68641e-05, -0.0387846, -0.0580889
226.145000000, 3.32919e-05, 1.78572e-05, -0.0548629, -0.0575579
226.181000000, 3.48379e-05, 1.88995e-05, -0.0704599, -0.0571712
226.213000000, 3.5972e-05, 1.96044e-05, -0.0849345, -0.0565469
226.247000000, 3.71411e-05, 2.03652e-05, -0.0966799, -0.0558909
226.279000000, 3.78225e-05, 2.08332e-05, -0.105747, -0.0555551
226.313000000, 3.84938e-05, 2.12142e-05, -0.112787, -0.054862
226.347000000, 3.88432e-05, 2.12959e-05, -0.118231, -0.054097
226.381000000, 3.96116e-05, 2.15933e-05, -0.120695, -0.0538042
226.413000000, 3.96686e-05, 2.15481e-05, -0.124781, -0.0530396
226.447000000, 3.96894e-05, 2.13958e-05, -0.131124, -0.0523749
226.481000000, 3.96851e-05, 2.1077e-05, -0.135692, -0.0518574
226.515000000, 3.93262e-05, 2.02939e-05, -0.138613, -0.0511518
226.547000000, 3.89781e-05, 1.92378e-05, -0.14077, -0.0502897
226.585000000, 3.81827e-05, 1.787e-05, -0.141011, -0.0498849
226.619000000, 3.73008e-05, 1.63016e-05, -0.141356, -0.0490851
226.653000000, 3.64311e-05, 1.44015e-05, -0.140588, -0.0482606
226.685000000, 3.59371e-05, 1.25664e-05, -0.147202, -0.0479987
226.721000000, 3.42273e-05, 9.70754e-06, -0.153698, -0.0470524
226.753000000, 3.29079e-05, 7.03684e-06, -0.157808, -0.0459522
226.787000000, 3.15336e-05, 4.18542e-06, -0.160778, -0.04557
226.819000000, 3.05429e-05, 1.40531e-06, -0.162357, -0.0447017
226.855000000, 2.89356e-05, -2.16824e-06, -0.163559, -0.0438058
226.887000000, 2.72123e-05, -5.79104e-06, -0.167083, -0.0434328
226.921000000, 2.60783e-05, -9.46607e-06, -0.169113, -0.0425688
226.953000000, 2.39699e-05, -1.4058e-05, -0.168707, -0.0416895
226.989000000, 2.30263e-05, -1.82085e-05, -0.174516, -0.0412776
227.021000000, 2.12644e-05, -2.34023e-05, -0.18016, -0.0403782
227.057000000, 2.01104e-05, -2.86723e-05, -0.183501, -0.0395215
227.089000000, 1.9431e-05, -3.34397e-05, -0.185366, -0.0392616
227.123000000, 1.85527e-05, -3.91342e-05, -0.192694, -0.0383531
227.155000000, 1.7748e-05, -4.45778e-05, -0.203448, -0.0375051
227.191000000, 1.70086e-05, -5.00789e-05, -0.211195, -0.03714
227.225000000, 1.69874e-05, -5.60637e-05, -0.216837, -0.036193
227.259000000, 1.64449e-05, -6.22175e-05, -0.220766, -0.0351789
227.291000000, 1.66434e-05, -6.81428e-05, -0.222785, -0.0348056
227.325000000, 1.76446e-05, -7.51464e-05, -0.224329, -0.0339396
227.357000000, 1.83548e-05, -8.14075e-05, -0.22576, -0.0329469
227.393000000, 1.93968e-05, -8.83465e-05, -0.226794, -0.0324862
227.427000000, 2.03494e-05, -9.44912e-05, -0.224399, -0.031305
227.459000000, 2.20779e-05, -0.000101755, -0.224786, -0.0303455
227.493000000, 2.36893e-05, -0.000108448, -0.227266, -0.0298668
227.525000000, 2.52591e-05, -0.0001152, -0.234868, -0.0286259
227.559000000, 2.74371e-05, -0.000123527, -0.24706, -0.02753
227.593000000, 2.96745e-05, -0.000131126, -0.255301, -0.0271952
227.625000000, 3.1656e-05, -0.000137036, -0.262817, -0.0260569
227.659000000, 3.43458e-05, -0.000144969, -0.268655, -0.0251742
227.693000000, 3.69023e-05, -0.000152574, -0.274016, -0.0245498
227.727000000, 3.92823e-05, -0.000159516, -0.277136, -0.0234353
227.759000000, 4.1491e-05, -0.000166073, -0.278857, -0.0224024
227.793000000, 4.32911e-05, -0.000170555, -0.278256, -0.021769
227.827000000, 4.58894e-05, -0.00017725, -0.278076, -0.0207886
