Stamp, X, Y, Z, Yaw
214.331435207, -0.00109202, -0.00722571, 0.0250261, -0.0403535
214.361435207, -0.00106621, -0.00736251, 0.0227185, -0.0403167
214.396435207, -0.00103607, -0.00749972, 0.0209654, -0.0402757
214.431568803, -0.00100908, -0.00735501, 0.0182864, -0.0402554
214.461568803, -0.000984586, -0.00729215, 0.0168357, -0.0401993
214.496568803, -0.00095603, -0.00721041, 0.0150345, -0.040134
214.526705874, -0.000931752, -0.00713122, 0.0132004, -0.0401096
214.564705874, -0.000900981, -0.00704519, 0.0113443, -0.0400682
214.594705874, -0.000875931, -0.00700881, 0.0101188, -0.040018
214.631842787, -0.000926163, -0.00698241, 0.00845543, -0.0400006
214.663842787, -0.00097339, -0.00697568, 0.00784665, -0.0399719
214.698842787, -0.00101177, -0.00697455, 0.00718661, -0.0399458
214.729982831, -0.00104787, -0.0069699, 0.00639102, -0.0399292
214.763982831, -0.00108773, -0.00696394, 0.00557516, -0.0398956
214.793982831, -0.00111196, -0.006939, 0.00526075, -0.0398755
214.832122912, -0.00112352, -0.00685363, 0.00527173, -0.039871
214.864122912, -0.00113524, -0.00677105, 0.00544318, -0.0398473
214.897122912, -0.00114425, -0.00669566, 0.00580554, -0.0398463
214.932260316, -0.00115501, -0.00660702, 0.00679283, -0.039848
214.964260316, -0.001158, -0.00654765, 0.00782625, -0.0398522
214.997260316, -0.001159, -0.00649312, 0.00887364, -0.0398569
215.032399399, -0.00115245, -0.00638102, 0.010385, -0.039858
215.064399399, -0.0011459, -0.00627777, 0.0119857, -0.0398425
215.097399399, -0.00113822, -0.00618392, 0.01305, -0.039828
215.132537989, -0.00112813, -0.0061008, 0.0140141, -0.0398132
215.162537989, -0.00111983, -0.00602283, 0.0151149, -0.0397781
215.197537989, -0.00110824, -0.00595446, 0.0163573, -0.0397529
215.232677859, -0.00117161, -0.00593085, 0.0181604, -0.0397224
215.262677859, -0.00121134, -0.00593118, 0.0192338, -0.039695
215.299677859, -0.00127506, -0.00592669, 0.0204416, -0.0396643
215.332818407, -0.00131855, -0.00592552, 0.0217823, -0.0396501
215.362818407, -0.00135772, -0.00592431, 0.0233806, -0.0396102
215.397818407, -0.00139014, -0.00592686, 0.0251785, -0.0395711
215.429960038, -0.00148585, -0.00584479, 0.0273597, -0.0395496
215.464960038, -0.00159302, -0.00574935, 0.0300641, -0.0395091
215.497960038, -0.00166793, -0.00568084, 0.0322044, -0.0394585
215.530099441, -0.00173488, -0.00561773, 0.0344712, -0.0394445
215.563099441, -0.00179516, -0.00555897, 0.0362599, -0.0394201
215.600099441, -0.00182309, -0.00547714, 0.0379922, -0.0394053
215.633238778, -0.0017208, -0.00537681, 0.0391621, -0.0393948
215.663238778, -0.00162589, -0.00528496, 0.0404475, -0.0393803
215.698238778, -0.00153563, -0.00520134, 0.0419793, -0.0393706
215.733378519, -0.00145029, -0.00512448, 0.0420125, -0.0393642
215.765378519, -0.00137015, -0.00505378, 0.0387022, -0.0393508
215.798378519, -0.00129354, -0.00498858, 0.0360611, -0.0393301
215.830516893, -0.000958023, -0.00488318, 0.0337087, -0.0393164
215.865516893, -0.000575274, -0.00476526, 0.031649, -0.0392981
215.898516893, -0.000287261, -0.00467921, 0.0307703, -0.0392815
215.933654310, -1.37816e-05, -0.00459987, 0.0304232, -0.0392796
215.965654310, 0.000239422, -0.00452819, 0.0303737, -0.0392812
215.995654310, 0.000475841, -0.00446289, 0.0300954, -0.0392818
216.033791260, 0.00069585, -0.00433962, 0.0298289, -0.039282
216.065791260, 0.000865412, -0.00425029, 0.0298699, -0.0392953
216.098791260, 0.00102639, -0.00416895, 0.0301279, -0.0393224
216.132927190, 0.00118434, -0.00409328, 0.0306626, -0.0393438
216.163927190, 0.00132744, -0.00402564, 0.031245, -0.0393865
216.198927190, 0.00147119, -0.00396247, 0.0318434, -0.0394303
