Stamp, X, Y, Z, Yaw
130.627000000, 2.77535e-05, 8.13706e-05, -0.0205653, 0.0493305
130.661000000, 2.89779e-05, 8.58792e-05, -0.0192047, 0.0491483
130.697000000, 3.00686e-05, 9.03412e-05, -0.017139, 0.0489921
130.731000000, 3.14687e-05, 9.5413e-05, -0.016146, 0.0488963
130.765000000, 3.27316e-05, 9.94683e-05, -0.0141469, 0.0486902
130.799000000, 3.40467e-05, 0.000103209, -0.010951, 0.0484926
130.833000000, 3.54241e-05, 0.0001068, -0.00676294, 0.0483698
130.865000000, 3.70314e-05, 0.000110475, -0.00144751, 0.048161
130.901000000, 3.8494e-05, 0.000113485, 0.00453994, 0.0479205
130.935000000, 4.0281e-05, 0.000116738, 0.00951562, 0.0478024
130.967000000, 4.17668e-05, 0.000118527, 0.0152249, 0.0475545
131.001000000, 4.36543e-05, 0.000121583, 0.019181, 0.0472695
131.035000000, 4.53642e-05, 0.000123458, 0.0199693, 0.0471431
131.069000000, 4.74645e-05, 0.000125561, 0.0221805, 0.0469014
131.103000000, 4.96327e-05, 0.000127517, 0.0253557, 0.0466056
131.135000000, 5.19128e-05, 0.000129207, 0.0270439, 0.0465159
131.169000000, 5.3867e-05, 0.000130134, 0.0265394, 0.046254
131.203000000, 5.64655e-05, 0.000132542, 0.0243924, 0.0459981
131.235000000, 5.83994e-05, 0.00013281, 0.0211372, 0.0458952
131.269000000, 6.17331e-05, 0.000135749, 0.019966, 0.0456266
131.303000000, 6.46271e-05, 0.000136793, 0.019898, 0.0453894
131.335000000, 6.71726e-05, 0.000137071, 0.0181429, 0.0452681
131.369000000, 7.0002e-05, 0.000137636, 0.0136876, 0.0449996
131.403000000, 7.22166e-05, 0.000137397, 0.00990686, 0.0448015
131.437000000, 7.52723e-05, 0.000138944, 0.00790846, 0.0446687
131.469000000, 7.75649e-05, 0.000138392, 0.00599509, 0.0444494
131.503000000, 7.97562e-05, 0.000137708, 0.00319749, 0.0442057
131.537000000, 8.22971e-05, 0.000137619, 0.00079897, 0.0440353
131.571000000, 8.46731e-05, 0.000137199, -0.000517557, 0.0437323
131.603000000, 8.66865e-05, 0.000136297, -0.00558422, 0.0433755
131.637000000, 8.84086e-05, 0.00013494, -0.0127004, 0.0432221
131.671000000, 9.01777e-05, 0.000133558, -0.0179711, 0.0429128
131.703000000, 9.23623e-05, 0.000132805, -0.0224943, 0.0425798
131.737000000, 9.38618e-05, 0.000131353, -0.0270982, 0.0423608
131.769000000, 9.58755e-05, 0.000130492, -0.0349507, 0.0420817
131.803000000, 9.8563e-05, 0.000131036, -0.0393405, 0.0417302
131.837000000, 9.99848e-05, 0.000129361, -0.0444031, 0.0415679
131.869000000, 0.000101743, 0.000128013, -0.0479449, 0.0413369
131.903000000, 0.000102962, 0.000126112, -0.050036, 0.0410568
131.935000000, 0.000104215, 0.000124169, -0.0508481, 0.0408663
131.971000000, 0.000106519, 0.000123823, -0.0534067, 0.0405695
132.003000000, 0.000106565, 0.000119629, -0.0553352, 0.0402406
132.037000000, 0.000107409, 0.000116892, -0.0564342, 0.0400384
132.071000000, 0.000108606, 0.000114429, -0.062538, 0.0396703
132.103000000, 0.000109287, 0.00011146, -0.0700479, 0.0392334
