Stamp, Max volume, Current volume
224.551000000, 28000, 48.84
224.653000000, 28000, 48.84
224.851000000, 28000, 48.856
224.951000000, 28000, 48.912
225.051000000, 28000, 48.912
225.151000000, 28000, 48.912
225.251000000, 28000, 48.912
225.351000000, 28000, 48.976
225.451000000, 28000, 48.992
225.551000000, 28000, 49.056
225.651000000, 28000, 49.056
225.751000000, 28000, 49.12
225.851000000, 28000, 49.12
225.951000000, 28000, 49.128
226.051000000, 28000, 49.128
226.151000000, 28000, 49.128
226.251000000, 28000, 49.752
226.351000000, 28000, 51.136
226.451000000, 28000, 52.2
226.551000000, 28000, 52.976
226.651000000, 28000, 53.56
226.751000000, 28000, 54.144
226.851000000, 28000, 54.832
226.951000000, 28000, 55.504
227.051000000, 28000, 55.968
227.151000000, 28000, 56.376
227.251000000, 28000, 56.656
227.351000000, 28000, 56.736
227.451000000, 28000, 56.744
227.551000000, 28000, 56.752
227.651000000, 28000, 56.768
227.751000000, 28000, 56.776
227.851000000, 28000, 56.776
227.951000000, 28000, 56.8
228.051000000, 28000, 56.848
228.151000000, 28000, 56.912
228.251000000, 28000, 57.032
228.351000000, 28000, 57.2
228.451000000, 28000, 57.32
228.551000000, 28000, 57.32
228.651000000, 28000, 57.32
228.751000000, 28000, 57.32
228.851000000, 28000, 57.328
228.951000000, 28000, 57.36
229.051000000, 28000, 57.4
229.151000000, 28000, 57.408
229.251000000, 28000, 57.576
229.351000000, 28000, 57.808
229.451000000, 28000, 58.208
229.551000000, 28000, 59.472
229.651000000, 28000, 61.432
229.751000000, 28000, 63.368
229.851000000, 28000, 65.32
229.951000000, 28000, 67.456
230.051000000, 28000, 69.48
230.151000000, 28000, 71.8
230.251000000, 28000, 73.912
230.351000000, 28000, 76.224
230.451000000, 28000, 78.32
230.651000000, 28000, 83.072
230.751000000, 28000, 85.08
230.851000000, 28000, 87.608
230.951000000, 28000, 90.152
231.051000000, 28000, 92.192
231.151000000, 28000, 94.776
231.251000000, 28000, 96.984
231.351000000, 28000, 99.208
231.451000000, 28000, 101.592
231.651000000, 28000, 105.912
231.751000000, 28000, 108.544
231.851000000, 28000, 110.664
231.951000000, 28000, 113.152
232.051000000, 28000, 115.52
232.151000000, 28000, 117.784
232.251000000, 28000, 120.288
232.353000000, 28000, 122.928
232.553000000, 28000, 127.272
232.751000000, 28000, 132.512
232.851000000, 28000, 135.08
232.951000000, 28000, 137.336
233.051000000, 28000, 139.832
233.151000000, 28000, 142.344
233.251000000, 28000, 144.68
233.451000000, 28000, 149.144
233.551000000, 28000, 151.048
233.651000000, 28000, 152.664
233.851000000, 28000, 155.048
233.951000000, 28000, 156.056
234.051000000, 28000, 156.944
234.151000000, 28000, 157.76
234.251000000, 28000, 158.496
234.351000000, 28000, 159.328
234.451000000, 28000, 160.096
234.551000000, 28000, 160.848
234.751000000, 28000, 162.328
234.851000000, 28000, 163.08
234.951000000, 28000, 163.816
235.051000000, 28000, 164.552
235.151000000, 28000, 165.664
235.251000000, 28000, 166.432
235.351000000, 28000, 166.832
235.451000000, 28000, 167.176
235.551000000, 28000, 167.528
235.651000000, 28000, 167.928
235.751000000, 28000, 168.2
235.851000000, 28000, 168.408
235.951000000, 28000, 168.6
236.051000000, 28000, 168.768
236.151000000, 28000, 168.928
236.251000000, 28000, 169.072
236.351000000, 28000, 169.2
236.451000000, 28000, 169.296
236.551000000, 28000, 169.384
236.651000000, 28000, 169.424
236.751000000, 28000, 169.448
236.851000000, 28000, 169.504
236.953000000, 28000, 169.536
