Stamp, X, Y, Z, Yaw
139.329000000, -0.000726073, -4.62778e-05, 0.121536, 0.0183733
139.363000000, -0.00094663, -4.34919e-05, 0.126472, 0.0181417
139.395000000, -0.00114204, -4.11898e-05, 0.131221, 0.0176864
139.429000000, -0.00131535, -3.92758e-05, 0.136079, 0.0174474
139.463000000, -0.00150927, -3.73971e-05, 0.140424, 0.0170274
139.497000000, -0.00186011, -3.41139e-05, 0.145815, 0.0166309
139.531000000, -0.00204546, -3.27765e-05, 0.148384, 0.0161597
139.563000000, -0.00226764, -3.09245e-05, 0.150123, 0.0159045
139.599000000, -0.00251157, -2.8182e-05, 0.152224, 0.015478
139.631000000, -0.00267998, -2.66494e-05, 0.153357, 0.0149983
139.665000000, -0.00285337, -9.65413e-05, 0.153945, 0.0148036
139.697000000, -0.00307443, -0.000360788, 0.15493, 0.0142817
139.731000000, -0.00327102, -0.000596369, 0.15591, 0.0138303
139.763000000, -0.00348367, -0.000852631, 0.157235, 0.0135811
139.797000000, -0.00362855, -0.00103256, 0.156992, 0.0131053
139.831000000, -0.00372419, -0.00115544, 0.157057, 0.0127213
139.865000000, -0.00382327, -0.00142502, 0.156575, 0.0124463
139.897000000, -0.00383866, -0.00171273, 0.156432, 0.012031
139.931000000, -0.00385114, -0.00196506, 0.156498, 0.0116665
139.965000000, -0.00386126, -0.00218656, 0.156917, 0.0114798
139.997000000, -0.00387183, -0.00242754, 0.157692, 0.0111405
140.031000000, -0.00387538, -0.0025931, 0.158322, 0.0107431
140.065000000, -0.00389504, -0.00277472, 0.157931, 0.0105841
140.099000000, -0.0039595, -0.00303978, 0.157777, 0.0102296
140.135000000, -0.00403181, -0.00333063, 0.158059, 0.00967097
140.167000000, -0.00407804, -0.00353174, 0.158669, 0.00947734
140.203000000, -0.00411546, -0.00370892, 0.159487, 0.00906126
140.235000000, -0.00414897, -0.00386698, 0.160512, 0.0086494
140.271000000, -0.00417664, -0.00408252, 0.161534, 0.00841886
140.307000000, -0.00420414, -0.00434672, 0.162676, 0.00791124
140.339000000, -0.00420572, -0.00448541, 0.163601, 0.00754135
140.373000000, -0.00420377, -0.00465307, 0.164903, 0.00728948
140.405000000, -0.0041912, -0.00483618, 0.16689, 0.0068965
140.439000000, -0.00417157, -0.00496486, 0.16868, 0.00655182
140.471000000, -0.00416852, -0.00511847, 0.17027, 0.00637733
140.505000000, -0.00418615, -0.00533299, 0.172176, 0.00601816
140.539000000, -0.00418464, -0.00548317, 0.173794, 0.00561017
140.571000000, -0.00417308, -0.0056166, 0.175291, 0.00541723
