Stamp, Min, Max, Current, Mean
257.625000000, 2, 3, 0.317397, 0.317397
257.659000000, 2, 3, 0.315554, 0.316475
257.691000000, 2, 3, 0.312807, 0.315252
257.727000000, 2, 3, 0.311936, 0.314423
257.759000000, 2, 3, 0.310865, 0.313712
257.793000000, 2, 3, 0.309931, 0.313082
257.825000000, 2, 3, 0.309428, 0.31256
257.861000000, 2, 3, 0.308945, 0.312108
257.893000000, 2, 3, 0.308606, 0.311719
257.927000000, 2, 3, 0.308415, 0.311388
257.959000000, 2, 3, 0.308354, 0.311112
257.993000000, 2, 3, 0.308344, 0.310882
258.027000000, 2, 3, 0.308328, 0.310685
258.059000000, 2, 3, 0.308203, 0.310508
258.093000000, 2, 3, 0.308106, 0.310348
258.127000000, 2, 3, 0.307949, 0.310198
258.161000000, 2, 3, 0.30773, 0.310053
258.193000000, 2, 3, 0.308088, 0.309944
258.227000000, 2, 3, 0.308276, 0.309856
258.259000000, 2, 3, 0.30892, 0.309809
258.295000000, 2, 3, 0.309246, 0.309782
258.327000000, 2, 3, 0.309604, 0.309774
258.361000000, 2, 3, 0.30966, 0.309769
258.395000000, 2, 3, 0.309818, 0.309771
258.427000000, 2, 3, 0.30965, 0.309766
258.461000000, 2, 3, 0.309488, 0.309756
258.495000000, 2, 3, 0.309117, 0.309732
258.529000000, 2, 3, 0.308707, 0.309695
258.561000000, 2, 3, 0.308142, 0.309642
258.595000000, 2, 3, 0.30762, 0.309574
258.627000000, 2, 3, 0.307028, 0.309492
258.661000000, 2, 3, 0.306469, 0.309398
258.695000000, 2, 3, 0.305933, 0.309293
258.727000000, 2, 3, 0.305462, 0.30918
258.761000000, 2, 3, 0.305014, 0.309061
258.793000000, 2, 3, 0.304626, 0.308938
258.827000000, 2, 3, 0.304326, 0.308813
258.861000000, 2, 3, 0.304063, 0.308688
258.895000000, 2, 3, 0.303715, 0.308561
258.927000000, 2, 3, 0.303506, 0.308434
258.961000000, 2, 3, 0.303296, 0.308309
258.995000000, 2, 3, 0.303233, 0.308188
259.027000000, 2, 3, 0.303187, 0.308072
259.061000000, 2, 3, 0.30321, 0.307961
259.095000000, 2, 3, 0.303447, 0.307861
259.127000000, 2, 3, 0.303777, 0.307772
259.161000000, 2, 3, 0.304236, 0.307697
259.193000000, 2, 3, 0.30461, 0.307633
259.227000000, 2, 3, 0.30517, 0.307582
259.261000000, 2, 3, 0.305738, 0.307546
259.293000000, 2, 3, 0.306393, 0.307523
259.327000000, 2, 3, 0.30714, 0.307516
259.359000000, 2, 3, 0.30787, 0.307522
259.393000000, 2, 3, 0.308857, 0.307547
259.427000000, 2, 3, 0.309604, 0.307584
259.461000000, 2, 3, 0.31058, 0.307638
259.493000000, 2, 3, 0.311296, 0.307702
259.527000000, 2, 3, 0.312068, 0.307777
259.561000000, 2, 3, 0.312964, 0.307865
259.593000000, 2, 3, 0.313769, 0.307964
259.627000000, 2, 3, 0.314817, 0.308076
259.659000000, 2, 3, 0.315996, 0.308204
259.695000000, 2, 3, 0.317041, 0.308344
259.727000000, 2, 3, 3.29129, 0.354953
259.759000000, 2, 3, 3.29105, 0.400123
259.795000000, 2, 3, 3.29077, 0.443921
259.827000000, 2, 3, 3.29046, 0.486407
259.861000000, 2, 3, 3.29014, 0.527638
259.893000000, 2, 3, 3.29006, 0.567673
259.925000000, 2, 3, 3.29003, 0.606564
259.961000000, 2, 3, 3.29002, 0.644359
259.993000000, 2, 3, 3.28995, 0.681103
260.027000000, 2, 3, 3.28983, 0.716839
260.061000000, 2, 3, 3.28988, 0.75161
260.093000000, 2, 3, 3.29001, 0.785455
260.127000000, 2, 3, 3.29016, 0.818412
260.159000000, 2, 3, 3.29026, 0.850514
260.193000000, 2, 3, 3.29038, 0.881794
260.227000000, 2, 3, 3.29048, 0.912284
260.259000000, 2, 3, 0.316266, 0.904834
260.295000000, 2, 3, 0.314907, 0.897551
260.327000000, 2, 3, 0.313341, 0.890426
260.359000000, 2, 3, 0.312608, 0.883465
260.395000000, 2, 3, 0.312087, 0.876663
260.427000000, 2, 3, 0.31134, 0.870012
260.461000000, 2, 3, 0.310607, 0.863507
260.493000000, 2, 3, 0.310103, 0.857146
260.527000000, 2, 3, 0.30927, 0.85092
260.559000000, 2, 3, 0.308158, 0.844822
260.593000000, 2, 3, 0.30773, 0.838854
260.627000000, 2, 3, 0.306943, 0.833009
