Stamp, X, Y, Z, Yaw
511.620678912, -0.00490029, -0.00382963, -0.0124546, -0.0300595
511.657678492, -0.00475871, -0.00369289, -0.0116813, -0.030062
511.689678492, -0.00459024, -0.00354651, -0.0137348, -0.030077
511.724678492, -0.00447208, -0.0034261, -0.0163577, -0.0300949
511.754691216, -0.00436221, -0.00331769, -0.0186674, -0.0301013
511.789691216, -0.00427528, -0.00323656, -0.0207847, -0.0301203
511.822691216, -0.00422641, -0.00324018, -0.0224158, -0.0301418
511.857710910, -0.00418211, -0.00323576, -0.0239236, -0.030146
511.889710910, -0.00414084, -0.00323035, -0.025061, -0.0301472
511.924710910, -0.00410303, -0.00321832, -0.0259765, -0.0301442
511.954738038, -0.00406713, -0.00320967, -0.0264814, -0.03014
511.989738038, -0.00399999, -0.00319257, -0.0268826, -0.0301178
512.022738038, -0.00387, -0.0031533, -0.027086, -0.0300946
512.054767520, -0.00377784, -0.00311366, -0.027025, -0.0300791
512.087767520, -0.00366281, -0.00307452, -0.0267368, -0.0300507
512.119767520, -0.00353179, -0.00303592, -0.0261828, -0.0300409
512.157798368, -0.00343178, -0.00299049, -0.025246, -0.03004
512.187798368, -0.00334013, -0.00295449, -0.0241814, -0.0300441
512.224798368, -0.00347581, -0.00303581, -0.0231734, -0.0300671
512.253831504, -0.00354781, -0.00307, -0.0225839, -0.0300746
512.286831504, -0.00363742, -0.00311434, -0.0214136, -0.0300923
512.321831504, -0.00376039, -0.00318463, -0.0195878, -0.0301125
512.357874155, -0.00383235, -0.0032102, -0.0180305, -0.0301232
512.389874155, -0.00371167, -0.0032059, -0.0172757, -0.0301498
512.423937200, -0.00360055, -0.00319737, -0.0166979, -0.0301755
512.453937200, -0.00349868, -0.00319157, -0.0159797, -0.0301856
512.488937200, -0.00340369, -0.00317875, -0.0175429, -0.0301965
512.523016254, -0.00331611, -0.00316496, -0.0209415, -0.0301952
512.555016254, -0.00323454, -0.00315052, -0.0236078, -0.0301873
512.590016254, -0.00319749, -0.00311427, -0.0271143, -0.0301671
512.622106692, -0.00317798, -0.00307724, -0.0298459, -0.0301262
512.657106692, -0.00315409, -0.00303643, -0.033826, -0.0301048
512.690106692, -0.00313265, -0.00299963, -0.0367337, -0.0300561
512.725201743, -0.00310867, -0.00296022, -0.0392374, -0.0300013
512.757201743, -0.0030883, -0.00292491, -0.0403712, -0.0299792
512.789201743, -0.00294299, -0.00287583, -0.04215, -0.0299183
512.824298907, -0.00272975, -0.00281694, -0.0467161, -0.0298727
512.857298907, -0.0025693, -0.00276722, -0.0498943, -0.0298525
512.892298907, -0.00241717, -0.00271647, -0.0524266, -0.0298169
512.924397230, -0.00227645, -0.00267002, -0.0541678, -0.0298072
512.954397230, -0.00214622, -0.0026275, -0.0555181, -0.0298025
512.989397230, -0.00195923, -0.00268277, -0.056185, -0.0297966
513.024497320, -0.00174987, -0.00274908, -0.0565886, -0.0297929
513.054497320, -0.00161942, -0.00277452, -0.056517, -0.0297993
513.089497320, -0.00145915, -0.00280742, -0.0561448, -0.0298047
513.122596643, -0.00128473, -0.00285135, -0.0562533, -0.0298152
513.154596643, -0.0011435, -0.00287464, -0.0560432, -0.0298132
513.191596643, -0.00099474, -0.00287601, -0.0551093, -0.0298117
513.224697555, -0.000879449, -0.00286746, -0.0539137, -0.0298209
513.256697555, -0.000768056, -0.00285744, -0.0537112, -0.0298277
513.292697555, -0.000656417, -0.00284372, -0.0544227, -0.0298573
513.324799975, -0.000553684, -0.00283069, -0.0547292, -0.0299047
513.356799975, -0.000454313, -0.0028163, -0.0543393, -0.0299325
513.389799975, -0.000429448, -0.00287327, -0.0535742, -0.0299664
513.424899452, -0.000432097, -0.00296707, -0.0520549, -0.0300269
513.459899452, -0.000415847, -0.00302674, -0.0504098, -0.0300516
513.491899452, -0.000400127, -0.00308075, -0.0484799, -0.0301232
513.522999314, -0.000385475, -0.00312995, -0.0460771, -0.0301941
513.554999314, -0.000362811, -0.0031708, -0.0435163, -0.0302246
513.589999314, -0.000419236, -0.00328954, -0.0407065, -0.0302885
513.622100510, -0.000495892, -0.00342687, -0.0372366, -0.0303597
513.657100510, -0.000507154, -0.00349152, -0.0351027, -0.0303884
513.690100510, -0.000561567, -0.00360102, -0.0314966, -0.0304689
513.725203782, -0.000581724, -0.00367384, -0.0285094, -0.0305452
513.760203782, -0.000667934, -0.00377781, -0.0255666, -0.0305726
513.790203782, -0.000825245, -0.00387464, -0.0237647, -0.0306347
513.824305567, -0.00108472, -0.00402579, -0.0205276, -0.0306923
513.857305567, -0.00126369, -0.00413168, -0.0176963, -0.030726
513.889305567, -0.00142456, -0.00422619, -0.0149137, -0.0307761
513.926409413, -0.00156294, -0.00430926, -0.0120741, -0.0308396
513.956409413, -0.00169632, -0.00438554, -0.00949343, -0.030876
513.989409413, -0.00178949, -0.00440556, -0.00742265, -0.0309379
514.024510739, -0.00189754, -0.0044278, -0.0047398, -0.0309867
514.059510739, -0.00196664, -0.0044408, -0.00624158, -0.0310073
514.089510739, -0.0020335, -0.00445281, -0.0102647, -0.0310556
514.121612486, -0.00209048, -0.00446196, -0.0138655, -0.0311072
514.159612486, -0.00213575, -0.00446787, -0.0172024, -0.0311317
514.191612486, -0.00223654, -0.00429805, -0.0201067, -0.0311754
514.224716594, -0.00232637, -0.00414023, -0.0223008, -0.0312113
514.256716594, -0.00243114, -0.00396125, -0.0241699, -0.0312313
514.289716594, -0.00249937, -0.0038252, -0.0254575, -0.0312692
514.324818360, -0.00255789, -0.00369531, -0.0263377, -0.0312963
514.356818360, -0.00261099, -0.00357392, -0.0281189, -0.031313
514.391818360, -0.00273664, -0.00355856, -0.0298723, -0.0313369
514.424919333, -0.00282106, -0.00354008, -0.0305649, -0.0313799
514.459919333, -0.00289413, -0.00351757, -0.0314058, -0.0313987
514.491919333, -0.00296082, -0.003495, -0.0317748, -0.0314441
514.527021119, -0.00303645, -0.00346912, -0.0317265, -0.0314899
514.560021119, -0.00308614, -0.00344392, -0.0317177, -0.0315103
514.590021119, -0.00315162, -0.00348815, -0.031758, -0.0315329
514.625123070, -0.00325666, -0.00356195, -0.0325634, -0.0315506
514.660123070, -0.00332696, -0.0036071, -0.0329515, -0.0315537
514.690123070, -0.00339194, -0.00364898, -0.0337346, -0.0315554
514.725222895, -0.00344708, -0.00368107, -0.0349434, -0.031554
514.760222895, -0.00352227, -0.00371123, -0.0356802, -0.0315486
514.792222895, -0.00358283, -0.00369794, -0.0357478, -0.0315411
514.825324120, -0.00368071, -0.00368889, -0.0369409, -0.0315173
514.857324120, -0.00374766, -0.00367592, -0.0379465, -0.0315019
514.892324120, -0.00380644, -0.00366017, -0.0384724, -0.0314646
514.924425437, -0.00385932, -0.00364478, -0.0395762, -0.0314199
514.959425437, -0.0039084, -0.00362058, -0.0411325, -0.0314033
514.991425437, -0.00390981, -0.0035758, -0.0420167, -0.0313905
515.023531434, -0.00390972, -0.00353255, -0.0425297, -0.0313783
515.060531434, -0.00390726, -0.00348777, -0.042979, -0.0313694
515.090531434, -0.00390555, -0.00344927, -0.043303, -0.0313491
515.128637585, -0.00390062, -0.00340666, -0.0430914, -0.0313349
515.160637585, -0.00389593, -0.0033688, -0.0430434, -0.0313299
515.190637585, -0.00406664, -0.00340293, -0.0436022, -0.0313139
515.225745089, -0.00433176, -0.00346716, -0.0437091, -0.0312911
515.255745089, -0.00452567, -0.0035097, -0.0435257, -0.0312764
515.290745089, -0.0047075, -0.00354344, -0.0432659, -0.0312396
515.322851869, -0.00487589, -0.00357376, -0.0425114, -0.0312033
515.360851869, -0.00503579, -0.0035963, -0.0415131, -0.0311766
515.390851869, -0.00497791, -0.00370087, -0.0403608, -0.0311345
515.425958709, -0.00492897, -0.00379022, -0.0390895, -0.031083
515.460958709, -0.00487256, -0.0038927, -0.0371337, -0.0310672
515.490958709, -0.00483334, -0.003964, -0.0355254, -0.0310236
515.528066328, -0.00480021, -0.0040233, -0.0340629, -0.0309833
515.561066328, -0.00476825, -0.00407811, -0.032315, -0.030962
515.591066328, -0.00482817, -0.00406688, -0.0303051, -0.0309356
515.626171712, -0.00489675, -0.00405036, -0.0275016, -0.0309068
515.658171712, -0.00495009, -0.00403188, -0.0251769, -0.0308928
515.691171712, -0.0050008, -0.00401094, -0.0226299, -0.0308721
515.725278565, -0.00505055, -0.00398604, -0.0196691, -0.0308571
515.758278565, -0.00509772, -0.0039601, -0.0170041, -0.0308441
515.790278565, -0.00516088, -0.0040177, -0.0147027, -0.0308281
515.825383080, -0.00523132, -0.00408058, -0.0126287, -0.0308207
515.858383080, -0.00528716, -0.004119, -0.0110776, -0.0308297
515.893383080, -0.00534148, -0.00414839, -0.0096299, -0.0308319
515.928488522, -0.0053934, -0.00417146, -0.00819507, -0.0308373
515.960488522, -0.00544145, -0.00419091, -0.0064595, -0.0308382
515.993488522, -0.00550193, -0.00416862, -0.00471707, -0.0308479
516.025591527, -0.00555881, -0.00414547, -0.00298956, -0.0308536
516.058591527, -0.00561935, -0.00412121, -0.00102819, -0.0308571
516.093591527, -0.00567199, -0.00409445, 0.000419465, -0.0308629
516.128696059, -0.00572234, -0.00406685, 0.00221488, -0.0308773
516.158696059, -0.00576621, -0.00404221, 0.00349885, -0.0308839
516.193696059, -0.00582355, -0.00409716, 0.00227862, -0.0308888
516.225801563, -0.00588071, -0.00416225, 0.000455204, -0.0308923
516.260801563, -0.00593155, -0.00419953, -0.000533991, -0.0308926
516.295801563, -0.005984, -0.00424382, -0.00140723, -0.0308939
516.328907187, -0.0060278, -0.00426992, -0.00164862, -0.0308971
516.360907187, -0.00610644, -0.00434571, -0.00148677, -0.0308981
516.393907187, -0.00624983, -0.00450912, -0.0012122, -0.0308959
516.426010866, -0.00641857, -0.00471428, -0.00110994, -0.0308992
516.459010866, -0.00657663, -0.00490122, -0.000693035, -0.030903
516.494010866, -0.00675287, -0.00511273, -0.000189252, -0.0308998
516.526115342, -0.00689038, -0.00526441, 0.000805219, -0.0308948
516.559115342, -0.00702129, -0.00540462, 0.00147919, -0.0308969
516.594115342, -0.00705239, -0.00564663, 0.00163295, -0.0309062
516.629217461, -0.00708926, -0.00582419, 0.00225043, -0.0309123
516.661217461, -0.00712416, -0.00598877, 0.0031747, -0.0309084
516.694217461, -0.00716041, -0.00614085, 0.0043128, -0.0308738
516.726320461, -0.00719777, -0.00628173, 0.00552098, -0.0308304
516.761320461, -0.00723958, -0.00641342, 0.00658971, -0.0308133
516.794320461, -0.00721353, -0.00656152, 0.00777577, -0.0307778
516.829424259, -0.00715637, -0.00673889, 0.00931494, -0.0307377
516.859424259, -0.00712158, -0.00687062, 0.0109832, -0.0307225
516.896424259, -0.00708688, -0.00702234, 0.0130727, -0.0307001
516.929525505, -0.00706904, -0.00713547, 0.0146828, -0.0306903
516.961525505, -0.00707032, -0.00721785, 0.0163606, -0.0306882
516.991525505, -0.00711268, -0.00723225, 0.0177899, -0.030684
517.026627528, -0.00716319, -0.00724656, 0.0114476, -0.0306937
517.061627528, -0.00721567, -0.00726347, 0.005798, -0.0306946
517.091627528, -0.007262, -0.0072771, -0.000189264, -0.0307002
517.129727919, -0.00732138, -0.00729623, -0.00591372, -0.0307071
517.159727919, -0.00737005, -0.00731002, -0.0107656, -0.0307137
517.196727919, -0.0073182, -0.00737319, -0.0158795, -0.030722
517.229829059, -0.0072907, -0.00742173, -0.0196067, -0.0307194
517.259829059, -0.00726689, -0.00746521, -0.0226554, -0.0307183
517.294829059, -0.00724252, -0.00751397, -0.0253325, -0.0307054
517.324928842, -0.00724712, -0.0075487, -0.026472, -0.030693
517.359928842, -0.00724981, -0.00758942, -0.0275243, -0.0306799
517.394928842, -0.00723651, -0.00752846, -0.0286684, -0.0306492
517.430029044, -0.00724249, -0.00749181, -0.0290948, -0.0306239
517.462029044, -0.00724903, -0.00745822, -0.0295974, -0.0306183
517.495029044, -0.00725917, -0.00742889, -0.0303898, -0.0305985
517.530129757, -0.00727648, -0.00740543, -0.0311653, -0.0305775
517.562129757, -0.00729292, -0.00738374, -0.031504, -0.0305708
517.595129757, -0.00730495, -0.00730878, -0.0317856, -0.0305576
517.630228789, -0.00732159, -0.00722611, -0.0316803, -0.0305595
517.660228789, -0.00733313, -0.00714878, -0.0312316, -0.0305567
517.695228789, -0.0073472, -0.00706152, -0.0308463, -0.0305622
517.730328937, -0.00736516, -0.00698564, -0.034089, -0.0305823
517.760328937, -0.00739184, -0.0069512, -0.0354999, -0.0305917
517.795328937, -0.00740097, -0.0067845, -0.0372423, -0.0306169
517.830426466, -0.00742224, -0.00666756, -0.0381786, -0.0306359
517.862426466, -0.00744194, -0.00655872, -0.0389581, -0.0306468
517.895426466, -0.0074641, -0.00645932, -0.0393778, -0.0306771
517.925525556, -0.0074843, -0.00636665, -0.0392949, -0.0307054
517.962525556, -0.00751794, -0.00628313, -0.0390045, -0.0307158
517.997525556, -0.00745277, -0.00624503, -0.0391263, -0.0307474
518.030623058, -0.0073998, -0.00622945, -0.0448996, -0.0307654
518.062623058, -0.00735502, -0.00621446, -0.0496125, -0.0307709
518.095623058, -0.00731789, -0.00620038, -0.0533484, -0.0307881
518.127722075, -0.00728787, -0.00618745, -0.0562473, -0.0307924
518.160722075, -0.00726397, -0.00617552, -0.0583136, -0.0307891
518.192722075, -0.0071638, -0.00621722, -0.0598508, -0.0307817
518.230819021, -0.00705191, -0.00626343, -0.0612174, -0.0307751
518.260819021, -0.00700266, -0.00629113, -0.0616971, -0.030762
518.294819021, -0.0069138, -0.00632911, -0.0616362, -0.0307282
518.329918036, -0.00686168, -0.0063595, -0.0619768, -0.0306933
518.359918036, -0.00681181, -0.0063863, -0.061697, -0.030677
518.394918036, -0.00677813, -0.00634386, -0.0610902, -0.030655
518.428015358, -0.00674795, -0.00630548, -0.0602613, -0.0306346
518.462015358, -0.00672626, -0.00627224, -0.0597284, -0.0306312
518.497015358, -0.00669682, -0.00623339, -0.0586278, -0.0306181
518.530114679, -0.00668398, -0.00620766, -0.0573941, -0.030605
518.560114679, -0.00667231, -0.00618405, -0.0558793, -0.0305979
518.597114679, -0.00666339, -0.00622308, -0.0534377, -0.0305947
518.630211517, -0.00666299, -0.0062526, -0.0512553, -0.0306056
518.662211517, -0.00666611, -0.00628016, -0.0488692, -0.0306091
518.697211517, -0.00667468, -0.00630714, -0.0462932, -0.0306209
518.730308958, -0.00668272, -0.00633213, -0.0434773, -0.030634
518.761308958, -0.00669165, -0.0063556, -0.0406184, -0.0306434
518.796308958, -0.00683788, -0.00631062, -0.0377668, -0.0306629
518.828410471, -0.00697364, -0.00627001, -0.0351568, -0.0306787
518.861410471, -0.00710249, -0.00623436, -0.0328253, -0.0306832
518.896410471, -0.00724726, -0.00619374, -0.0294779, -0.0307127
518.931513019, -0.00736591, -0.00616817, -0.0264526, -0.0307436
518.961513019, -0.00747369, -0.00614398, -0.0233075, -0.0307572
518.996513019, -0.00756886, -0.00618101, -0.0191823, -0.0307805
519.026613110, -0.00763721, -0.00620506, -0.0167304, -0.0307915
519.061613110, -0.0077269, -0.00623744, -0.013473, -0.030792
519.096613110, -0.00780632, -0.00626452, -0.0110113, -0.0307828
519.131714148, -0.00788997, -0.00629317, -0.00880004, -0.0307826
519.161714148, -0.00795216, -0.00631336, -0.00789342, -0.0307845
519.198714148, -0.00800552, -0.00639582, -0.00647326, -0.0307952
519.230815422, -0.00805084, -0.00645706, -0.00502516, -0.0307843
519.263815422, -0.00809785, -0.0065145, -0.00340951, -0.0307778
519.295815422, -0.00814504, -0.00656814, -0.00191065, -0.0307467
519.330917349, -0.00819583, -0.00661958, -0.000310112, -0.0307147
519.362917349, -0.00824296, -0.0066669, 0.00146217, -0.0306951
519.396917349, -0.00826397, -0.00676574, 0.00355372, -0.0306588
519.430024134, -0.00829019, -0.00684067, 0.00544571, -0.030622
519.462024134, -0.00831812, -0.00691073, 0.00738211, -0.0306098
519.495024134, -0.00834763, -0.00697647, 0.00936441, -0.0305889
519.527128938, -0.00837857, -0.00703811, 0.0114861, -0.0305629
519.563128938, -0.0084147, -0.00709757, 0.0136626, -0.0305465
519.597128938, -0.00856089, -0.00707144, 0.0155559, -0.0305248
519.632234630, -0.00872061, -0.00703935, 0.0166241, -0.0305077
519.665234630, -0.00884934, -0.00702073, 0.0171866, -0.0305009
519.697234630, -0.00897342, -0.00700553, 0.0172953, -0.0304795
519.732338621, -0.00909783, -0.00699495, 0.0176412, -0.0304561
519.762338621, -0.00920958, -0.006984, 0.0177968, -0.0304492
519.797338621, -0.00920415, -0.00701892, 0.0178309, -0.0304436
519.830443225, -0.00918728, -0.00705335, 0.0178568, -0.0304388
519.862443225, -0.00919324, -0.0070838, 0.0179575, -0.0304346
519.897443225, -0.00920942, -0.00711521, 0.0176711, -0.0304072
519.928548839, -0.00922125, -0.00714274, 0.0172986, -0.030393
519.960548839, -0.00924209, -0.00717137, 0.0171384, -0.0303917
519.995548839, -0.00916016, -0.00725414, 0.0174096, -0.0304014
520.027652008, -0.00908754, -0.00733197, 0.0179938, -0.0304047
520.065652008, -0.00900742, -0.00742325, 0.0184265, -0.0303968
520.097652008, -0.00896007, -0.00749571, 0.0190991, -0.0304067
520.132756636, -0.00892636, -0.00756897, 0.0202257, -0.0304086
520.165756636, -0.0088968, -0.00763835, 0.0216287, -0.0304071
520.197756636, -0.00871695, -0.00761247, 0.0232745, -0.0304099
520.227859349, -0.00855137, -0.00759088, 0.0244654, -0.0304159
520.265859349, -0.00836859, -0.00757229, 0.0264249, -0.0304223
520.297859349, -0.00824248, -0.00756591, 0.027799, -0.0304325
520.327963923, -0.00812566, -0.00756133, 0.0292337, -0.0304427
520.362963923, -0.00797303, -0.00750179, 0.0310147, -0.0304447
520.397963923, -0.00780955, -0.00729612, 0.0322503, -0.0304445
520.430069285, -0.00766121, -0.00710882, 0.0336355, -0.0304443
520.463069285, -0.00752852, -0.0069396, 0.0351738, -0.0304409
520.495069285, -0.00741079, -0.00678731, 0.0366354, -0.0304322
520.533175265, -0.00731074, -0.0066528, 0.0372154, -0.0304316
520.563175265, -0.00721457, -0.00652545, 0.0380504, -0.0304373
520.600175265, -0.00711263, -0.00631075, 0.0391216, -0.0304422
520.633279271, -0.0070441, -0.00615912, 0.0399349, -0.0304478
520.665279271, -0.00698352, -0.00602138, 0.0409604, -0.0304502
520.695279271, -0.00692784, -0.00589466, 0.0421656, -0.0304631
520.733384492, -0.00688522, -0.00578307, 0.0435133, -0.0304762
520.765384492, -0.0068454, -0.00568042, 0.0448926, -0.0304883
520.798384492, -0.00681297, -0.00553588, 0.0462132, -0.0305024
520.827488081, -0.00678395, -0.00540455, 0.0475925, -0.0305211
520.864488081, -0.00675431, -0.00525908, 0.0485358, -0.0305383
520.899488081, -0.00673882, -0.00515675, 0.0486423, -0.0305575
520.929596655, -0.00673224, -0.00508711, 0.0489751, -0.030577
520.963596655, -0.00671561, -0.00497948, 0.0491934, -0.0305847
520.998596655, -0.00671094, -0.00497244, 0.0496559, -0.0306031
521.031706667, -0.00670227, -0.00496399, 0.0496302, -0.030631
521.066706667, -0.0067039, -0.00496067, 0.0499212, -0.0306452
521.098706667, -0.0067062, -0.00495835, 0.0506452, -0.0306737
521.133817558, -0.00671246, -0.0049583, 0.0517983, -0.0306901
521.166817558, -0.0066988, -0.00494505, 0.0532129, -0.0307001
521.196817558, -0.0066296, -0.00489338, 0.0544046, -0.0307067
521.228926628, -0.00657036, -0.00484888, 0.0558141, -0.0307
521.266926628, -0.00650496, -0.00480058, 0.0573418, -0.0307
521.295926628, -0.00647474, -0.00477726, 0.0582237, -0.0306997
521.334036374, -0.00642536, -0.00474124, 0.0596485, -0.0306909
521.366036374, -0.00637485, -0.0047047, 0.0606041, -0.0306812
521.401036374, -0.00625465, -0.00461929, 0.0616472, -0.0306548
521.431146286, -0.00619417, -0.00457601, 0.0626298, -0.0306284
521.466146286, -0.00609832, -0.00450896, 0.0628655, -0.0306184
521.499146286, -0.00603334, -0.00446384, 0.0628462, -0.0305812
521.534253848, -0.00597635, -0.00442485, 0.0630381, -0.030537
521.566253848, -0.00592538, -0.00439086, 0.0632227, -0.0305109
521.599253848, -0.00605041, -0.0044375, 0.0631637, -0.0304579
521.629362172, -0.00612539, -0.00446701, 0.0634711, -0.0304115
521.666362172, -0.00622006, -0.00450435, 0.0639499, -0.0303891
521.696362172, -0.00630677, -0.00453826, 0.0643792, -0.0303624
521.731469938, -0.00640801, -0.00457837, 0.0651489, -0.0303439
521.763469938, -0.00648789, -0.00461138, 0.0658422, -0.0303444
521.801469938, -0.00647611, -0.00455797, 0.0664198, -0.030356
521.831578074, -0.00647172, -0.00451908, 0.0664161, -0.0303596
521.866578074, -0.00647472, -0.00448593, 0.0662998, -0.0303597
521.900578074, -0.00648062, -0.00445585, 0.0662725, -0.0303607
521.930689959, -0.00648662, -0.00442707, 0.065954, -0.030365
521.965689959, -0.00649576, -0.00439417, 0.0655963, -0.0303653
522.000689959, -0.00651004, -0.00437296, 0.0656875, -0.0303758
522.030802616, -0.00652281, -0.00435229, 0.0655882, -0.0303876
522.067802616, -0.00652096, -0.00435482, 0.0656283, -0.0303907
522.100802616, -0.00645857, -0.00441024, 0.0656883, -0.0303991
522.135914145, -0.0064064, -0.00446225, 0.0658082, -0.0304081
522.165914145, -0.00635852, -0.00450905, 0.0657793, -0.0304163
522.200914145, -0.00630596, -0.00456241, 0.0660137, -0.0304402
522.233023257, -0.00627293, -0.00460377, 0.0664944, -0.0304492
522.265023257, -0.0062599, -0.00469558, 0.0671509, -0.0304505
522.299023257, -0.00629981, -0.0049322, 0.0681786, -0.0304358
522.334137607, -0.00634125, -0.00519738, 0.0706026, -0.0303886
522.367137607, -0.00637012, -0.00539261, 0.074194, -0.0303703
522.399137607, -0.00638652, -0.00553325, 0.079147, -0.0303289
522.434250718, -0.0064048, -0.00573774, 0.0824243, -0.0302935
522.467250718, -0.00635094, -0.00589511, 0.0857782, -0.0302835
522.499250718, -0.00612636, -0.0060582, 0.0901553, -0.0302462
522.534365301, -0.00590645, -0.00620569, 0.0967376, -0.0302132
522.567365301, -0.00569452, -0.00633838, 0.10342, -0.0301925
522.599365301, -0.00548764, -0.00645775, 0.110475, -0.0301597
522.634478176, -0.00525098, -0.00658866, 0.11811, -0.0301266
522.666478176, -0.005075, -0.00672461, 0.12514, -0.0301056
522.701478176, -0.00493515, -0.00697253, 0.132778, -0.0300738
522.734594724, -0.0048058, -0.00719758, 0.139599, -0.0300332
522.764594724, -0.00468895, -0.00739982, 0.145589, -0.0300174
522.799594724, -0.00456656, -0.00758227, 0.152598, -0.0299896
522.834709275, -0.00445167, -0.00774717, 0.158956, -0.0299716
522.869709275, -0.00438946, -0.00790305, 0.164624, -0.0299655
522.899709275, -0.0044987, -0.00792861, 0.170089, -0.0299528
522.931825392, -0.00459524, -0.00794916, 0.173007, -0.0299481
522.966825392, -0.00468067, -0.00796333, 0.174019, -0.029942
522.998825392, -0.00479508, -0.00797919, 0.173191, -0.0299257
523.033940151, -0.00486754, -0.00798123, 0.175188, -0.0299198
523.063940151, -0.0049486, -0.00795938, 0.177248, -0.0299166
523.098940151, -0.00504051, -0.00786852, 0.180224, -0.0299064
