Stamp, Max volume, Current volume
224.317000000, 28000, 49.616
224.417000000, 28000, 49.616
224.517000000, 28000, 49.616
224.617000000, 28000, 49.616
224.717000000, 28000, 49.656
224.817000000, 28000, 49.704
224.917000000, 28000, 49.808
225.017000000, 28000, 50.016
225.117000000, 28000, 50.256
225.217000000, 28000, 50.264
225.317000000, 28000, 50.296
225.417000000, 28000, 50.296
225.517000000, 28000, 50.296
225.617000000, 28000, 50.32
225.717000000, 28000, 50.32
225.817000000, 28000, 50.32
225.917000000, 28000, 50.32
226.017000000, 28000, 50.32
226.117000000, 28000, 50.344
226.217000000, 28000, 50.344
226.317000000, 28000, 50.392
226.417000000, 28000, 50.448
226.517000000, 28000, 50.528
226.617000000, 28000, 50.616
226.717000000, 28000, 50.656
226.817000000, 28000, 50.672
226.917000000, 28000, 51
227.017000000, 28000, 51.84
227.117000000, 28000, 52.288
227.217000000, 28000, 52.296
227.317000000, 28000, 52.304
227.417000000, 28000, 52.304
227.517000000, 28000, 52.384
227.617000000, 28000, 52.456
227.717000000, 28000, 52.456
227.817000000, 28000, 52.512
227.917000000, 28000, 52.512
228.017000000, 28000, 52.512
228.119000000, 28000, 52.568
228.317000000, 28000, 52.632
228.417000000, 28000, 52.64
228.517000000, 28000, 52.72
228.617000000, 28000, 52.736
228.717000000, 28000, 52.832
228.817000000, 28000, 53.12
228.917000000, 28000, 53.568
229.017000000, 28000, 53.88
229.117000000, 28000, 53.984
229.217000000, 28000, 54.08
229.317000000, 28000, 54.328
229.417000000, 28000, 54.44
229.517000000, 28000, 54.44
229.617000000, 28000, 54.616
229.717000000, 28000, 54.856
229.817000000, 28000, 55.056
229.917000000, 28000, 55.312
230.017000000, 28000, 55.544
230.117000000, 28000, 55.816
230.217000000, 28000, 55.968
230.317000000, 28000, 56.152
230.417000000, 28000, 56.456
230.517000000, 28000, 56.536
230.617000000, 28000, 56.768
230.717000000, 28000, 57.088
230.817000000, 28000, 57.152
230.917000000, 28000, 57.48
231.017000000, 28000, 57.688
231.117000000, 28000, 57.72
231.217000000, 28000, 57.72
231.317000000, 28000, 57.784
231.417000000, 28000, 57.784
231.517000000, 28000, 57.808
231.617000000, 28000, 57.824
231.717000000, 28000, 57.976
231.817000000, 28000, 58.104
231.917000000, 28000, 58.584
232.017000000, 28000, 59.848
232.117000000, 28000, 61.648
232.217000000, 28000, 63.544
232.321000000, 28000, 65.728
232.421000000, 28000, 67.48
232.521000000, 28000, 69.72
232.621000000, 28000, 71.8
232.721000000, 28000, 73.84
232.821000000, 28000, 76.128
232.921000000, 28000, 78.168
233.023000000, 28000, 80.528
233.221000000, 28000, 84.912
233.321000000, 28000, 87.264
233.421000000, 28000, 89.536
233.521000000, 28000, 91.808
233.621000000, 28000, 94.248
233.721000000, 28000, 96.696
233.821000000, 28000, 99.184
233.921000000, 28000, 101.256
234.021000000, 28000, 103.96
234.121000000, 28000, 106.176
234.221000000, 28000, 108.496
234.321000000, 28000, 110.952
234.421000000, 28000, 113.168
234.521000000, 28000, 115.568
234.621000000, 28000, 117.904
234.721000000, 28000, 120.264
234.821000000, 28000, 122.624
234.921000000, 28000, 124.904
235.021000000, 28000, 127.472
235.121000000, 28000, 129.632
235.221000000, 28000, 132.096
235.321000000, 28000, 134.584
235.421000000, 28000, 136.912
235.521000000, 28000, 139.496
235.621000000, 28000, 141.96
235.721000000, 28000, 144.448
235.823000000, 28000, 146.72
235.927000000, 28000, 148.88
236.027000000, 28000, 150.8
236.127000000, 28000, 151.92
236.227000000, 28000, 153.176
236.327000000, 28000, 154.248
236.427000000, 28000, 155.072
236.527000000, 28000, 156.008
236.627000000, 28000, 156.864
236.727000000, 28000, 157.736
236.827000000, 28000, 158.512
236.929000000, 28000, 159.28
237.129000000, 28000, 160.752
237.229000000, 28000, 161.504
237.427000000, 28000, 163.128
237.527000000, 28000, 163.912
237.627000000, 28000, 164.728
237.727000000, 28000, 165.424
237.827000000, 28000, 165.808
237.927000000, 28000, 166.144
238.027000000, 28000, 166.512
238.127000000, 28000, 166.912
238.227000000, 28000, 167.312
238.327000000, 28000, 167.536
238.427000000, 28000, 167.768
238.527000000, 28000, 168.008
238.627000000, 28000, 168.208
238.727000000, 28000, 168.432
238.827000000, 28000, 168.56
238.927000000, 28000, 168.688
239.027000000, 28000, 168.816
239.127000000, 28000, 168.92
239.227000000, 28000, 169.016
239.327000000, 28000, 169.096
239.427000000, 28000, 169.152
239.527000000, 28000, 169.24
239.627000000, 28000, 169.296
239.727000000, 28000, 169.36
239.827000000, 28000, 169.4
239.927000000, 28000, 169.48
240.027000000, 28000, 169.56
240.127000000, 28000, 169.592
240.227000000, 28000, 169.632
240.327000000, 28000, 169.656
240.427000000, 28000, 169.656
240.527000000, 28000, 169.656
240.627000000, 28000, 169.656
240.727000000, 28000, 169.656
240.827000000, 28000, 169.656
240.927000000, 28000, 169.68
241.027000000, 28000, 169.848
241.127000000, 28000, 170.256
241.227000000, 28000, 171.192
241.327000000, 28000, 171.704
241.427000000, 28000, 172.048
241.527000000, 28000, 172.168
241.627000000, 28000, 172.192
241.729000000, 28000, 172.352
241.927000000, 28000, 172.856
242.027000000, 28000, 173.272
242.127000000, 28000, 173.8
242.227000000, 28000, 174.312
242.327000000, 28000, 174.92
242.527000000, 28000, 176.432
242.627000000, 28000, 177.36
242.727000000, 28000, 178.424
242.827000000, 28000, 179.448
242.927000000, 28000, 180.752
243.127000000, 28000, 183.456
243.227000000, 28000, 184.848
243.327000000, 28000, 186.28
243.427000000, 28000, 187.712
243.527000000, 28000, 189.36
243.627000000, 28000, 190.768
243.727000000, 28000, 192.416
243.827000000, 28000, 193.856
243.927000000, 28000, 195.896
244.127000000, 28000, 201.144
244.227000000, 28000, 203.648
244.327000000, 28000, 206.328
244.427000000, 28000, 208.824
244.527000000, 28000, 211.624
244.627000000, 28000, 214.048
244.727000000, 28000, 215.92
244.827000000, 28000, 217.664
245.027000000, 28000, 220.56
245.127000000, 28000, 221.6
245.227000000, 28000, 222.824
245.327000000, 28000, 223.888
245.427000000, 28000, 224.68
245.527000000, 28000, 225.656
245.727000000, 28000, 227.688
245.827000000, 28000, 228.544
245.927000000, 28000, 229.624
246.027000000, 28000, 230.792
246.127000000, 28000, 231.8
246.227000000, 28000, 233.208
246.327000000, 28000, 234.48
246.427000000, 28000, 235.48
246.527000000, 28000, 236.968
246.627000000, 28000, 238.072
246.727000000, 28000, 239.32
246.827000000, 28000, 240.544
246.927000000, 28000, 241.584
247.027000000, 28000, 242.976
247.127000000, 28000, 244.008
247.227000000, 28000, 245.024
247.327000000, 28000, 246.248
247.427000000, 28000, 247.24
247.527000000, 28000, 248.096
247.627000000, 28000, 249.128
247.727000000, 28000, 250.048
247.827000000, 28000, 250.736
247.929000000, 28000, 251.712
248.127000000, 28000, 253.784
248.227000000, 28000, 254.864
248.327000000, 28000, 255.704
248.427000000, 28000, 256.616
248.627000000, 28000, 258.688
248.727000000, 28000, 259.656
248.827000000, 28000, 260.824
248.927000000, 28000, 262.032
249.027000000, 28000, 262.64
249.127000000, 28000, 262.792
249.327000000, 28000, 262.944
249.427000000, 28000, 264.136
249.527000000, 28000, 264.672
249.627000000, 28000, 265.152
249.727000000, 28000, 265.552
249.827000000, 28000, 265.856
249.927000000, 28000, 266.352
250.127000000, 28000, 266.8
250.227000000, 28000, 267.008
250.327000000, 28000, 267.16
250.427000000, 28000, 267.312
250.527000000, 28000, 267.512
250.627000000, 28000, 267.664
250.727000000, 28000, 267.768
250.927000000, 28000, 267.88
251.027000000, 28000, 268.008
251.127000000, 28000, 268.096
251.227000000, 28000, 268.176
251.327000000, 28000, 268.296
251.427000000, 28000, 268.464
251.527000000, 28000, 268.792
