Stamp, X, Y, Z, Yaw
282.440975881, -0.0054528, -0.00422534, -0.0247135, -0.0340679
282.473975881, -0.00545864, -0.00419123, -0.0225543, -0.0340694
282.505975881, -0.00540613, -0.00413896, -0.0202617, -0.0340836
282.538167497, -0.00527033, -0.00405275, -0.0172934, -0.0341073
282.571167497, -0.00517909, -0.0039939, -0.0147374, -0.034115
282.608167497, -0.00507378, -0.0039276, -0.0118284, -0.0341276
282.639361417, -0.00502278, -0.00389472, -0.0100677, -0.034133
282.673361417, -0.0049567, -0.00385368, -0.00780959, -0.0341361
282.706361417, -0.00491193, -0.00385609, -0.00565804, -0.0341411
282.741555177, -0.00488882, -0.00389735, -0.00343, -0.0341377
282.773555177, -0.00485636, -0.00394174, -0.000874666, -0.034137
282.808555177, -0.00483982, -0.00397833, -0.000434648, -0.034123
282.841751404, -0.00482365, -0.0040126, -0.00109219, -0.0341122
282.873751404, -0.00480988, -0.00404569, -0.00156069, -0.0341163
282.908751404, -0.00481854, -0.00416674, -0.00149115, -0.0341136
282.938944560, -0.00483373, -0.00425197, -0.00120401, -0.0341091
282.973944560, -0.00485058, -0.00435877, -0.000712024, -0.0341044
283.006944560, -0.00486413, -0.00447777, 6.99264e-05, -0.0340983
283.039140452, -0.00487945, -0.00457204, 0.000223764, -0.0340748
283.074140452, -0.00489646, -0.00466456, 0.000202023, -0.0340528
283.106140452, -0.00488304, -0.00477652, 0.000568601, -0.0340227
283.141336456, -0.0048323, -0.00493277, 0.0014896, -0.0340006
283.175336456, -0.0048019, -0.00505544, 0.00216376, -0.0339922
283.208336456, -0.00477462, -0.00516981, 0.00297423, -0.0339685
283.240542831, -0.00475159, -0.00527824, 0.00193221, -0.0339426
283.275542831, -0.00473333, -0.00538399, 0.000912127, -0.033923
283.307542831, -0.00467835, -0.00551185, 0.000359895, -0.0338822
283.337750089, -0.0046161, -0.00563924, -0.00057698, -0.0338369
283.374750089, -0.00454773, -0.00578744, -0.00386616, -0.0338095
283.407750089, -0.00450187, -0.00590175, -0.00661282, -0.0337583
283.439961128, -0.00446137, -0.0060102, -0.00868689, -0.0337058
283.472961128, -0.00442617, -0.0061132, -0.0102631, -0.0336863
283.507961128, -0.00436197, -0.00615158, -0.0113084, -0.0336238
283.540176242, -0.00429282, -0.00616792, -0.0120264, -0.0335822
283.573176242, -0.00421315, -0.00618085, -0.0130022, -0.0335525
283.610176242, -0.00416238, -0.00621019, -0.0134057, -0.0334999
283.643398410, -0.00411549, -0.00623501, -0.0135027, -0.0334451
283.673398410, -0.0040863, -0.00626269, -0.0134846, -0.0334228
283.710398410, -0.00399786, -0.0063315, -0.0133679, -0.0333616
283.733624544, -0.00394481, -0.00637719, -0.0130992, -0.0333055
283.774624544, -0.00386773, -0.00645733, -0.0125999, -0.0332727
283.809624544, -0.0037985, -0.00652555, -0.0124276, -0.0332277
283.842862981, -0.00375146, -0.00658539, -0.0120694, -0.0331961
283.874862981, -0.00369082, -0.00659246, -0.0112933, -0.03318
283.908105481, -0.00361887, -0.00655202, -0.0108026, -0.033163
283.942105481, -0.00355503, -0.00651922, -0.0102325, -0.0331428
283.977105481, -0.00348302, -0.00647523, -0.00941648, -0.0331377
284.009353425, -0.00343448, -0.00645222, -0.00860839, -0.033147
284.044353425, -0.00337986, -0.00642171, -0.00711498, -0.0331481
284.074353425, -0.00326827, -0.00638104, -0.00596369, -0.033146
284.110609511, -0.00302848, -0.00627637, -0.0037191, -0.0331445
284.144609511, -0.00285789, -0.00621213, -0.00179287, -0.0331484
284.177609511, -0.00270094, -0.00615391, 0.000166241, -0.0331494
284.207877398, -0.00259097, -0.00612172, 0.000704326, -0.0331426
284.243877398, -0.00242336, -0.00606171, 0.00193907, -0.0331455
284.278877398, -0.0022635, -0.00596101, 0.00322622, -0.0331557
284.311153107, -0.00216948, -0.00590085, 0.00377389, -0.0331633
284.344153107, -0.0020549, -0.00581901, 0.00491374, -0.0331648
284.376153107, -0.00192658, -0.0057228, 0.0064302, -0.0331673
284.409437481, -0.00183103, -0.0056624, 0.00739211, -0.0331613
284.442437481, -0.00174326, -0.00561076, 0.00818876, -0.0331521
284.477437481, -0.00171278, -0.00560899, 0.00922211, -0.0331461
284.507728749, -0.00170177, -0.00561831, 0.0105101, -0.0331132
284.544728749, -0.00168821, -0.00563266, 0.0122681, -0.0331004
284.577728749, -0.00167673, -0.00564887, 0.013847, -0.0330918
284.613026899, -0.00166459, -0.0056695, 0.0154983, -0.0330553
284.643026899, -0.00165481, -0.00568704, 0.0164401, -0.0330125
