Stamp, Min, Max, Current, Mean
311.067000000, 1.5, 4, 3.09915, 3.09915
311.101000000, 1.5, 4, 3.09908, 3.09912
311.137000000, 1.5, 4, 3.09909, 3.09911
311.171000000, 1.5, 4, 3.09911, 3.09911
311.207000000, 1.5, 4, 3.09911, 3.09911
311.243000000, 1.5, 4, 3.09915, 3.09912
311.277000000, 1.5, 4, 3.09915, 3.09912
311.315000000, 1.5, 4, 3.09918, 3.09913
311.349000000, 1.5, 4, 3.0992, 3.09914
311.383000000, 1.5, 4, 3.18673, 3.10789
311.419000000, 1.5, 4, 3.18692, 3.11508
311.453000000, 1.5, 4, 3.18709, 3.12108
311.487000000, 1.5, 4, 3.18722, 3.12617
311.523000000, 1.5, 4, 3.18736, 3.13054
311.557000000, 1.5, 4, 3.18754, 3.13434
311.591000000, 1.5, 4, 3.18766, 3.13767
311.623000000, 1.5, 4, 3.18777, 3.14062
311.659000000, 1.5, 4, 3.18785, 3.14324
311.693000000, 1.5, 4, 3.18795, 3.1456
311.727000000, 1.5, 4, 3.18795, 3.14771
311.761000000, 1.5, 4, 3.18793, 3.14963
311.795000000, 1.5, 4, 3.18791, 3.15137
311.827000000, 1.5, 4, 3.18789, 3.15296
311.861000000, 1.5, 4, 3.18788, 3.15441
311.893000000, 1.5, 4, 3.18787, 3.15575
311.927000000, 1.5, 4, 3.18778, 3.15698
311.961000000, 1.5, 4, 3.18772, 3.15812
311.995000000, 1.5, 4, 3.18761, 3.15917
312.029000000, 1.5, 4, 3.18752, 3.16015
312.061000000, 1.5, 4, 3.18741, 3.16106
312.095000000, 1.5, 4, 3.18735, 3.16191
312.127000000, 1.5, 4, 3.18726, 3.1627
312.161000000, 1.5, 4, 3.18714, 3.16344
312.195000000, 1.5, 4, 3.18706, 3.16413
312.227000000, 1.5, 4, 3.18698, 3.16479
312.261000000, 1.5, 4, 3.18691, 3.1654
312.295000000, 1.5, 4, 3.18684, 3.16598
312.327000000, 1.5, 4, 3.18665, 3.16653
312.361000000, 1.5, 4, 3.18639, 3.16703
312.395000000, 1.5, 4, 3.18619, 3.16751
312.429000000, 1.5, 4, 3.18605, 3.16797
312.463000000, 1.5, 4, 3.10177, 3.16639
312.495000000, 1.5, 4, 3.10177, 3.16489
312.529000000, 1.5, 4, 3.10169, 3.16345
312.561000000, 1.5, 4, 1.30378, 3.12212
312.597000000, 1.5, 4, 1.30371, 3.08259
312.629000000, 1.5, 4, 1.30361, 3.04474
312.661000000, 1.5, 4, 0.315815, 2.98789
312.695000000, 1.5, 4, 0.315679, 2.93336
312.729000000, 1.5, 4, 0.315578, 2.881
312.763000000, 1.5, 4, 0.315477, 2.8307
312.795000000, 1.5, 4, 0.315358, 2.78232
312.829000000, 1.5, 4, 0.315238, 2.73578
312.863000000, 1.5, 4, 0.315101, 2.69095
312.895000000, 1.5, 4, 0.314953, 2.64775
312.929000000, 1.5, 4, 0.314822, 2.60609
312.961000000, 1.5, 4, 0.314713, 2.56589
312.995000000, 1.5, 4, 0.314594, 2.52707
313.029000000, 1.5, 4, 0.314478, 2.48957
313.061000000, 1.5, 4, 0.314412, 2.45332
313.095000000, 1.5, 4, 0.314427, 2.41826
313.129000000, 1.5, 4, 0.314499, 2.38432
