Stamp, Min, Max, Current, Mean
231.171000000, 2, 4, 0.32554, 0.32554
231.205000000, 2, 4, 0.324645, 0.325093
231.237000000, 2, 4, 0.322789, 0.324325
231.271000000, 2, 4, 0.321856, 0.323708
231.305000000, 2, 4, 0.321198, 0.323206
231.341000000, 2, 4, 0.320765, 0.322799
231.375000000, 2, 4, 0.320456, 0.322464
231.409000000, 2, 4, 0.320206, 0.322182
231.443000000, 2, 4, 0.320027, 0.321943
231.477000000, 2, 4, 0.319768, 0.321725
231.511000000, 2, 4, 0.319491, 0.321522
231.543000000, 2, 4, 0.31726, 0.321167
231.579000000, 2, 4, 0.316237, 0.320788
231.611000000, 2, 4, 0.316728, 0.320498
231.645000000, 2, 4, 0.318258, 0.320348
231.679000000, 2, 4, 0.32098, 0.320388
231.713000000, 2, 4, 0.323087, 0.320547
231.745000000, 2, 4, 0.326919, 0.320901
231.779000000, 2, 4, 0.330385, 0.3214
231.845000000, 2, 4, 0.327454, 0.321688
231.879000000, 2, 4, 0.326453, 0.321905
231.913000000, 2, 4, 0.325906, 0.322079
231.947000000, 2, 4, 0.326191, 0.32225
231.979000000, 2, 4, 0.326785, 0.322431
232.013000000, 2, 4, 0.326996, 0.322607
232.047000000, 2, 4, 0.32836, 0.32282
232.081000000, 2, 4, 0.330112, 0.32308
232.113000000, 2, 4, 0.33027, 0.323328
232.145000000, 2, 4, 0.326207, 0.323424
232.181000000, 2, 4, 0.322075, 0.323381
232.213000000, 2, 4, 0.31939, 0.323256
232.247000000, 2, 4, 0.317317, 0.323076
232.279000000, 2, 4, 0.316268, 0.322876
232.313000000, 2, 4, 0.316699, 0.322699
232.347000000, 2, 4, 0.318349, 0.322578
232.379000000, 2, 4, 0.321674, 0.322554
232.413000000, 2, 4, 0.326516, 0.322658
232.447000000, 2, 4, 3.02477, 0.391943
232.479000000, 2, 4, 3.02424, 0.45775
232.513000000, 2, 4, 3.02382, 0.520338
232.547000000, 2, 4, 3.02345, 0.579935
232.581000000, 2, 4, 3.02334, 0.636759
232.615000000, 2, 4, 3.02327, 0.690998
232.647000000, 2, 4, 3.02324, 0.742825
232.681000000, 2, 4, 3.02328, 0.7924
232.715000000, 2, 4, 3.02338, 0.839868
232.747000000, 2, 4, 3.02356, 0.885362
232.781000000, 2, 4, 3.02381, 0.929003
232.815000000, 2, 4, 3.02417, 0.970907
232.847000000, 2, 4, 3.02458, 1.01117
232.881000000, 2, 4, 3.0247, 1.0499
232.913000000, 2, 4, 3.02426, 1.08715
232.947000000, 2, 4, 3.02389, 1.12301
232.981000000, 2, 4, 3.02357, 1.15757
233.013000000, 2, 4, 3.02341, 1.19089
233.047000000, 2, 4, 3.02328, 1.22304
233.081000000, 2, 4, 3.02325, 1.25407
233.115000000, 2, 4, 3.02326, 1.28406
233.147000000, 2, 4, 3.02334, 1.31305
233.181000000, 2, 4, 3.02345, 1.34109
233.215000000, 2, 4, 3.02359, 1.36822
233.247000000, 2, 4, 3.02373, 1.3945
233.281000000, 2, 4, 3.02391, 1.41996
233.315000000, 2, 4, 3.02417, 1.44464
233.347000000, 2, 4, 3.02437, 1.46858
233.381000000, 2, 4, 3.02468, 1.4918
233.413000000, 2, 4, 3.02482, 1.51435
233.447000000, 2, 4, 3.02454, 1.53623
233.481000000, 2, 4, 3.02429, 1.55749
233.513000000, 2, 4, 3.02407, 1.57815
233.547000000, 2, 4, 3.0239, 1.59823
233.579000000, 2, 4, 3.02377, 1.61776
233.613000000, 2, 4, 3.02366, 1.63675
233.647000000, 2, 4, 3.02357, 1.65525
