Stamp, Min, Max, Current, Mean
224.689000000, 2, 4, 0.316237, 0.316237
224.723000000, 2, 4, 0.316612, 0.316424
224.755000000, 2, 4, 0.317522, 0.31679
224.789000000, 2, 4, 0.318321, 0.317173
224.823000000, 2, 4, 0.319919, 0.317722
224.857000000, 2, 4, 0.321178, 0.318298
224.891000000, 2, 4, 0.322158, 0.318849
224.925000000, 2, 4, 0.323058, 0.319375
224.959000000, 2, 4, 0.323084, 0.319788
224.991000000, 2, 4, 0.322886, 0.320097
225.025000000, 2, 4, 0.322504, 0.320316
225.059000000, 2, 4, 0.322207, 0.320474
225.091000000, 2, 4, 0.321574, 0.320558
225.125000000, 2, 4, 0.320919, 0.320584
225.159000000, 2, 4, 0.32091, 0.320606
225.193000000, 2, 4, 0.320734, 0.320614
225.227000000, 2, 4, 0.320374, 0.3206
225.261000000, 2, 4, 0.324124, 0.320796
225.293000000, 2, 4, 0.32786, 0.321167
225.327000000, 2, 4, 0.331065, 0.321662
225.361000000, 2, 4, 0.329576, 0.322039
225.393000000, 2, 4, 0.327324, 0.322279
225.427000000, 2, 4, 0.326003, 0.322441
225.461000000, 2, 4, 0.324938, 0.322545
225.493000000, 2, 4, 0.32418, 0.322611
225.527000000, 2, 4, 0.323681, 0.322652
225.561000000, 2, 4, 0.323688, 0.32269
225.593000000, 2, 4, 0.324737, 0.322763
225.627000000, 2, 4, 0.326192, 0.322882
225.659000000, 2, 4, 0.329156, 0.323091
225.695000000, 2, 4, 0.329776, 0.323306
225.727000000, 2, 4, 0.325407, 0.323372
225.759000000, 2, 4, 0.321398, 0.323312
225.793000000, 2, 4, 0.318015, 0.323156
225.827000000, 2, 4, 0.316357, 0.322962
225.861000000, 2, 4, 1.50308, 0.355743
225.893000000, 2, 4, 1.50334, 0.386759
225.927000000, 2, 4, 1.50391, 0.416158
225.961000000, 2, 4, 1.5048, 0.444072
225.993000000, 2, 4, 1.50597, 0.47062
226.027000000, 2, 4, 3.08935, 0.534491
226.059000000, 2, 4, 3.08884, 0.595309
226.093000000, 2, 4, 3.08844, 0.653289
226.127000000, 2, 4, 3.08822, 0.708628
226.159000000, 2, 4, 3.0881, 0.761505
226.193000000, 2, 4, 3.08812, 0.812084
226.225000000, 2, 4, 3.08826, 0.860513
226.261000000, 2, 4, 3.08845, 0.906928
226.293000000, 2, 4, 3.08875, 0.951455
226.325000000, 2, 4, 3.0891, 0.994208
226.359000000, 2, 4, 3.08951, 1.03529
226.393000000, 2, 4, 3.0894, 1.07479
226.427000000, 2, 4, 3.08907, 1.1128
226.459000000, 2, 4, 3.08878, 1.14939
226.493000000, 2, 4, 3.08855, 1.18465
226.527000000, 2, 4, 3.08838, 1.21864
226.559000000, 2, 4, 3.08826, 1.25144
226.593000000, 2, 4, 3.08821, 1.28311
226.625000000, 2, 4, 3.08818, 1.31371
226.661000000, 2, 4, 3.08819, 1.34328
226.693000000, 2, 4, 3.08824, 1.37189
226.725000000, 2, 4, 3.08832, 1.39957
226.759000000, 2, 4, 3.0884, 1.42638
226.793000000, 2, 4, 3.08848, 1.45235
226.827000000, 2, 4, 3.08857, 1.47752
226.859000000, 2, 4, 3.08865, 1.50193
226.893000000, 2, 4, 3.08873, 1.52562
226.927000000, 2, 4, 3.0888, 1.5486
226.961000000, 2, 4, 3.08883, 1.57093
226.993000000, 2, 4, 3.08865, 1.59261
227.027000000, 2, 4, 3.08857, 1.61368
227.061000000, 2, 4, 3.08849, 1.63416
227.093000000, 2, 4, 3.08847, 1.65408
227.127000000, 2, 4, 3.08845, 1.67347
227.161000000, 2, 4, 3.08845, 1.69233
227.193000000, 2, 4, 3.08845, 1.7107
227.227000000, 2, 4, 3.08845, 1.7286
227.261000000, 2, 4, 3.08846, 1.74603
227.295000000, 2, 4, 3.08847, 1.76302
227.329000000, 2, 4, 3.08848, 1.77959
227.361000000, 2, 4, 3.0885, 1.79575
227.395000000, 2, 4, 3.08851, 1.81152
227.427000000, 2, 4, 3.08852, 1.8269
227.461000000, 2, 4, 3.08852, 1.84192
227.495000000, 2, 4, 3.08852, 1.85659
227.527000000, 2, 4, 3.08853, 1.87091
227.561000000, 2, 4, 3.08854, 1.88491
227.595000000, 2, 4, 3.08856, 1.89859
227.629000000, 2, 4, 3.08857, 1.91196
227.661000000, 2, 4, 3.0886, 1.92503
227.695000000, 2, 4, 3.08864, 1.93782
227.729000000, 2, 4, 3.08868, 1.95033
227.761000000, 2, 4, 3.08873, 1.96257
227.795000000, 2, 4, 3.0888, 1.97455
227.827000000, 2, 4, 3.08886, 1.98628
227.861000000, 2, 4, 3.08893, 1.99776
227.895000000, 2, 4, 3.08898, 2.00901
227.927000000, 2, 4, 3.08904, 2.02003
227.963000000, 2, 4, 3.08909, 2.03083
227.995000000, 2, 4, 3.08916, 2.04142
228.027000000, 2, 4, 3.08922, 2.05179
228.061000000, 2, 4, 3.08921, 2.06196
228.095000000, 2, 4, 3.08923, 2.07193
228.129000000, 2, 4, 3.08921, 2.08172
228.163000000, 2, 4, 3.0892, 2.09131
228.195000000, 2, 4, 3.0892, 2.10072
228.229000000, 2, 4, 3.08917, 2.10996
228.263000000, 2, 4, 3.08912, 2.11903
228.295000000, 2, 4, 3.0891, 2.12793
228.331000000, 2, 4, 3.08951, 2.13667
228.365000000, 2, 4, 3.08952, 2.14525
228.401000000, 2, 4, 3.08953, 2.15369
228.433000000, 2, 4, 3.08952, 2.16197
228.465000000, 2, 4, 3.08953, 2.1701
228.499000000, 2, 4, 3.08954, 2.1781
228.533000000, 2, 4, 3.08956, 2.18596
228.567000000, 2, 4, 3.08952, 2.19368
228.599000000, 2, 4, 3.08946, 2.20127
228.633000000, 2, 4, 3.08939, 2.20873
228.667000000, 2, 4, 3.08935, 2.21607
228.699000000, 2, 4, 3.0893, 2.22329
228.733000000, 2, 4, 3.08928, 2.23039
228.767000000, 2, 4, 3.08926, 2.23737
228.799000000, 2, 4, 3.08927, 2.24424
228.833000000, 2, 4, 3.08926, 2.251
228.867000000, 2, 4, 3.08926, 2.25765
228.901000000, 2, 4, 3.08928, 2.2642
228.933000000, 2, 4, 3.08928, 2.27065
228.965000000, 2, 4, 3.08932, 2.27699
229.001000000, 2, 4, 3.08938, 2.28324
229.033000000, 2, 4, 3.08945, 2.2894
229.067000000, 2, 4, 3.0895, 2.29546
229.099000000, 2, 4, 3.08954, 2.30143
229.133000000, 2, 4, 3.08948, 2.30731
229.167000000, 2, 4, 3.08942, 2.3131
229.199000000, 2, 4, 3.08942, 2.31881
229.233000000, 2, 4, 3.08941, 2.32444
229.267000000, 2, 4, 3.08941, 2.32998
229.299000000, 2, 4, 3.08946, 2.33544
229.333000000, 2, 4, 3.08951, 2.34083
229.365000000, 2, 4, 3.08959, 2.34614
229.399000000, 2, 4, 3.0897, 2.35138
