Stamp, Max volume, Current volume
281.565000000, 28000, 48.12
281.665000000, 28000, 48.304
281.765000000, 28000, 48.52
281.865000000, 28000, 48.68
281.965000000, 28000, 48.84
282.065000000, 28000, 49.024
282.165000000, 28000, 49.168
282.265000000, 28000, 49.28
282.365000000, 28000, 49.408
282.465000000, 28000, 49.464
282.565000000, 28000, 49.544
282.665000000, 28000, 49.592
282.765000000, 28000, 49.616
282.865000000, 28000, 49.696
282.967000000, 28000, 49.784
283.165000000, 28000, 49.992
283.265000000, 28000, 50.128
283.365000000, 28000, 50.272
283.465000000, 28000, 50.464
283.565000000, 28000, 50.6
283.665000000, 28000, 50.792
283.765000000, 28000, 51.184
283.865000000, 28000, 51.208
283.965000000, 28000, 51.224
284.065000000, 28000, 51.24
284.165000000, 28000, 51.256
284.265000000, 28000, 51.448
284.367000000, 28000, 51.952
284.565000000, 28000, 53.176
284.665000000, 28000, 53.736
284.765000000, 28000, 54.288
284.865000000, 28000, 54.824
284.965000000, 28000, 55.24
285.065000000, 28000, 55.624
285.165000000, 28000, 55.96
285.265000000, 28000, 56.256
285.365000000, 28000, 56.464
285.465000000, 28000, 56.68
285.565000000, 28000, 56.888
285.665000000, 28000, 57.12
285.765000000, 28000, 57.272
285.865000000, 28000, 57.536
285.965000000, 28000, 58.688
286.065000000, 28000, 60.248
286.165000000, 28000, 62.192
286.265000000, 28000, 64.264
286.365000000, 28000, 66.384
286.465000000, 28000, 68.36
286.565000000, 28000, 70.568
286.665000000, 28000, 72.68
286.765000000, 28000, 74.848
286.865000000, 28000, 76.48
286.965000000, 28000, 79.536
287.065000000, 28000, 81.872
287.165000000, 28000, 84.288
287.265000000, 28000, 86.44
287.365000000, 28000, 88.96
287.465000000, 28000, 91.296
287.565000000, 28000, 93.792
287.665000000, 28000, 96.12
287.765000000, 28000, 98.6
287.865000000, 28000, 100.824
287.965000000, 28000, 102.872
288.065000000, 28000, 105.616
288.165000000, 28000, 107.872
288.265000000, 28000, 110.224
288.365000000, 28000, 112.616
288.465000000, 28000, 115.008
288.565000000, 28000, 117.32
288.665000000, 28000, 119.776
288.765000000, 28000, 122.096
288.865000000, 28000, 124.464
288.965000000, 28000, 126.896
289.065000000, 28000, 129.4
289.165000000, 28000, 131.704
289.265000000, 28000, 134.2
289.365000000, 28000, 136.632
289.465000000, 28000, 139.12
289.565000000, 28000, 141.576
289.665000000, 28000, 143.984
289.765000000, 28000, 146.392
289.865000000, 28000, 148.32
289.965000000, 28000, 149.92
290.065000000, 28000, 151.064
290.165000000, 28000, 152.304
290.265000000, 28000, 153.192
290.365000000, 28000, 154.2
290.465000000, 28000, 155.064
290.565000000, 28000, 155.776
290.665000000, 28000, 156.688
290.865000000, 28000, 158.24
290.965000000, 28000, 158.936
291.065000000, 28000, 159.632
291.165000000, 28000, 160.536
291.265000000, 28000, 161.248
291.365000000, 28000, 162.024
291.467000000, 28000, 162.848
291.665000000, 28000, 164.392
291.765000000, 28000, 164.856
291.865000000, 28000, 165.168
291.965000000, 28000, 165.504
292.065000000, 28000, 165.816
292.165000000, 28000, 166.152
292.265000000, 28000, 166.592
292.365000000, 28000, 166.984
292.465000000, 28000, 167.16
292.565000000, 28000, 167.36
292.665000000, 28000, 167.504
292.765000000, 28000, 167.616
292.865000000, 28000, 167.728
292.965000000, 28000, 167.824
293.065000000, 28000, 167.912
293.165000000, 28000, 167.976
293.265000000, 28000, 168.072
293.365000000, 28000, 168.16
293.465000000, 28000, 168.272
293.565000000, 28000, 168.328
293.665000000, 28000, 168.392
293.765000000, 28000, 168.424
293.865000000, 28000, 168.464
293.965000000, 28000, 168.528
294.065000000, 28000, 168.608
294.165000000, 28000, 168.648
294.265000000, 28000, 168.656
294.365000000, 28000, 168.672
294.465000000, 28000, 168.68
294.565000000, 28000, 168.68
294.665000000, 28000, 168.68
294.765000000, 28000, 168.68
294.865000000, 28000, 168.68
294.965000000, 28000, 168.68
295.065000000, 28000, 168.68
295.265000000, 28000, 168.728
295.365000000, 28000, 168.832
295.465000000, 28000, 168.952
295.565000000, 28000, 169.248
295.665000000, 28000, 169.84
295.865000000, 28000, 170.864
295.965000000, 28000, 171.392
296.065000000, 28000, 171.824
296.165000000, 28000, 172.328
296.265000000, 28000, 172.952
296.365000000, 28000, 173.584
296.465000000, 28000, 174.512
296.565000000, 28000, 175.576
296.665000000, 28000, 176.712
296.765000000, 28000, 178.232
296.865000000, 28000, 180.2
